1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
3	9	7	30	30	271	194	17	50	377
7	3	4	81	48	33	10	265	215	123
1	37	8	172	37	10	132	266	260	141
180	43	380	279	184	20	18	238	78	16
300	7	5	154	211	77	9	30	13	19
52	6	25	7	677	26	54	141	13	66
1	47	143	27	14	22	43	53	187	11
1	4	44	8	302	238	234	63	135	423
1	72	16	19	649	62	190	25	245	6
17	2	6	350	201	11	346	1300	11	518
1	3	3	26	70	26	140	85	108	566
1	275	9	97	67	172	156	307	8	341
3	11	299	9	115	381	1271	351	125	28
1	8	40	9	38	96	73	426	5	252
55	3	3	233	84	111	11	467	15	143
1	332	6	12	294	7	363	68	208	140
17	15	39	63	7	305	170	78	32	30
79	22	65	80	403	152	111	318	34	83
1	853	10	333	22	176	27	180	163	62
84	107	7	8	442	139	42	267	32	379
1	2	131	18	12	17	48	26	257	306
1	3	119	2	117	67	15	174	26	442
4	98	39	98	173	27	38	207	131	148
90	3	100	129	31	32	124	689	171	88
236	4	441	102	7	5	149	328	98	31
235	25	51	272	6	48	7	346	673	85
24	5	2	7	7	312	739	41	21	16
2	15	124	64	154	23	31	685	166	29
1	2	93	181	25	6	370	507	7	45
1	335	26	59	1	93	26	77	128	139
1	3	4	14	50	13	379	680	73	51
7	138	580	68	223	89	365	6	153	118
3	3	18	8	22	133	299	242	232	108
102	157	401	14	21	107	81	156	542	11
1	3	170	7	249	176	23	16	87	44
37	72	93	60	40	147	430	34	352	69
2	15	127	3	48	139	141	173	28	199
193	10	10	69	521	112	183	179	111	175
1	6	8	158	139	51	6	91	107	813
4	160	3	44	17	18	211	9	43	160
6	10	5	97	103	61	231	64	183	240
5	153	164	865	521	23	452	26	28	18
3	57	11	5	4	58	340	27	108	52
172	8	17	63	8	104	58	10	94	17
160	9	39	48	849	19	150	865	43	18
62	4	113	322	25	194	50	487	110	58
187	53	4	4	23	24	107	55	370	119
4	12	3	266	100	108	45	107	4	62
2	6	3	38	7	83	121	24	395	130
4	7	11	23	143	44	33	144	19	67
