1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
1	99	0	13	0	0	161	127	53	85
3	2	16	242	7	90	638	8	495	286
0	35	0	0	10	97	0	0	13	11
1	127	0	6	46	40	0	11	9	12
10	4	22	40	0	13	195	0	234	9
3	37	36	318	1057	11	0	4	0	18
4	0	3	184	0	7	117	1	19	184
2	7	5	56	0	122	0	0	0	9
46	1	10	110	9	23	77	0	54	6
1	0	4	15	10	0	32	108	177	764
0	4	0	7	0	0	1	38	4	0
4	94	220	0	20	126	5	43	10	0
157	2	6	1	0	15	3	139	253	28
0	51	1	0	39	0	27	0	18	23
0	0	4	12	72	12	5	0	96	21
7	1	8	5	38	0	0	57	0	14
0	5	0	13	52	41	0	47	15	22
1	4	5	7	7	127	2	67	0	98
0	22	17	0	10	12	1212	285	187	1
3	0	35	0	3	3	40	11	59	1357
0	2	1	43	0	133	16	20	338	11
0	0	6	377	13	0	10	8	21	30
10	1	55	22	12	41	0	46	10	14
3	18	3	3	28	0	0	16	484	475
0	2	30	0	0	23	600	37	0	72
3	1	125	0	6	0	39	0	25	104
2	8	10	307	8	0	6	31	86	3
2	0	0	0	0	0	28	0	78	16
1	4	204	210	0	6	13	77	11	11
0	4	178	0	10	19	96	12	44	96
0	3	4	106	1112	0	11	31	0	7
19	2	411	159	613	21	92	46	2692	3
3	0	8	43	95	12	18	0	140	0
5	45	6	25	17	46	0	19	73	223
26	5	90	146	11	0	13	14	30	17
27	2	10	5	6	149	0	435	9	12
37	17	36	64	14	6	4	18	26	355
4	31	0	0	8	7	8	229	14	1044
3	10	0	155	6	0	37	31	42	0
6	501	3	0	0	1925	24	58	111	0
0	0	0	0	128	132	180	59	0	23
8	2	6	4	0	25	176	17	46	0
1	0	1	343	217	105	7	38	0	12
30	4	4	19	1	196	24	0	18	565
7	19	4	193	491	121	0	0	0	24
8	0	74	4	19	10	0	504	49	80
212	1	0	0	76	0	25	12	23	28
1	0	8	0	97	39	82	6	0	138
99	2	9	82	0	25	0	158	335	144
2	2	7	7	2	44	12	57	407	0
4	9	527	17	7	75	484	33	39	518
1	0	3	0	12	17	0	950	12	3
1	0	262	0	10	0	0	9	0	60
1	10	6	0	8	792	147	0	53	261
1	10	0	5	4	384	0	62	0	3
1	10	2	5	6	0	16	0	7	90
1	17	4	20	107	146	80	0	100	0
1	5	141	4	20	0	0	25	12	691
0	0	0	2	0	0	0	0	20	42
0	2	71	0	0	281	30	53	4	303
0	7	0	3	0	50	0	0	0	371
0	0	4	23	10	13	20	0	0	9
1	5	80	653	11	40	14	7	0	23
1	3	76	222	108	91	14	17	0	70
68	0	7	87	29	5	0	0	0	18
0	3	138	31	31	10	0	329	16	4
10	0	0	7	13	11	7	34	1212	42
18	75	36	4	10	7	7	60	58	56
1	2	55	0	11	0	277	40	25	118
19	5	3	51	65	8	10	7	548	27
1	12	0	5	53	37	126	0	0	7
0	40	119	3	322	435	0	0	58	0
1	17	2	12	24	0	4	13	0	0
125	2	0	407	37	169	0	375	60	16
1	0	0	6	8	315	196	136	0	0
0	3	6	8	85	11	49	168	6	20
0	1	276	7	13	8	6	64	81	60
0	6	6	111	159	0	15	528	9	17
5	7	21	0	4	3	0	215	151	17
2	0	0	378	170	12	366	6	0	11
2	2	7	3	0	4	18	0	16	980
60	26	288	228	0	9	0	25	0	89
4	2	0	2	0	612	0	22	85	169
1	1	0	8	0	65	0	66	22	74
0	0	103	0	4	121	32	0	166	0
123	57	58	195	0	23	38	18	33	0
0	47	408	6	10	64	12	26	24	0
145	0	66	40	0	33	44	84	18	801
0	0	1	64	0	38	44	51	25	22
19	2	4	137	25	55	16	64	20	0
2	399	1	0	87	4	0	73	6	8
0	0	2	7	0	17	444	0	16	19
0	11	28	0	3	529	21	166	15	19
4	120	0	133	0	149	0	21	11	88
2	18	0	66	38	169	19	118	30	17
0	63	3	0	0	0	315	0	19	273
2	0	3	5	50	4	0	18	11	14
0	71	0	37	16	309	34	2	42	14
91	0	0	63	552	70	91	364	5	9
3	51	105	2	0	10	18	0	242	1
128	4	9	0	0	8	360	0	50	30
1	7	6	5	12	315	19	32	225	150
0	4	3	0	11	120	27	0	15	21
0	45	239	250	0	129	228	21	111	17
255	1	5	0	150	10	0	0	0	130
36	3	30	10	145	6	15	0	81	25
0	6	0	49	9	28	157	16	17	320
0	0	2	35	471	0	18	123	27	0
2	2	16	6	22	0	139	42	24	0
6	55	0	36	5	0	30	0	5	117
