1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
110	107	194	229	227	340	100	102	572	671
102	145	346	114	228	172	381	430	526	584
151	236	210	106	143	117	121	101	431	214
155	100	251	114	240	192	107	120	106	465
136	103	229	337	468	209	107	198	250	117
122	109	187	338	202	428	355	105	556	492
109	106	224	101	282	396	193	100	109	541
102	136	116	113	104	294	298	446	594	246
106	194	252	239	251	393	106	187	106	362
150	130	105	105	304	378	246	155	228	571
103	246	203	198	105	112	101	101	116	111
125	114	121	115	241	213	328	455	372	230
153	102	116	118	282	333	186	143	101	419
109	230	216	227	224	128	103	337	338	240
176	118	209	212	305	341	445	301	170	329
108	213	319	105	211	105	324	315	243	247
123	111	142	101	392	278	109	419	558	717
104	104	112	316	108	248	302	474	401	446
116	190	115	255	425	157	248	112	272	107
120	211	306	348	102	438	275	201	211	481
167	234	134	291	221	261	100	213	749	228
113	134	313	102	108	367	481	446	217	526
188	119	405	124	168	101	318	151	114	117
104	170	263	274	272	100	133	214	153	228
130	102	172	101	497	395	372	458	157	191
110	316	147	103	104	339	475	478	226	537
143	258	130	300	268	565	322	265	331	228
101	105	155	328	275	235	264	280	404	588
109	271	110	100	108	248	448	101	203	258
106	142	221	406	350	207	533	377	358	353
132	109	243	128	101	330	298	440	114	282
102	210	324	111	266	280	263	538	285	465
106	295	196	423	200	120	524	128	206	463
110	228	191	120	211	424	162	266	253	284
126	106	312	212	311	107	424	104	457	417
125	108	217	254	101	442	148	541	343	140
102	102	138	107	109	114	368	337	104	113
146	101	106	226	337	212	227	182	455	128
111	141	248	116	201	309	319	235	104	246
101	109	102	130	395	204	541	187	379	635
187	158	120	223	311	103	170	325	220	164
113	168	136	108	107	539	113	254	406	355
147	113	126	113	235	187	342	373	546	514
100	212	247	105	264	239	488	323	101	354
107	214	232	116	226	417	100	252	108	104
102	298	306	321	216	141	169	223	364	310
188	113	116	104	113	103	111	341	120	215
105	232	101	106	255	336	112	101	211	148
126	120	100	377	106	224	344	134	478	346
141	124	347	250	155	102	103	540	131	474
111	210	112	230	102	100	206	103	104	202
121	155	101	109	128	605	210	478	254	276
190	215	219	101	188	360	118	234	286	276
101	198	122	138	308	375	202	377	327	294
103	176	217	309	332	120	101	438	549	458
107	159	128	307	244	209	217	285	113	104
126	113	101	344	249	236	405	293	542	577
110	101	139	107	415	328	219	415	407	104
133	104	325	104	100	294	323	575	593	227
136	218	223	121	193	128	214	396	309	361
122	103	106	288	109	100	417	229	309	212
182	104	243	101	397	214	357	240	101	249
117	122	117	277	390	245	324	117	616	368
109	110	131	112	343	108	325	489	921	213
102	137	102	100	235	458	100	668	103	100
121	120	251	112	365	324	224	202	493	251
149	206	217	348	410	246	106	124	374	253
107	116	102	269	332	111	218	238	467	108
100	106	224	102	328	136	528	381	100	157
140	112	104	309	103	145	354	217	539	489
112	129	263	109	491	217	112	157	103	220
105	105	108	259	512	542	350	104	154	137
103	109	122	332	403	352	368	323	243	202
114	209	112	125	291	268	343	227	337	124
103	212	104	209	416	509	439	100	112	105
106	165	101	100	132	101	208	136	116	226
199	105	101	304	128	257	244	104	194	266
188	128	100	112	253	101	108	514	101	706
120	100	327	242	122	440	198	301	329	514
111	109	213	214	220	407	224	103	389	222
103	104	228	241	110	103	452	105	101	193
157	108	108	210	325	221	465	111	200	540
104	222	184	104	101	362	331	101	369	233
150	219	139	215	180	319	101	258	423	327
102	115	297	152	302	149	337	415	121	217
132	112	255	185	122	106	100	255	219	320
112	121	142	204	362	102	123	202	472	214
100	198	205	199	106	373	373	280	330	552
143	110	149	255	238	329	394	353	421	458
158	100	327	105	255	227	257	104	101	207
101	189	320	451	396	101	450	367	566	278
106	166	223	116	360	118	248	239	102	207
101	158	370	303	252	111	101	104	104	639
183	246	242	296	385	272	341	207	131	104
110	271	374	232	316	273	154	368	100	104
150	106	105	104	346	103	251	643	430	411
101	117	224	307	227	417	231	238	484	351
115	170	198	130	364	469	318	474	429	106
102	101	103	233	367	216	119	542	365	711
111	115	229	188	291	108	101	485	102	180
116	306	235	428	334	118	188	618	444	356
133	366	180	133	147	101	538	391	212	210
154	154	103	248	297	417	366	260	123	100
100	148	121	252	150	217	300	429	210	193
121	166	263	101	462	113	134	146	103	368
197	116	108	112	126	119	250	148	144	482
103	341	240	245	140	241	614	338	259	355
148	105	232	152	320	115	411	184	440	308
108	116	386	248	216	133	322	320	135	100
108	111	221	109	120	364	273	316	352	523
121	263	118	252	100	304	259	185	397	225
178	114	216	376	319	208	255	210	479	112
103	102	100	416	439	103	440	270	109	101
109	133	262	148	316	111	306	181	460	119
104	221	182	100	103	322	566	211	260	338
126	137	127	433	145	122	113	712	219	205
115	112	108	233	102	108	271	101	451	104
136	205	131	105	104	488	100	110	527	102
132	235	164	214	537	207	189	534	111	207
126	102	128	326	339	293	245	126	166	669
108	109	214	392	481	215	167	303	101	272
102	266	256	140	111	263	100	530	520	323
122	136	136	372	140	225	119	231	246	481
112	257	323	317	438	352	365	243	573	100
170	231	104	160	104	232	317	773	178	107
106	247	125	239	295	258	100	194	277	603
101	168	322	241	120	131	101	647	221	418
104	128	223	120	120	128	333	591	101	114
111	282	264	369	106	113	101	188	372	739
109	126	143	336	279	131	235	202	212	647
106	102	307	125	209	307	216	217	228	217
152	103	194	195	107	250	489	162	100	164
128	239	293	240	200	396	207	618	377	489
120	242	142	211	316	241	213	101	330	315
125	113	263	109	214	129	155	381	260	130
109	302	378	121	355	176	499	478	354	165
186	250	220	191	115	111	423	227	269	265
112	206	121	428	372	187	354	222	597	197
127	180	117	215	472	415	377	349	101	221
100	151	106	440	381	102	409	131	212	142
144	227	109	106	342	131	151	363	546	434
100	106	405	222	342	113	209	215	272	447
114	277	248	221	219	277	107	100	102	201
100	277	251	102	139	213	121	335	386	246
145	219	117	238	186	254	211	104	284	265
104	240	319	103	337	298	102	247	101	116
108	102	107	239	151	100	439	286	215	278
109	188	224	228	209	123	121	390	378	321
106	109	357	217	111	631	108	359	210	101
100	117	215	186	422	329	353	105	100	220
104	237	126	185	231	425	187	215	558	104
135	281	332	217	122	212	113	488	222	104
109	158	116	101	207	148	346	434	267	406
103	140	218	119	108	321	216	446	266	103
113	119	244	111	117	403	423	222	311	248
104	209	226	220	279	364	275	434	227	266
