0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
7	544	402	47	2	3	33	535	370	6
8	232	453	80	470	528	299	610	987	513
121	0	130	10	39	766	415	1291	1672	3588
6	2	6	237	456	1443	118	606	1243	1441
12	0	297	17	153	202	901	921	287	487
0	3	18	27	551	581	660	471	1094	679
1	1	225	445	566	899	246	953	1393	267
8	145	3	723	370	1301	213	11	3137	747
5	7	3	1	33	556	4	66	1038	614
57	6	0	34	154	143	216	584	1340	2066
0	284	3	0	115	44	56	762	410	279
0	17	315	292	156	880	967	656	544	521
0	145	49	1468	1	159	1050	1185	157	268
122	5	210	259	401	592	3	325	1292	1073
2	498	445	0	524	6	352	662	836	1068
20	24	7	276	528	326	65	840	403	7
430	7	142	424	400	540	820	246	269	1090
3	136	1607	2	632	277	334	1682	3	348
17	36	7	472	253	286	679	21	397	1973
8	587	8	14	368	1094	1073	398	853	716
4	15	55	30	1148	1200	632	3487	18	1314
3	70	323	413	177	46	445	701	623	1014
32	240	15	2	5	150	57	41	588	406
933	20	352	299	315	411	156	242	268	208
121	6	211	3	488	728	1504	420	1976	43
0	108	10	554	22	27	252	3	978	173
5	20	118	66	327	38	814	122	1085	37
9	65	99	157	70	315	1032	683	414	2389
8	10	145	104	48	47	102	415	100	1714
113	333	41	307	34	256	271	285	34	442
4	32	251	233	280	4	818	65	10	1537
1	17	6	609	236	433	470	12	451	515
341	5	10	437	15	385	1621	45	368	790
17	106	271	362	349	360	688	6	562	69
3	0	482	177	483	337	72	584	593	1148
1	218	270	0	130	517	443	1330	325	823
2	30	257	16	154	474	6	1600	300	598
2	24	142	121	450	398	836	853	1072	23
71	140	86	191	86	5	5	102	7	555
7	154	5	446	34	201	289	515	368	294
50	8	65	352	906	2	1658	914	152	377
6	14	219	409	2802	529	1592	748	160	640
59	11	104	269	11	2	1490	1540	144	639
1	48	13	183	14	699	561	390	405	1857
6	6	371	142	295	25	231	486	9	469
2	301	415	404	811	1401	56	246	53	597
415	34	13	72	1126	5	896	598	520	305
123	157	32	5	392	24	1026	544	4105	393
9	4	1	317	20	386	4	1053	356	209
108	0	675	267	843	1209	181	3452	8	146
393	186	2	1	130	173	99	369	63	663
7	31	176	498	6	263	1203	322	648	2527
2	689	10	668	29	22	335	277	574	1066
19	280	19	44	362	198	476	93	358	207
291	16	5	425	142	338	907	392	714	19
7	136	3	34	398	1170	25	8	2053	1106
26	22	18	12	24	382	369	526	506	684
7	194	24	178	197	807	642	347	324	835
13	15	188	678	148	267	790	415	194	113
2	28	315	427	431	417	105	552	567	749
46	13	76	783	2	44	299	303	563	375
38	3	160	2	3	922	329	730	17	501
8	591	172	532	8	507	464	232	1145	378
3	2	307	5	1047	1029	932	486	933	1491
2	59	2	526	291	519	22	481	14	473
38	350	348	468	899	846	406	759	504	898
251	411	1	280	1319	572	1391	567	1146	419
444	334	260	295	1013	431	480	1216	766	7
4	18	4	12	285	45	370	443	71	815
0	112	0	62	361	242	68	9	1162	2525
28	3	108	357	12	149	130	10	678	988
1	118	5	489	610	2	816	993	146	204
73	11	39	2	49	137	493	291	1439	353
107	108	18	636	179	1427	2280	1359	856	454
0	343	424	63	392	510	793	288	465	912
5	232	563	143	14	593	232	542	2633	204
64	666	49	8	41	1193	507	562	281	1038
5	183	327	250	82	92	278	884	42	711
28	3	52	3	184	286	354	614	929	686
4	84	80	185	747	297	580	361	203	471
8	2	45	16	1067	643	1953	570	292	1240
200	503	453	43	4	626	758	207	315	534
1	0	1239	372	25	20	5	936	124	657
1	1	137	248	1507	1289	335	254	950	489
8	364	1	28	221	2852	81	184	2043	1093
749	337	46	365	511	459	215	961	339	461
0	3	4	244	265	3	988	959	1087	1242
130	2	20	346	317	772	481	85	506	1035
0	18	564	440	473	2	774	248	617	1003
0	18	223	1551	41	746	7	411	3890	268
160	95	18	610	269	2	263	92	992	656
3	5	347	184	1	44	735	209	34	202
0	19	218	2	353	282	316	403	1633	2588
6	8	100	138	570	188	20	221	2708	98
3	321	805	24	246	309	58	1379	846	1236
19	147	2	132	378	433	267	758	483	4
149	146	560	8	392	460	556	592	942	936
707	129	189	330	76	286	27	59	8	424
2	1	795	133	19	24	61	589	10	153
18	17	302	20	94	225	683	11	1141	16
304	3	0	107	66	41	710	2240	414	399
8	158	223	415	748	333	661	5	1005	90
75	83	3	28	325	101	159	165	1110	1171
1	130	156	121	41	734	951	366	708	1286
20	444	291	452	248	1	724	300	1971	597
0	2	1	310	1	213	406	1096	1364	1362
7	28	279	231	2191	111	345	767	728	423
9	79	129	377	15	588	856	7	529	905
287	371	13	726	2	427	305	182	1107	108
119	34	293	381	19	16	397	4	104	382
353	204	1326	6	572	654	396	342	547	38
2	6	257	232	700	346	7	282	1126	888
1	1	484	314	301	876	676	1055	267	155
2	197	161	222	396	632	452	3	9	8
2	0	894	317	660	298	311	176	468	17
7	3	20	2	300	650	218	38	534	257
223	367	29	254	75	436	233	4	2863	1951
421	399	142	329	1505	365	562	655	190	282
115	845	330	835	457	16	582	1290	154	151
1	88	12	31	49	458	787	753	523	770
168	3	345	187	25	150	1280	560	273	572
0	8	1249	3	1	1732	60	1037	453	824
1	49	105	194	51	594	658	398	2323	760
0	237	13	79	464	277	505	880	94	612
0	3	6	98	1216	771	417	137	17	1007
1	57	272	50	678	371	341	1225	327	90
2	267	16	360	349	513	1299	411	404	1097
11	270	179	798	540	1	546	749	4	396
43	2	0	367	314	143	568	882	11	92
283	202	28	3	286	614	0	186	406	1305
0	240	30	106	176	640	1175	599	672	1050
193	242	23	48	21	30	721	430	583	467
0	225	60	1091	7	225	403	717	2325	634
44	7	282	609	358	102	120	937	135	414
139	155	2	1590	1223	815	518	644	801	332
106	605	300	7	266	202	1207	514	66	794
315	5	10	473	1133	210	733	933	508	125
6	2	24	587	235	113	1021	204	459	1185
359	17	0	0	323	142	27	16	75	460
68	171	27	1322	20	445	23	79	232	29
7	157	313	58	1707	604	1094	587	20	819
7	21	132	219	8	142	278	292	138	47
101	187	11	6	44	661	336	847	669	927
0	0	621	107	588	140	863	1257	699	1032
212	3	233	1	5	844	311	2	709	681
134	3	92	8	438	888	898	537	85	368
6	258	1	28	277	506	9	443	69	377
0	71	240	16	161	466	39	704	510	746
19	170	87	6	135	377	104	1268	615	792
375	7	404	323	67	2	739	3564	115	435
0	4	313	13	35	22	263	81	431	350
5	0	540	204	584	1092	1134	2110	1106	1017
6	165	418	484	231	696	18	1634	2	266
313	11	28	95	1285	23	244	7	213	579
117	376	16	1319	319	353	490	291	875	855
141	96	150	2	1860	198	49	1575	727	285
0	20	10	171	434	0	70	907	66	3
5	187	150	3	106	818	409	249	199	966
64	147	3	273	35	41	397	764	580	489
2	1	7	1253	130	346	476	677	87	721
1	300	14	286	491	798	80	598	1308	190
39	265	661	1239	299	238	626	240	25	355
11	3	758	473	3	643	622	220	922	69
