0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
816	888	3514	2593	3010	3448	3561	4596	5981	4424
731	1157	1728	817	593	4237	3731	5279	6039	5883
1535	1964	3540	4021	41	6406	1923	5379	6782	5805
1194	1501	1464	1136	1749	2961	4344	3069	1427	10452
769	850	886	1262	2651	2566	3834	4797	3920	5776
832	1197	1219	3443	1519	4415	2244	15185	4107	3522
805	775	2679	4170	2735	4496	4576	4400	3828	6070
493	651	1846	4538	2298	3209	4038	7834	2847	1805
1774	1310	1457	3901	5288	4317	3685	2010	3633	6625
315	646	2753	475	1817	3878	2544	1642	7593	7789
1574	944	1827	3215	1951	4297	3030	4032	4435	3471
291	901	6202	1905	3756	4599	1702	6575	4995	4883
1156	667	617	774	2212	8675	6036	5944	6502	8929
357	4546	2518	2509	2550	4667	2167	6558	8217	8101
639	542	1087	8070	8064	4467	7024	4302	5640	6431
4	3492	1066	1663	1253	2377	5214	3966	1388	5240
9	4	1832	2592	1958	1318	2190	3556	5821	5627
206	1268	2169	2770	11484	1583	10968	2639	7604	2510
83	567	2582	17500	1899	3905	2780	3906	5531	4221
1144	1651	1164	1992	632	1707	3837	4623	7293	5528
91	1534	2002	3495	2603	19627	4241	3110	10337	7280
478	942	8485	1812	1691	3580	3376	2287	2153	4061
486	2495	7109	3262	1191	14559	14110	3633	7618	16140
1208	1705	2261	605	5585	2082	5917	5167	4188	3232
680	1630	845	1148	1061	3676	787	4841	7068	8556
27	1201	1585	2190	2972	2962	4549	1561	7819	5601
1189	1112	1406	2161	2887	2945	6492	1728	8796	10429
650	3227	1638	6969	4758	2334	2236	4020	7058	4996
946	310	2480	507	2063	1830	2451	4344	5018	10600
43	2890	1566	16948	1825	3870	3082	3913	3981	4550
383	2588	4615	3776	3453	6817	3706	5040	20055	4753
4	1972	2365	941	5173	2633	6274	4040	1971	4905
49	1332	1623	2223	5224	6484	3569	4480	2129	4849
1254	1377	2018	3105	5328	3353	5071	17945	9857	4335
547	2625	1137	5401	7891	2385	5952	5534	5335	5411
2156	6	1210	2243	2818	1517	7378	6385	4214	4886
173	948	1815	645	2694	3771	5869	5352	3054	4671
1707	1656	1329	99	2100	4124	1972	1957	5821	6593
746	435	1056	2635	4127	4377	4147	12055	5055	3367
1104	2473	415	2469	2946	975	8778	5453	5037	3825
845	1220	956	1923	2106	5432	3782	6449	4194	4810
6	1577	1065	985	2526	2466	8584	10617	3829	5340
315	828	1880	2939	3094	3663	5179	3572	3387	8100
951	1927	2964	2273	2255	736	3825	6005	5387	11956
477	860	2364	328	1833	1658	3027	3776	9321	2374
224	1170	1135	2736	2662	5006	4098	4485	4059	3536
301	474	1721	2155	1378	2660	3409	3263	4292	4916
1695	3492	1059	9524	1849	3365	4383	4906	5068	1550
154	1221	195	6350	1325	3763	5907	1864	3840	8017
55	1649	2232	1621	1651	2586	4616	8842	4029	5812
1287	1350	1917	2331	3093	6419	3154	4516	5706	4298
11	215	2930	684	3883	5694	6440	7992	4768	4036
448	55	2990	2536	1859	5372	4054	3999	2145	11630
740	541	1350	7914	5212	4694	7114	11833	5907	6144
797	752	3316	1996	20471	2537	544	3735	7496	3837
816	2538	1204	8127	3209	3963	3618	5380	2789	19542
8	1322	1576	4159	3357	817	6720	4691	2736	8609
6	2153	1154	2969	3234	4719	6873	3749	7465	3798
558	474	1305	2413	3091	3198	3201	19273	6419	4558
280	1399	1035	6640	7001	3912	2559	2128	3505	8077
203	362	1571	1447	3632	5257	2396	6275	5570	4718
266	2383	1491	2526	2234	4405	3052	2594	5314	8700
2	3974	1398	1904	2367	6136	3558	9057	4588	4405
65	811	1380	2590	4515	6906	2861	6289	8619	9180
375	1550	3758	5100	1071	2163	5657	4312	8171	7912
684	1464	2034	1515	5438	6953	3588	3349	4721	2940
150	2554	6047	709	2998	3758	5375	11610	6553	6861
84	869	661	2144	1955	5398	3404	4528	3929	5478
573	3706	1685	2949	1292	3955	2565	4545	5595	19811
301	2640	2424	1297	2838	1685	2062	5726	5734	3606
9	2490	1487	798	2566	2538	2142	4700	3258	4508
32	1588	1511	1363	4322	2656	3968	1442	5781	5126
586	950	3475	5031	4058	2147	4526	2713	4921	5426
204	1212	2069	1006	1552	7282	9111	3826	7784	4771
969	1390	614	697	1720	3502	2243	8904	11022	2467
2476	2293	24	4511	2869	3802	5787	3436	5783	4792
354	1075	2136	3476	3554	3487	5087	4198	3021	1751
675	230	1697	4253	3233	3159	6959	866	4061	8079
2339	1546	1668	5816	1209	2239	2132	2752	1020	8787
23	944	1625	2078	4128	5330	2371	6667	7137	3691
1225	758	260	3551	1229	5539	2949	4236	5698	2937
427	634	252	6450	2707	1870	6913	3947	7922	2548
400	149	5165	1919	3298	3406	2190	4129	4575	11733
3	1311	3354	2027	1411	3217	1704	3537	4596	3604
200	2308	951	12462	2805	13755	1675	5040	4415	6299
275	661	832	1497	1984	1530	3696	5298	4832	12012
965	1232	3264	90	2641	3312	3629	3338	4588	2090
609	557	4472	4055	1944	1608	5205	2370	4706	3775
621	1625	814	2998	2152	4397	14098	4098	2896	4392
767	1480	2281	3742	3424	4051	2870	7997	2912	4931
683	1338	594	906	4641	3455	1948	4936	10742	6648
846	1253	1936	658	2803	3304	5864	6085	7379	4707
1211	4901	1157	3652	4211	1868	1936	2042	4732	3536
1360	533	3092	28	5794	4236	3897	11741	4344	4734
490	1722	1633	1701	1916	3585	12818	6198	2038	7978
214	228	2399	3608	2808	4818	3630	2013	5815	12773
1680	2863	790	1662	2337	6380	1760	1656	4269	26829
1328	502	756	969	1765	5949	5627	4136	2428	4433
1569	353	1353	2706	2652	5895	2089	2480	4554	2772
1259	1298	1861	385	4778	8835	3802	11555	7778	7245
8	422	2198	646	3780	9816	8102	2686	3635	5963
657	879	1790	3046	5625	4545	4036	2711	6090	3178
1229	117	2470	1796	1173	9834	4664	1469	6158	3451
15	1353	1363	1674	1326	6017	2301	5377	6800	5608
56	943	1644	2663	1386	3093	3564	5429	5766	5968
1164	1743	3444	1596	4331	2483	8111	1157	6255	6931
1582	1239	3019	2333	2281	1035	5829	3342	4431	3912
3432	1548	1043	2378	4180	3471	7341	2725	3257	1889
787	953	945	1498	1570	1313	4633	3998	5993	6841
978	2228	1985	2552	2980	4274	1447	3737	7375	22336
881	176	2385	2424	5455	3317	3085	9189	5934	3456
47	525	4167	4943	747	2366	7587	6359	4841	3094
386	1640	1212	2757	788	1429	3268	2549	4574	5373
872	2116	263	1907	1930	2932	3669	4584	2000	8164
4205	2194	261	2230	4981	6979	3116	5404	7595	4884
429	390	1245	851	1051	1401	4325	4136	2001	3615
409	1097	3027	2755	1912	3384	6196	1502	4539	9799
316	506	1645	2301	716	1725	3441	2712	9472	4840
1604	1018	1236	2313	1669	5657	2808	3791	8217	9000
1429	161	1494	2354	5764	4185	2125	2810	1917	4549
36	1250	2107	1661	3866	4701	3846	5680	21276	5958
1671	1225	1121	1689	2934	11723	1331	10838	7622	7634
980	671	1732	2183	2835	2928	3204	4200	5768	4673
127	20	1151	965	2950	2117	4647	7795	5429	8340
