1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
0	0	35	2	33	41	32	71	126	245
14	3	5	2	0	0	117	0	1	1
0	0	21	0	3	42	4	0	7	130
0	0	0	1	25	96	0	0	1	5
62	37	2	0	161	22	3	39	16	2
50	0	1	0	181	8	0	0	1	260
2	2	2	2	0	32	59	148	0	7
1	0	1	3	0	291	17	0	99	4
1	1	0	29	52	0	4	0	12	2
0	0	0	0	0	13	4	0	2	91
0	0	1	19	6	1	0	104	211	121
0	0	104	110	2	122	3	1	150	5
0	37	70	2	156	1	0	1	3	5
0	0	40	0	0	95	3	2	7	0
2	0	0	1	239	0	3	134	11	123
2	1	1	2	0	0	1	30	12	7
1	0	0	0	0	15	2	0	0	18
1	0	0	1	0	1	1	92	32	0
0	0	0	1	1	18	0	0	0	0
0	0	0	2	0	245	1	100	1	2
0	0	0	1	41	0	1	3	91	5
4	1	1	6	2	4	2	0	0	10
0	0	84	35	0	35	94	1	90	5
0	0	1	0	11	0	0	0	160	153
0	209	18	136	0	5	6	82	1	2
0	0	0	1	0	4	6	0	2	0
1	0	3	0	0	35	208	91	45	78
0	0	0	16	0	2	1	75	0	1
1	1	5	5	3	0	123	3	52	0
0	0	2	2	2	0	99	1	343	2
0	3	2	120	0	1	0	183	1	1
0	0	74	62	4	205	131	29	11	8
0	0	1	1	1	0	61	0	185	13
0	0	0	77	0	4	0	3	6	40
2	1	0	3	0	3	49	98	48	0
0	31	101	0	0	6	2	1	4	417
1	1	0	2	2	0	1	0	19	216
0	1	1	422	2	0	3	102	0	0
0	1	0	1	0	2	2	19	0	83
0	1	6	3	2	31	29	0	132	7
94	90	104	41	1	0	56	22	177	3
0	9	0	309	188	8	34	58	0	4
2	0	0	0	2	1	1	0	0	86
1	0	3	22	0	0	0	5	51	13
2	0	0	7	4	2	5	1	6	4
17	0	0	0	3	0	151	0	100	4
0	0	0	109	0	0	48	23	1	14
5	1	81	15	1	0	0	94	0	159
0	0	2	1	0	8	0	1	115	188
0	16	3	0	1	3	5	3	7	1
4	21	2	2	1	5	2	0	5	4
0	0	29	0	0	52	2	3	7	3
1	0	0	0	2	0	205	4	0	0
142	0	1	50	1	1	10	133	7	46
0	9	3	1	5	186	5	157	0	13
59	1	1	76	129	6	1	5	5	5
0	45	59	10	2	4	239	250	1	6
0	61	1	0	3	2	13	16	2	3
1	0	2	1	0	73	0	52	730	112
4	10	0	0	6	1	0	1	1	218
1	0	0	1	4	114	1	0	13	69
4	0	5	0	1	73	235	7	1	38
0	15	0	1	107	113	1	0	72	6
0	0	0	1	0	42	109	0	0	155
0	3	3	81	0	1	152	247	115	4
0	1	64	4	1	4	0	27	0	0
0	5	0	2	1	0	0	6	408	0
0	2	33	57	7	1	0	1	228	0
0	0	1	0	2	5	8	1	39	38
0	0	0	2	0	0	3	0	0	1
0	0	8	5	29	2	1	3	2	24
6	63	99	1	0	0	1	0	6	118
0	1	0	77	0	227	0	3	29	111
49	0	0	55	4	0	13	139	28	7
1	58	0	1	0	1	3	1	28	2
1	0	0	22	2	58	0	9	5	5
0	0	1	15	0	9	96	191	3	1
5	0	2	0	5	2	60	239	6	4
0	21	46	0	41	0	2	326	0	2
0	43	0	0	4	47	29	4	1	0
0	2	5	1	1	1	2	0	87	157
0	2	4	68	177	209	61	0	63	60
0	25	21	26	41	2	11	4	0	8
3	0	0	1	1	0	83	3	20	40
33	54	1	22	0	3	0	9	45	0
0	2	16	0	0	1	5	11	0	0
12	1	24	0	7	38	0	3	209	0
0	0	1	0	4	0	34	5	0	316
0	28	141	4	1	1	1	16	2	400
1	2	206	1	1	60	357	121	2	120
1	0	2	16	9	0	2	17	1	86
0	168	2	27	83	2	116	112	20	193
0	0	0	52	329	1	2	201	0	3
0	2	1	8	0	114	0	5	236	2
0	0	14	0	3	225	3	0	1	2
0	0	96	1	0	127	0	2	2	3
0	1	6	0	0	59	9	50	151	284
0	0	4	4	0	1	2	1	12	33
0	0	2	25	0	1	56	3	0	80
0	2	22	1	4	4	4	1	1	1
1	87	0	0	1	47	26	0	102	0
0	1	1	5	11	5	1	1	23	14
0	0	3	4	269	1	0	74	4	90
0	4	24	0	0	470	1	6	4	0
0	1	3	3	0	29	1	81	2	81
0	2	63	33	1	1	23	0	0	0
0	38	1	1	0	16	2	5	8	4
26	0	0	0	7	112	1	1	0	0
0	0	1	0	0	82	3	3	4	4
0	0	0	0	5	4	6	11	4	0
4	0	142	134	2	0	1	2	76	1
1	0	0	180	0	2	3	3	18	1
0	0	0	1	1	7	2	266	0	173
0	0	3	2	4	71	0	9	1	1
0	2	1	0	0	2	12	13	1	1
0	0	1	55	2	11	10	202	182	5
0	0	7	1	10	0	140	2	1	107
0	72	1	0	1	0	0	179	4	31
0	1	63	0	30	2	36	0	5	7
64	0	0	0	5	381	0	69	4	24
0	1	1	2	0	66	4	16	0	65
0	1	0	43	0	0	0	1	0	1
0	0	1	2	7	1	1	0	216	1
0	1	13	1	3	156	20	19	13	1
0	2	18	2	6	0	33	37	70	1
0	3	0	2	2	1	1	1	8	135
0	1	2	1	75	3	48	0	2	11
83	1	5	0	0	71	18	100	73	5
0	2	0	0	85	161	0	6	2	0
0	0	0	5	0	1	4	5	0	119
0	2	42	0	1	0	78	4	3	2
1	1	1	0	2	1	216	0	1	8
0	0	1	0	1	10	6	7	4	158
1	0	0	1	0	1	1	0	14	0
0	0	0	44	1	252	2	66	187	32
0	0	2	0	0	1	154	89	148	3
0	0	2	0	23	0	5	1	143	0
0	0	1	3	0	0	6	1	5	2
0	0	1	198	1	0	0	4	2	37
0	0	3	0	0	7	4	9	1	91
2	0	0	0	0	0	2	81	0	0
0	0	0	3	30	2	7	3	0	3
0	0	4	2	1	19	0	0	63	0
0	1	0	0	1	2	50	2	12	5
2	1	64	0	0	3	10	68	4	177
40	120	72	2	0	6	9	0	1	7
0	30	0	1	1	0	1	1	4	0
0	0	0	3	0	16	4	13	0	0
0	1	1	1	0	217	2	4	98	39
1	0	0	1	0	5	85	1	5	2
0	0	3	78	1	1	158	3	1	8
0	1	130	0	5	0	0	6	17	57
1	43	0	0	90	0	0	0	0	124
0	1	1	78	6	1	1	5	6	4
0	0	4	1	32	0	27	173	87	175
0	0	2	13	0	0	149	3	2	3
0	0	0	2	0	1	3	324	181	1
0	21	0	1	27	26	5	33	110	2
0	54	1	0	1	124	6	6	41	2
31	20	2	5	0	8	0	31	67	3
0	0	0	24	0	134	1	7	7	0
0	0	1	1	3	5	0	3	16	76
0	4	0	2	3	62	368	0	14	196
1	0	1	58	1	0	0	0	3	23
0	0	2	0	2	1	0	0	117	3
55	1	0	0	73	1	10	1	2	10
0	1	109	0	2	0	100	163	401	56
0	1	0	0	121	2	3	0	0	3
1	111	0	0	4	1	0	3	79	0
0	1	1	0	1	0	65	435	150	1
0	0	0	0	0	1	2	1	0	0
0	1	2	0	0	0	2	1	4	1
33	0	174	6	1	3	1	2	59	232
85	0	228	1	0	0	4	1	6	5
0	154	67	5	98	8	81	1	171	3
1	1	5	0	1	13	1	3	0	26
0	0	33	5	2	0	2	0	0	2
1	8	2	8	50	10	23	3	0	15
0	18	0	0	1	3	73	99	8	351
2	0	0	2	197	126	0	0	0	5
0	0	2	0	22	0	0	50	0	61
62	26	0	2	0	0	80	0	1	0
1	1	153	1	36	148	24	1	423	6
0	0	0	2	0	1	4	135	181	8
0	0	12	0	1	93	0	0	0	146
55	0	1	8	0	57	94	2	0	3
0	1	5	0	4	0	1	0	3	82
0	0	0	0	2	3	0	3	54	8
1	1	1	0	7	2	27	6	0	7
0	0	0	0	2	0	4	67	473	1
0	0	0	1	1	12	16	296	37	0
2	0	7	1	4	3	3	0	301	30
0	51	0	1	10	2	67	0	1	1
0	3	60	0	4	18	77	4	0	0
1	0	0	0	0	121	0	1	68	0
0	3	3	0	4	1	92	6	53	56
0	0	25	1	30	2	1	5	10	0
0	15	4	0	0	1	0	2	3	109
0	1	55	0	47	0	3	1	10	44
0	6	101	0	0	0	0	2	2	22
0	0	0	0	0	32	0	8	0	182
1	168	1	1	3	0	1	276	120	1
0	0	0	0	158	0	189	0	47	33
0	0	0	0	133	0	0	6	99	0
0	0	0	0	0	0	237	0	4	139
0	1	0	0	3	4	6	3	5	0
0	0	1	1	4	0	9	0	1	9
0	16	4	23	0	0	0	4	4	0
0	3	0	4	1	43	1	0	1	63
1	0	0	1	2	19	0	4	70	1
0	45	0	6	1	1	3	5	8	328
0	0	2	0	35	0	42	0	1	268
45	0	0	0	79	90	116	4	2	2
0	1	0	1	0	5	368	111	4	26
0	0	4	0	0	1	0	0	5	18
0	32	0	85	0	0	0	46	5	0
1	0	13	4	3	1	0	27	169	51
1	2	6	1	26	0	7	0	52	1
2	1	0	3	179	1	2	4	3	1
0	0	0	0	43	7	30	1	10	37
0	0	0	85	1	30	6	7	6	21
