0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
476	1944	2879	4259	6774	4185	4945	4404	11082	11550
1436	3743	2258	3624	5259	12539	4926	4729	9308	11188
2004	2246	3033	2177	6332	3894	10146	6896	7053	4900
1644	1568	2268	2320	10691	4820	7532	6707	8181	6683
993	2365	2939	6569	2055	6649	4281	5883	8316	9886
1089	1860	1303	105	2914	2568	15783	5867	9002	5535
1324	1855	983	5309	4385	9672	3437	6299	8155	9992
1114	1347	9200	5419	2977	20895	2003	3997	14291	5224
2092	2065	945	5588	3423	5616	5435	3240	5368	6905
2668	1126	3535	2195	15555	4143	8348	7078	6519	6249
2155	1859	2657	6229	5512	6598	2938	7692	7376	6146
2084	859	1076	1879	3765	1969	4994	5166	11244	3112
2020	3341	2784	5191	6029	5082	3882	33284	6889	5916
525	1160	1344	2023	6116	4817	9006	7145	4801	8539
1585	674	2491	4168	8129	4058	6491	3951	4641	7059
1075	3397	1600	5218	5454	5198	2449	9309	3344	14685
1394	1596	4793	2713	4450	2790	6802	12782	5604	14629
1034	1784	3395	2446	1956	3135	4385	12018	5406	7915
1102	2995	2398	2336	5211	4825	6824	8105	8424	4542
1966	1718	3369	3081	6064	3092	5132	12472	8401	7023
745	674	4413	3442	2545	1694	5140	2911	26484	12821
1075	1474	2060	3554	2435	4210	4454	4388	8568	6853
1767	898	3167	5834	5060	3607	8519	9394	7187	4916
670	2931	1961	20494	6298	6348	9387	6843	12863	4460
1110	1245	3778	15436	5464	9300	4147	15964	7988	9241
102	7737	1909	1488	2366	7142	7356	6447	18595	5096
4007	1810	4543	1830	7065	6346	8319	13648	2914	11742
1926	3198	2891	5871	4082	7707	8493	3082	6949	10799
865	699	5233	1202	12279	11225	7055	6597	10763	14235
882	2311	1220	3211	5294	5990	7445	23814	16868	5516
504	2239	2637	4271	6009	3134	2229	3534	4786	11308
1374	2127	2164	5511	4048	2037	13136	8703	6097	7066
4339	995	3532	4350	3201	5860	4089	13113	2739	6020
599	2535	4367	2050	18289	6159	5866	5716	2529	10874
364	1413	1055	4117	1689	5558	13351	6412	20934	25645
1384	1581	2272	3947	3323	2345	4870	22996	8574	7326
743	4871	2267	6980	4603	5743	3804	7028	8668	26184
883	3022	2506	2548	3512	1540	8770	10739	5675	13021
554	1736	2280	3554	6529	3821	5133	6017	8450	2777
1196	4143	2852	1591	3254	3990	9440	3736	3680	7343
635	1044	4172	4451	2444	4590	9944	7485	4355	6205
856	1924	8680	1624	4276	3813	15506	7926	8373	15177
3069	2571	1063	2879	6077	6742	7357	3640	6197	10238
674	3559	2532	2641	4097	6926	5315	4615	3971	11003
1318	725	3576	1214	5231	7392	4579	17700	4583	8980
370	2649	1868	6191	4261	6388	2085	4444	6432	4556
822	2602	4737	3497	5811	2017	15395	4619	8377	14764
207	2063	2890	4969	5238	6307	3864	7630	6013	10104
953	2863	2956	15450	4778	8992	2177	5481	10239	9761
2486	2791	3913	1075	4906	5643	8280	3119	8537	11612
2542	1330	2874	1297	3692	4955	6740	4921	7467	8822
4903	1000	2225	3665	3816	6148	4619	5211	5810	11035
253	2571	2549	5659	6439	10978	2808	10234	4094	10275
1770	1070	2049	3844	3811	6025	4827	4265	6138	8597
1233	2201	6724	5778	8580	5506	5008	5398	9150	10133
919	2205	2708	2610	5976	1833	5245	5496	6647	7067
598	2803	2275	2288	2760	4617	2439	6625	11310	4752
1358	2613	3345	2129	7280	5809	5949	3457	6245	8866
1549	1597	2040	2252	1993	5145	5863	9326	5165	8935
1584	1333	4383	5710	7603	5364	4776	7779	7410	4081
1593	3067	1925	2486	2928	3652	5952	7902	8896	3972
5447	1451	1134	1830	5231	4114	4164	8228	3895	7721
1421	1631	3911	2765	10068	5473	3129	5886	6646	7938
3299	1652	6210	2775	5066	6054	2464	4468	7893	7272
1135	1861	2615	3159	1836	15514	3676	7489	12313	4096
1133	2197	3355	3657	3973	5482	16900	3216	20693	7381
925	2227	3994	1608	5848	5677	7672	18187	6078	10052
1116	1205	2673	1020	4416	3669	4645	8473	34894	3313
1166	1560	3390	2448	6301	2717	4958	18207	5070	8824
2337	4775	2540	2788	7684	171	10030	5654	3137	10113
1337	2387	5162	7344	5010	6731	4624	6211	3495	6796
349	1381	2676	1329	4649	6666	3352	5198	5581	5144
1807	2476	4680	3587	5660	10008	5335	7143	11547	7867
3410	1020	1135	3737	3375	6398	8289	4323	12296	6620
1253	2311	5679	4761	5736	9120	5777	4230	6126	7598
1547	3390	2025	2175	3336	6826	13957	7685	7944	5086
1146	1735	2934	5695	2632	7247	1993	5890	9709	4997
894	3079	3250	5238	4539	8369	8935	10417	10957	22157
2050	2748	4408	3457	1572	4601	8650	6286	13303	10605
678	1965	2996	7115	4314	7628	5883	9351	11572	9696
704	2988	2194	2702	6338	5778	3797	5466	9233	9286
646	3927	4090	5927	5515	4360	6703	12583	4247	12179
138	2509	1026	1093	5813	6865	7941	4563	11168	5967
1600	2841	1927	3557	3183	8861	3624	9676	3921	9621
1300	1541	3306	5171	4870	2848	5995	7886	15009	9252
569	1323	4065	1850	11702	3334	8863	3918	7884	10433
1042	1498	1696	9634	3356	6058	5636	2921	8321	10158
1100	2354	2376	2388	2777	4012	8058	2994	7705	8233
1134	5812	3549	4084	1977	5425	3195	5017	4394	25636
1335	343	4373	4872	5562	2777	2134	9651	7630	9449
674	3598	4075	3355	6594	5793	4754	2775	5660	8832
448	3973	3804	9094	9030	5665	6247	8809	2585	9581
3655	2849	1042	3045	10699	2706	4185	16330	2611	9662
1040	2162	3525	3237	7048	5943	2393	5294	5932	4970
1353	2017	2070	2065	7725	5662	3231	7876	12946	4750
1136	1855	3503	4401	5730	5126	4231	7526	6407	7087
229	2192	9795	2871	3340	8123	4571	10690	6292	8246
543	2750	994	2693	4879	1432	3007	7660	5835	7441
2247	794	951	2778	4409	2622	4040	7885	7065	7427
1823	1941	2283	4690	3628	6141	7582	5348	3250	10995
1915	2785	3447	4239	21726	6431	6152	6161	19247	13474
2018	1325	1464	3026	1562	5952	5318	6305	11347	5071
0	569	4616	5044	5961	6998	7392	6663	10179	8771
1638	1483	5581	5889	279	6316	7069	6780	11600	5840
1387	1556	2663	2847	6878	19048	6082	9658	4582	11126
1978	1330	1916	2637	4800	6846	4619	7183	7047	10415
1141	1031	4964	2530	3801	7779	3159	7368	4182	10671
1480	2822	1886	4442	3965	9168	3051	7942	12417	6915
536	1700	751	1873	4389	9061	6523	6887	7124	27555
3190	4108	2151	3450	1962	6041	8162	5190	4385	3706
688	1986	3078	6478	4820	2766	9564	9830	6027	5170
2017	4164	3620	5066	7509	5441	5856	3976	3143	4767
1060	3231	2344	3556	7810	4154	5679	6329	4996	9291
3400	1602	3156	4913	1762	7246	6580	3110	4383	23847
1328	587	3038	3173	7085	4918	4644	6094	5305	2924
1416	3226	3577	5857	1732	6016	4847	11730	8103	9194
1024	2350	1907	5475	11725	2493	9135	7864	6045	8924
698	1612	1767	2033	2567	6058	2890	13262	3487	5423
1566	1299	1832	4054	4266	5858	7108	4505	7685	4493
1834	1762	6645	2742	3203	3480	7170	4865	9402	4219
633	1721	1473	2764	1421	5316	5716	5701	11263	5749
2183	1888	2351	2598	1053	3256	6500	5228	9758	10359
463	2521	2611	3130	2815	3744	6545	8601	11575	10378
742	1765	1907	3568	4144	1902	7668	9104	5424	3870
475	1604	9937	5048	3019	3511	6642	13116	7581	6322
1146	2389	3171	2501	2659	3180	6164	4082	11980	9736
1497	1707	2520	3044	5834	5075	7457	4452	7296	8772
1685	6469	1660	2968	3073	5507	5113	8167	8134	27555
1399	2651	1636	12829	5061	5142	3946	5816	7383	8205
519	1715	674	3795	6674	4544	6253	8713	7478	11948
2753	2597	4746	1630	3523	2708	8160	6371	10856	6507
1074	2517	1837	2324	11219	6980	6389	7808	5657	11906
1290	425	1448	3034	1780	3422	4603	8072	21885	28764
1433	2184	3048	5656	7463	5682	5755	4656	7907	4242
1684	3591	2585	3299	6743	3586	4560	3679	11665	3755
1544	3699	1497	3524	5252	4592	8004	10525	3790	9489
1649	1235	3832	3968	3390	9155	5417	10050	8812	5524
1240	1687	2167	1508	4752	5205	5908	8625	3450	7627
1860	2034	4916	2125	6028	12694	6428	4402	5775	3881
1039	1945	1814	5609	3027	5900	5390	6504	10808	24525
1180	2255	2891	2382	3126	3933	7457	6754	5452	6260
