0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
102	965	991	670	1660	1177	983	2450	2534	1550
673	713	3029	1155	745	2442	1630	1316	1671	227
667	511	962	667	466	1665	1322	1361	2475	1040
912	336	628	1553	655	616	575	442	710	1121
246	404	1643	5674	2216	1016	1212	1188	2318	1403
525	793	979	623	1112	1060	1832	1142	1399	2086
238	830	109	1110	1036	1313	1553	318	2653	945
741	616	523	600	3756	1237	1146	1052	1440	2055
204	591	485	501	1566	1844	2534	1007	1799	2641
523	714	670	335	797	829	2061	640	3450	1392
879	1177	1053	627	920	0	1672	1825	1235	227
504	1373	419	272	1432	948	2516	418	1798	1260
793	413	986	363	1915	1211	1853	1084	1758	1919
335	353	713	584	832	653	2174	1465	5179	1868
530	266	1140	1100	1422	906	1104	901	1155	1187
474	603	894	807	1566	706	2412	1565	1360	2124
429	203	968	248	1966	777	940	1068	2746	1406
1326	450	608	766	885	902	1696	3503	2380	1348
1117	1448	968	1200	1118	1461	1702	2385	1440	2349
247	126	993	1813	2465	1158	527	1425	918	1746
467	440	253	1928	2407	672	1092	433	1600	1247
560	440	707	352	1322	1259	1676	680	1486	837
316	786	511	103	108	608	1215	1283	1117	2014
902	353	740	729	1174	1121	1042	1659	2267	5494
261	420	905	683	432	2165	214	1811	3575	651
424	519	1494	1318	699	867	731	1072	1574	927
554	645	1049	671	862	108	1328	1476	1542	1076
904	263	429	1441	446	533	2901	574	555	3066
824	495	432	1079	817	958	1804	741	1889	2931
272	626	937	1368	1125	985	1362	2137	1338	2274
187	860	851	922	887	1540	1604	616	644	2753
215	318	554	1399	594	2498	1273	1075	2636	830
1191	689	918	1242	1076	1526	0	1385	1313	2224
355	690	2330	1958	682	700	1244	1427	1180	1469
559	228	974	1090	1494	969	1425	629	1488	1712
529	1576	302	1448	424	1530	1681	1966	2855	2198
708	237	693	1444	1934	770	1658	1035	2136	1441
214	432	611	143	1724	4771	2621	2056	2292	2269
758	1293	542	552	807	651	358	501	1569	1337
363	648	891	822	469	1180	1964	289	1092	1807
364	407	702	1230	989	627	1029	1537	734	1842
220	543	634	2103	3028	1546	1603	1074	1068	860
208	238	813	1868	850	0	1010	1337	1917	1096
332	540	302	543	942	1066	1091	1329	1653	1234
105	429	246	594	1865	1292	2576	1281	2798	3107
491	101	1141	1113	266	623	2587	1013	1407	1496
330	632	323	599	627	1465	423	1153	3148	1927
109	783	740	932	683	1002	760	1151	627	1159
2290	217	1054	598	473	932	515	924	1118	852
479	852	414	690	225	1042	2108	2384	1900	1287
275	1097	667	2583	549	1212	1865	1593	1519	2199
