1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
1	330	5	6	6	6	302	6	34	11
1	10	2	5	3	57	33	187	233	7
189	4	136	321	9	50	328	92	14	75
78	2	9	212	3	95	42	4	8	1
197	4	2	1	31	17	619	40	356	9
74	2	198	10	25	162	53	1	14	24
2	2	5	345	80	263	11	71	6	13
7	2	7	85	3	21	37	371	87	432
1	3	3	1	16	13	28	38	17	4
1	2	8	6	9	61	37	127	76	17
15	5	7	43	20	140	100	16	36	16
7	4	24	2	18	22	9	549	228	165
17	2	3	447	15	8	1047	67	375	210
2	4	70	34	5	50	7	504	31	146
126	29	17	17	398	99	284	8	309	27
1	529	44	185	22	393	38	7	49	145
2	3	1	12	15	7	626	3	26	16
248	1	18	29	16	326	14	15	9	86
6	1	49	125	4	86	288	722	282	56
1	5	3	161	5	43	15	141	13	45
94	229	11	188	24	7	57	9	83	313
2	8	3	5	92	5	90	41	93	79
1	1	189	2	587	16	35	274	150	480
3	3	129	8	73	11	67	20	16	28
12	1	5	10	40	24	16	16	61	97
1	2	8	73	20	102	10	7	2	72
12	7	85	912	235	19	20	151	254	21
1	1	7	4	4	7	3	15	218	17
1	4	4	11	69	4	582	51	11	394
1	31	8	8	32	22	48	7	22	53
1	8	28	1	9	123	65	171	531	36
19	3	10	200	687	19	22	33	41	13
3	7	160	523	114	47	9	5	30	79
1	2	10	74	11	18	2	6	81	415
112	1	10	60	11	101	20	1119	42	8
1	68	51	689	39	23	28	75	296	61
9	4	36	34	17	13	1	266	7	19
21	6	21	6	8	283	202	15	76	12
1	2	16	4	6	115	347	16	320	31
38	4	8	4	16	57	65	118	11	3
2	3	36	12	204	108	14	50	42	1554
169	5	120	12	2	17	16	20	3	7
1	37	5	39	174	7	9	35	26	68
58	34	13	5	112	305	13	104	427	4
3	163	5	205	54	18	6	299	668	6
2	4	3	81	7	7	121	77	23	442
1	3	2	17	71	46	47	12	766	55
41	5	1	315	15	12	514	106	452	967
18	12	4	11	119	16	23	165	42	16
4	267	10	4	267	12	78	4	3	168
2	4	13	33	26	117	7	656	9	262
2	4	28	216	31	46	12	585	17	48
1	20	2	50	42	11	31	60	57	35
3	43	39	179	58	101	12	324	28	26
227	43	44	21	152	30	956	5	140	15
86	2	1	8	5	13	6	192	8	13
1	114	6	46	9	79	3	6	9	44
20	106	272	1	48	52	2	117	42	140
1	2	2	39	2	98	120	12	244	400
14	1	124	34	660	396	30	11	590	13
17	5	16	4	7	69	4	298	782	1139
1	4	3	41	93	8	9	2	76	37
21	104	372	10	1	17	210	131	27	37
1	3	23	3	83	95	39	13	7	46
1	11	26	282	6	130	54	10	48	15
109	2	7	204	33	11	78	131	29	699
1	6	6	6	27	10	317	173	170	59
1	7	4	13	15	626	10	9	4	186
2	16	3	363	217	53	11	27	9	97
49	1	15	44	401	99	36	5	52	76
10	1	2	18	46	33	4	21	21	28
13	3	41	272	3	31	14	36	1253	7
1	19	526	6	25	122	161	170	32	718
1	4	5	10	8	31	143	14	87	140
4	8	132	61	21	27	8	69	27	12
3	138	23	41	12	97	32	45	212	16
31	54	8	158	339	3	331	15	992	5183
9	186	127	16	46	1326	275	302	4	21
1	2	2	10	47	533	41	78	2086	18
3	3	5	4	10	209	7	5	265	189
102	15	5	3	6	14	127	54	33	13
41	114	165	14	40	29	2171	24	402	2
1	4	76	50	10	28	29	6	218	75
4	2	3	3	38	11	9	9	191	179
52	79	32	143	13	6	91	22	13	46
2	2	75	6	10	55	26	118	415	154
224	5	15	5	278	162	54	126	9	934
1	1	2	111	162	59	88	32	96	257
1	13	14	363	22	5	8	40	167	60
17	124	151	13	149	18	36	282	55	175
1	7	208	26	284	97	14	1352	9	32
103	36	3	111	3	21	7	196	11	18
2	27	48	4	18	8	8	553	21	63
1	2	5	31	71	17	301	583	65	34
2	6	53	215	72	30	10	54	184	512
5	21	6	9	41	455	108	13	1202	200
2	30	122	60	24	75	9	14	8	12
1	5	51	28	2	11	21	46	10	57
1	18	10	563	887	21	33	129	83	48
18	2	26	341	29	166	20	220	17	82
2	8	14	8	23	156	579	10	4	20
1	1	28	21	13	11	99	31	25	600
1	26	3	24	22	10	142	5	85	66
1	6	34	7	8	13	255	116	330	28
11	4	5	4	30	10	12	314	13	53
51	139	160	21	4	28	25	502	7	16
79	15	6	6	29	13	269	17	86	13
1	2	86	176	9	365	39	28	28	106
3	1	4	294	366	13	74	115	72	83
103	11	91	2	24	16	524	16	52	202
60	12	16	3	41	52	4	20	9	14
1	7	85	12	10	25	7	16	13	139
111	13	4	14	3	256	14	16	4	12
11	2	32	155	57	47	35	29	9	64
69	337	9	2	72	4	52	130	152	8
37	2	4	3	66	6	11	172	45	34
48	5	3	7	32	430	11	60	169	31
3	5	13	4	116	13	6	15	135	42
3	2	8	159	68	20	273	386	58	18
1	5	29	397	15	12	14	18	228	78
3	9	6	772	4	57	29	308	53	164
1	7	2	391	8	40	4	44	18	245
1	9	8	13	25	20	383	132	379	147
2	3	142	2	1126	16	13	98	117	32
9	29	4	6	158	11	269	16	22	166
2	19	3	19	6	119	33	738	355	40
5	6	413	8	8	43	20	272	11	386
24	683	9	39	205	8	3	126	92	6
112	4	15	30	548	25	12	45	10	122
3	139	55	4	6	406	107	240	151	736
1	2	196	96	397	462	11	27	53	4
28	11	171	19	30	223	1	5	692	633
2	22	68	6	8	151	16	54	35	315
1	121	3	51	7	39	13	14	131	138
1	2	81	254	37	5	10	16	14	15
1	2	4	42	2	205	12	158	17	31
20	22	19	77	5	116	91	92	16	270
103	20	3	182	20	2	296	99	24	344
1	13	289	53	164	40	236	12	25	505
1	8	1	41	34	15	13	48	241	25
81	3	407	70	3	26	21	131	36	31
2	22	6	109	79	13	34	70	63	14
230	31	11	15	255	3	20	4	12	2
35	2	267	6	43	10	80	4	216	32
2	31	16	304	112	19	87	145	12	40
2	3	3	35	65	20	44	112	110	250
147	7	3	27	869	46	60	20	445	129
7	5	4	1212	31	9	14	21	27	6
1	5	2	117	5	221	43	8	42	426
27	4	93	17	90	13	56	18	1	102
1	3	54	9	1477	46	624	73	41	20
3	31	5	14	32	4	16	331	286	635
1	5	12	5	69	100	333	21	296	7
6	3	1	271	4	53	38	35	113	617
324	150	6	13	46	82	445	5	25	10
3	2	282	205	2	68	26	140	36	217
1	11	10	238	17107	12	874	19	314	186
2	3	17	649	7	18	18	26	91	10
1	2	164	49	5	167	19	11	53	60
2	4	1	7	111	52	121	226	91	77
1	65	62	6	13	6	10	11	20	31
4	9	274	12	5	38	14	30	25	204
2	23	1	33	19	133	41	107	26	71
1	1	4	4	288	20	11	81	639	8
42	67	18	80	16	1108	103	101	236	68
2	28	5	9	5	93	5	6407	24	41
2	4	2	123	9	15	16	15	276	191
15	2	33	18	13	20	13	35	14	157
2	3	3	82	811	19	3	21	802	7
131	2	6	657	10	47	86	145	413	41
1	4	45	80	8	19	109	9	6	248
4	1	5	200	290	6	269	11	160	3
1	47	6	47	87	28	64	10	466	1748
1	852	23	8	11	140	6	216	121	403
3	18	6	880	124	2	17	26	39	30
21	2	48	6	10	133	52	93	10	11
2	4	1010	59	72	69	11	23	65	36
2	3	3	8	3	6	48	12	44	107
1	11	3	8	6	49	17	165	11	251
5	82	4	71	587	28	258	64	232	39
353	54	18	2	11	12	15	16	8	177
3	69	5	4	5	4	7	15	16	48
4	4	16	30	32	10	7	108	2	131
4	4	16	20	13	82	7	141	204	40
3	5	4	5	24	15	25	503	43	22
18	12	3	7	21	9	48	24	101	57
63	4	16	27	500	244	20	455	34	663
3	124	3	65	103	8	104	16	261	60
3	2	9	223	61	34	380	182	165	226
167	4	6	2	149	10	8	23	11	74
1	33	14	218	7	19	29	4	41	356
87	2	3	87	10	40	22	820	14	11
5	6	12	40	185	214	19	61	21	1053
1	31	4	50	8	34	71	87	797	20
5	3	4	5	23	140	10	15	77	777
6	2	214	18	5	128	5	531	40	125
3	8	13	6	90	84	219	100	603	153
81	12	3	11	65	9	111	239	56	21
1	1	5	126	24	17	8	106	117	77
1	2	34	154	53	467	24	127	69	61
1	4	132	101	260	102	30	21	142	129
8	3	6	32	126	95	52	11	21	780
127	90	5	119	29	180	69	29	924	150
76	14	210	94	103	16	339	153	209	91
47	3	106	7	527	14	66	130	22	178
1	8	17	12	38	29	34	178	11	83
1	4	2	7	39	64	53	29	16	25
1	20	7	93	5	27	14	133	882	119
10	179	3	96	229	6	225	36	13	476
1	110	7	10	39	13	8	10	82	276
1	219	12	123	28	45	7	6	7	984
15	1	8	4	332	34	26	170	260	88
18	41	157	61	7	52	9	16	52	21
1	3	25	27	15	15	14	15	143	4
1	2	2	12	37	6	3	21	25	80
2	60	13	107	4	7	9	56	12	98
8	14	223	1	6	8	97	57	5	36
1	1	13	6	9	10	33	30	7	57
2	1	1	123	7	12	526	22	8	43
3	153	10	10	7	135	191	28	9	15
4	2	67	18	222	11	244	16	36	397
42	2	3	6	1108	5	73	81	23	25
1	41	5	20	106	9	9	117	8	14
1	4	8	14	13	12	96	19	182	285
5	277	41	16	22	58	104	3	33	23
78	36	11	500	272	63	3	335	111	73
1	9	7	54	139	47	6	33	70	580
3	4	23	15	20	10	7458	14	49	5
1	2	2	66	6	53	208	135	17	473
3	159	4	180	588	79	197	22	34	64
3	7	10	5	140	315	16	82	21	49
1	2	1057	62	263	9	26	164	10	86
8	11	32	23	4	30	3	22	12	13
4	9	59	4	396	14	9	15	82	48
128	3	1200	34	10	21	8	555	17	8
1	2	3	50	6	147	3	51	9	127
4	219	193	10	48	47	191	21	205	1828
3	4	12	13	24	7	51	52	118	324
2	8	8	168	7	9	13	11	102	35
1	3	188	6	1	460	41	15	1133	93
15	7	12	28	11	59	100	61	13	1139
1	39	82	14	5	10	50	6	12	413
1	2	5	58	43	7	98	181	24	134
1	19	180	3	320	7	19	12	38	4
1	12	43	276	44	116	8	26	174	19
1	283	349	300	13	9	9	13	43	187
149	2	2	32	233	7	6	105	92	221
4	20	145	3	230	111	68	35	17	33
1	17	50	8	4	93	11	48	96	67
3	2	4	6	2	22	77	6	4	16
6	5	8	258	30	178	11	233	30	31
4	3	3	138	39	7	17	65	80	246
1	11	47	10	4	13	43	14	246	41
1	47	262	12	2	65	13	26	375	356
1	3	1	4	29	85	16	73	66	112
55	283	3	13	2	384	4	66	714	40
18	1	115	206	9	22	664	14	95	828
1	1	5	4	9	9	28	56	76	6
322	17	3	3	209	186	103	55	86	43
2	64	8	165	8	141	22	26	121	3785
1	3	58	8	85	14	14	31	9	696
1	10	114	55	8	299	268	11	42	9
1	5	205	66	31	11	12	46	32	43
13	389	29	49	16	104	97	161	19	19
63	3	6	2	5	106	24	172	293	4
3	10	126	192	64	20	14	11	143	460
1	16	3	8	16	5	13	14	159	42
15	22	493	12	443	22	3	3	3	4
15	3	52	244	13	361	13	25	123	621
6	15	26	12	16	21	124	106	20	16
1	5	243	65	63	8	37	26	14	14
5	5	100	27	8	10	12	24	16	40
89	1	6	59	15	39	20	29	93	456
10	227	5	5	356	305	245	9	83	21
55	9	193	5	46	11	44	95	100	41
1	3	42	10	28	22	19	16	16	58
1	4	12	271	10	336	11	32	7	135
124	3	5	147	13	6	537	9	354	17
2	16	8	55	112	8	13	19	15	151
1	9	10	318	7	6	249	172	51	705
1	6	17	7	5	12	2473	30	38	14
14	4	4	55	511	13	178	38	12	122
1	24	4	1	13	27	47	95	222	81
40	14	3	29	4	17	12	21	79	33
130	8	27	85	5	11	4	105	236	8
105	5	2	45	10	10	540	23	84	295
24	9	8	108	4	11	27	36	29	86
12	37	8	102	41	4	57	7	214	355
5	5	20	1	202	307	10	19	12	206
12	6	8	10	98	135	8	115	194	428
108	13	14	7	7	147	11	23	117	12
29	51	201	3	229	70	13	54	137	11
5	3	1	7	108	9	4	9	2	7
1	2	93	8	69	18	25	548	125	67
1	1	3	11	586	21	1	619	48	77
7	4	1	9	53	162	16	306	11	87
7	2	17	232	47	23	66	332	19	155
147	3	15	89	72	13	7	10	66	63
1	2	1181	9	7	554	7	5	11	308
1	64	40	6	61	3	82	8	32	21
262	93	4	32	15	7	7	75	299	112
1	1	1602	17	18	103	9	80	13	1156
543	5	5	41	18	254	67	4	32	16
9	2	125	11	26	13	163	2	29	26
4	4	6	5	22	21	91	324	40	70
7	3	4	38	14	188	41	9	65	321
27	10	9	7	8	145	142	442	135	45
1	3	31	229	5	21	93	831	245	24
1	246	12	18	38	155	115	111	225	31
2	2	3	14	8	22	683	239	819	316
10	166	33	3	18	102	19	31	15	185
4	2	14	21	13	54	14	103	113	838
2	3	6	5	4	10	10	105	20	8
26	2	72	4	28	22	146	82	47	15
1	10	282	18	18	127	49	9	342	13
11	13	3	11	599	10	8	2	82	97
1	21	18	310	9	282	18	12	20	784
5	4	3	71	184	151	61	34	102	19
79	481	4	106	7	37	42	6	205	77
2	18	4	10	16	59	8	317	67	336
1	6	7	40	101	298	94	58	9	12
1	1	2	6	2	22	22	1066	39	517
59	26	577	10	41	23	44	19	21	22
11	1	11	3	5	134	73	64	8	71
1	36	20	11	33	5	39	23	102	132
12	6	4	206	7	13	139	29	14	185
3	36	22	16	399	159	29	70	528	10
125	3	47	139	37	204	596	19	17	90
1	26	3	58	5	1	15	16	5	25
8	6	59	122	261	539	44	84	180	115
122	2	71	5	6	121	31	60	18	359
1	9	6	110	16	352	113	19	9728	740
85	2	196	4	305	78	112	7	9	39
1	10	95	4	99	4	10	2	248	108
1	1	2	19	1	8	2	25	21	367
1	4	1	6	71	73	241	18	493	26
523	2	46	223	248	813	10	99	14	867
24	11	9	6	7	242	1	13	19	405
2	4	5	13	16	45	83	23	180	457
1	6	11	142	85	56	107	14	26	19
5	92	20	25	7	16	10	275	199	21
9	34	180	9	22	688	12	158	12	50
1	129	6	12	2	288	14	1463	108	1217
8	8	6	4	18	35	24	268	86	35
65	314	7	3	137	50	204	134	24	41
2	49	2	21	35	4	95	32	166	19
4	33	207	19	60	266	10	61	57	6
16	65	8	51	248	6	88	23	194	12
62	184	12	20	13	16	10	22	14	12
1	7	4	121	5	267	5	25	267	48
1	8	3	98	93	3	15	35	66	23
23	5	1	15	137	44	244	661	57	64
4	40	9	199	351	2	8	47	222	105
9	448	2	104	5	7	537	14	21	84
3	82	118	3	55	12	8	6	97	49
3	9	3	219	19	7	91	53	26	127
1	5	1	116	7	39	383	109	80	249
13	22	166	8	12	276	106	11	1261	8
6	138	53	4	16	473	579	7	14	40
1	49	5	76	111	48	3	20	238	22
1	5	38	39	107	4	40	22	29	20
1	56	217	37	37	19	36	16	12	44
3	1	68	81	9	40	75	139	38	66
11	1	120	9	3	5	61	141	271	858
2	6	5	4	12	11	4	647	287	55
20	64	577	18	39	26	14	133	20	83
2	7	5	16	12	14	67	27	20	223
1	6	259	14	8	13	14	222	72	8
58	4	4	131	10	9	47	7	259	24
2	24	6	5	63	33	14	3	21	6
1	4	48	8	565	163	13	113	106	154
17	54	288	98	70	21	37	26	289	10
