1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
1	3	3	6	14	21	32	5	63	38
7	2	18	10	23	22	11	5	23	19
3	3	17	8	13	17	30	34	16	26
3	2	5	12	5	61	46	15	11	2
1	4	7	11	19	5	15	13	7	29
1	9	4	16	10	2	48	58	39	13
1	3	7	7	33	16	10	11	51	23
1	10	22	7	15	12	8	26	3	11
4	5	3	33	47	7	7	4	9	85
1	2	9	12	7	5	10	15	4	10
5	7	2	5	12	15	55	65	36	12
1	4	23	5	7	4	11	21	20	16
18	4	27	74	5	28	6	20	28	52
1	9	4	3	9	23	34	13	11	45
1	1	12	8	9	11	16	28	13	9
1	3	5	37	8	28	17	20	111	17
2	3	5	12	18	5	42	14	7	54
1	3	4	8	26	8	23	8	47	17
1	13	1	22	15	12	6	9	8	6
14	8	8	10	8	8	49	13	22	18
4	8	22	30	30	15	20	29	13	19
4	3	6	16	6	13	4	21	60	31
3	8	5	3	3	23	11	9	28	12
3	4	4	10	2	3	20	14	11	18
1	13	7	14	11	4	11	15	38	15
1	4	1	8	2	16	5	27	17	33
1	4	7	15	12	32	24	9	27	149
1	2	34	4	13	35	3	5	8	18
3	5	7	5	7	6	17	61	10	27
1	6	8	3	5	12	87	5	39	16
3	39	9	7	8	8	24	35	70	25
1	6	17	5	8	35	26	37	26	18
1	3	2	7	10	26	13	20	12	52
1	3	3	15	24	22	11	16	34	3
2	1	1	7	13	4	36	33	14	12
1	13	5	6	4	8	39	39	50	15
13	6	11	22	4	11	33	20	31	31
1	3	3	6	2	12	12	36	17	44
1	2	2	16	12	7	10	26	21	20
1	2	14	1	8	39	14	15	18	14
2	6	4	5	2	11	45	13	11	18
1	12	3	2	9	14	23	18	17	20
2	5	41	6	6	5	12	11	10	18
4	7	17	2	8	67	14	37	29	3
3	4	13	8	7	10	10	12	21	86
42	11	3	18	10	16	108	2	19	35
1	3	16	14	94	10	31	71	29	7
2	3	5	31	5	19	18	2	13	30
9	3	7	27	29	22	13	12	32	5
5	42	3	20	11	16	13	9	33	51
2	2	3	18	4	5	18	16	19	23
4	7	4	8	27	13	15	11	11	25
2	10	11	13	2	17	3	75	23	9
1	2	4	10	21	13	7	20	37	17
24	1	10	21	7	12	7	55	25	10
1	1	4	8	17	7	8	101	14	51
2	8	4	10	99	5	18	29	11	4
1	2	13	3	6	4	15	48	24	4
5	1	13	20	10	7	20	27	26	22
2	3	7	2	7	14	25	24	22	31
10	5	8	16	7	7	21	29	3	16
2	8	7	29	5	10	12	11	11	28
2	1	5	11	15	22	68	14	42	19
2	3	2	11	5	7	53	31	28	5
4	3	7	8	1	2	8	4	4	12
2	5	12	5	5	15	67	26	35	14
1	2	3	10	22	74	35	8	18	94
9	4	10	8	2	7	46	23	14	35
1	5	15	9	14	7	47	10	10	39
1	2	12	4	29	8	10	29	5	26
2	5	7	4	17	21	12	6	10	19
1	3	24	10	26	29	6	1	10	18
3	7	24	9	13	14	22	32	48	38
2	29	1	4	20	3	20	13	31	19
1	2	2	10	7	20	2	26	17	27
1	4	7	13	6	25	20	22	3	117
5	44	20	4	9	2	28	11	28	12
3	15	7	23	7	2	14	27	130	29
1	2	5	12	18	6	27	68	24	24
1	2	3	2	17	17	1	16	5	26
1	1	3	8	5	5	13	17	6	21
1	3	3	10	28	20	13	18	8	23
2	6	6	4	7	40	13	17	29	13
2	2	6	15	33	5	34	39	36	17
1	5	4	4	7	8	9	4	16	9
2	1	5	11	9	17	7	12	26	18
1	12	5	7	2	25	8	27	14	29
3	3	10	4	18	5	12	14	19	49
2	2	2	34	17	19	15	56	8	10
8	21	11	10	7	4	42	36	29	20
6	5	9	6	4	12	29	38	8	20
2	3	5	9	8	6	12	8	17	13
6	8	7	5	8	4	11	9	5	15
1	4	6	4	10	11	40	6	26	5
1	3	2	18	4	6	10	12	18	9
17	3	3	7	9	16	74	2	33	56
20	10	18	17	15	8	22	51	13	48
8	10	14	3	10	8	11	54	11	29
2	3	34	20	29	21	3	13	38	34
3	3	31	24	3	7	13	4	42	26
2	2	15	3	15	17	25	3	20	21
1	5	21	5	11	2	20	9	36	20
1	17	3	9	12	4	21	69	12	27
3	2	9	9	33	24	48	37	14	17
6	3	9	14	15	7	3	24	41	17
57	2	3	15	20	24	10	3	5	54
8	4	2	6	21	26	21	7	9	37
4	3	41	3	7	8	9	45	31	6
4	2	4	2	10	10	50	35	8	61
1	3	6	12	13	24	9	16	20	11
2	6	4	10	7	17	9	17	23	14
2	20	4	9	24	6	6	33	3	36
2	3	1	10	20	16	18	23	71	8
9	7	8	9	4	5	36	28	45	14
3	7	3	8	4	16	2	22	20	15
1	1	2	16	25	25	19	25	17	20
5	2	1	8	20	7	10	9	15	9
1	2	21	7	3	37	22	56	27	12
11	3	17	9	6	18	14	24	18	11
2	2	13	8	7	14	29	13	11	35
8	3	6	6	34	18	7	22	4	19
1	5	6	31	2	64	7	19	40	31
1	2	9	11	7	34	10	14	31	14
2	7	8	6	14	7	21	17	11	25
25	4	6	1	16	10	9	8	39	11
47	3	5	7	10	14	20	68	32	114
1	33	8	13	1	5	16	6	10	31
6	7	3	11	17	55	11	16	20	13
1	3	3	14	72	31	17	10	19	16
1	9	4	8	4	3	4	5	200	37
1	7	4	9	6	13	16	12	15	42
5	4	11	4	16	15	14	58	12	9
2	1	2	5	7	10	32	57	15	6
2	8	3	13	9	8	10	49	49	24
1	10	15	16	5	52	8	23	11	20
