0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
2	9	1	7	43	3	88	14	4	20
32	12	20	11	9	26	52	14	30	98
31	8	7	50	7	3	80	120	89	405
1	7	20	52	76	25	8	60	28	84
1	2	27	109	23	84	7	15	17	6
13	5	1	34	46	60	29	39	67	76
0	10	10	23	6	20	67	16	4	76
0	3	3	12	0	61	6	140	5	46
5	14	20	11	58	25	92	3	96	14
4	2	0	19	13	29	15	123	31	106
0	2	13	11	1	5	29	62	8	113
1	5	21	11	70	15	3	46	102	86
2	15	14	1	53	55	68	60	230	55
0	23	7	17	4	45	160	47	55	148
1	38	10	27	19	62	6	18	45	105
6	14	6	10	102	144	3	40	26	5
0	5	29	7	8	3	25	83	72	22
1	50	58	21	11	27	16	101	34	24
1	2	0	35	32	4	38	17	5	603
0	1	21	23	13	42	13	14	222	10
3	16	15	14	34	36	17	85	37	150
2	4	147	18	49	5	2	75	43	68
2	9	9	24	10	24	6	38	24	22
12	11	23	18	0	21	6	3	213	17
3	13	7	2	14	44	14	45	4	32
4	11	1	311	71	0	2	13	11	39
8	25	13	17	4	28	23	96	3	26
13	12	0	92	36	33	9	29	60	117
11	14	5	52	124	19	5	72	70	38
1	6	29	10	9	13	4	10	61	23
2	2	7	8	11	39	79	70	1	63
2	18	22	57	3	30	10	83	45	146
22	7	44	335	29	1	57	8	76	14
2	11	39	25	361	13	84	15	92	29
23	2	3	14	7	40	3	48	68	27
15	14	29	19	79	21	4	7	52	67
3	1	2	15	54	28	7	18	39	21
4	9	19	12	40	40	167	8	105	33
6	25	21	7	35	20	29	53	65	6
0	7	29	39	1	48	4	134	60	31
17	6	12	25	121	12	12	31	47	9
2	17	48	4	17	4	38	16	10	36
5	0	22	31	37	3	225	38	39	22
4	2	26	55	87	44	31	64	77	27
1	3	125	4	32	16	95	10	11	69
8	4	5	32	119	68	62	147	19	14
2	1	8	3	11	22	42	4	11	19
4	4	32	4	29	31	10	41	70	114
5	7	90	27	9	69	15	23	23	85
5	88	17	36	1	64	17	63	72	5
4	2	22	22	59	10	15	103	21	359
1	17	4	29	13	44	0	23	11	14
5	13	8	24	7	14	13	64	93	112
2	1	60	1	32	19	3	50	91	7
17	2	35	5	28	44	74	36	26	57
0	4	21	62	5	21	44	34	45	43
7	2	26	13	48	6	51	41	26	19
10	1	50	4	5	17	94	4	19	38
9	3	1	12	19	42	46	72	73	19
4	18	22	1	4	5	523	17	33	78
1	51	83	14	21	50	81	20	2	13
1	0	11	18	77	13	11	63	61	113
2	0	0	5	7	70	59	70	13	68
1	53	2	2	18	61	23	141	29	178
7	6	10	116	17	10	61	74	207	85
14	14	22	3	38	41	181	111	74	63
1	22	17	32	18	30	4	24	52	129
6	18	26	4	5	15	31	107	26	68
11	3	32	46	36	11	17	264	96	11
5	10	4	20	28	15	70	92	95	26
1	3	3	86	10	3	377	25	82	82
