0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
25	211	192	146	58	365	648	296	268	439
127	145	81	283	880	139	260	746	142	92
96	116	259	112	42	186	179	195	234	237
38	125	215	98	310	713	513	98	281	420
40	22	57	405	33	577	283	550	465	96
8	19	224	625	27	52	423	360	108	175
155	178	129	87	621	33	690	180	730	391
11	109	41	360	293	101	550	645	420	989
52	166	29	209	15	677	231	114	499	2182
91	112	311	236	410	306	95	309	680	98
55	166	694	138	262	623	135	857	1486	244
172	169	42	36	48	76	392	60	460	972
28	100	15	0	133	122	146	259	424	498
17	258	236	545	442	561	151	56	838	263
75	144	135	47	13	462	71	384	388	741
150	32	177	361	157	1706	56	564	133	743
3	198	45	122	398	157	360	261	2444	112
34	119	257	289	3811	108	1334	195	285	396
85	242	49	171	115	1458	1005	136	193	801
105	71	338	22	38	159	64	57	1212	767
59	102	205	77	72	258	171	1696	790	910
44	22	4	204	408	304	52	45	616	686
47	18	43	17	370	40	55	587	94	475
83	8	30	1020	306	1841	531	587	539	712
27	26	104	127	29	168	260	903	93	736
16	39	105	1331	210	399	321	696	1341	669
14	279	572	124	527	212	87	52	260	1046
215	175	125	41	39	183	38	614	686	556
23	315	180	837	45	337	334	227	295	84
87	76	62	784	380	243	180	311	72	696
24	706	269	133	123	211	296	374	450	111
110	168	76	1096	273	593	89	612	270	683
6	103	155	122	456	176	283	524	550	382
29	14	26	1512	233	458	534	646	251	1238
31	8	62	33	578	32	341	646	1763	389
18	16	141	251	513	519	309	839	747	56
45	37	9	707	276	319	695	584	235	274
77	234	90	74	234	317	183	683	444	640
21	134	224	305	155	1063	518	754	787	363
3	118	43	789	23	207	73	713	707	1050
177	72	105	110	433	508	145	214	729	74
7	246	1092	367	449	46	368	821	112	817
150	157	17	51	128	228	509	23	241	399
131	145	25	242	44	49	84	438	90	719
38	306	178	44	473	318	196	1404	705	950
32	89	143	345	38	154	2025	458	1307	2168
25	299	94	32	390	65	1214	95	89	812
