1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
0	0	0	2	1	0	4	4	0	7
0	3	0	1	0	0	2	1	4	1
0	1	1	2	6	1	11	1	2	1
0	1	3	2	7	0	0	13	7	0
0	0	0	0	1	4	5	6	3	10
2	0	1	1	0	0	0	1	2	0
1	0	2	0	0	0	15	3	2	21
0	0	1	4	1	2	3	0	5	5
3	3	3	0	2	4	7	1	1	4
1	2	1	0	0	0	6	2	2	0
0	0	0	4	0	5	2	21	4	14
4	0	2	4	0	1	1	5	2	5
0	1	1	0	1	2	0	8	4	1
0	0	0	0	6	0	0	0	1	3
0	1	3	0	0	0	7	2	3	0
1	0	0	1	4	8	6	0	1	0
0	0	2	2	0	0	3	2	8	1
0	1	4	2	0	0	0	0	0	0
0	0	0	0	0	1	1	0	0	2
0	0	2	0	0	1	4	0	1	1
1	0	0	0	3	3	2	1	8	78
0	4	7	0	0	3	0	2	3	8
0	0	0	3	0	0	2	1	1	1
0	1	1	0	0	0	3	2	1	0
0	2	0	1	0	0	8	11	1	3
0	0	6	1	1	4	40	23	2	10
0	1	1	9	2	2	2	2	1	6
3	0	0	0	0	2	6	3	1	13
0	2	0	0	2	0	10	47	0	1
0	0	3	1	0	0	4	0	3	11
0	0	1	0	5	2	3	0	0	1
0	0	1	1	10	6	0	3	0	0
1	2	0	0	1	0	3	0	0	2
0	1	3	1	1	2	1	0	1	4
0	0	2	0	3	1	0	0	5	12
0	2	0	0	1	2	0	0	3	0
0	1	0	0	0	88	0	5	2	4
0	0	0	1	1	4	3	0	2	1
1	2	0	3	3	1	0	4	1	6
0	22	1	1	1	5	18	3	0	9
0	0	1	0	1	0	0	5	8	7
0	0	2	2	1	1	0	2	15	3
1	1	0	3	0	0	6	2	1	0
0	0	0	1	4	11	5	7	4	0
1	0	2	2	0	0	0	12	3	1
1	0	1	7	4	0	1	0	2	10
1	0	16	4	1	7	3	0	0	1
0	0	3	0	3	7	4	1	4	0
0	2	0	1	4	0	0	9	4	31
0	2	4	4	0	0	0	3	0	23
1	0	2	0	1	3	2	7	0	13
0	0	3	0	0	3	2	0	13	9
0	12	10	3	0	1	2	1	6	1
0	0	2	0	0	0	1	4	2	6
1	0	1	0	0	3	0	7	10	1
0	0	0	2	4	16	2	0	0	8
0	0	0	0	0	0	0	4	0	4
1	0	0	2	0	1	2	0	1	13
1	1	2	1	0	5	1	1	4	3
0	0	0	0	2	7	1	3	1	3
0	1	0	3	0	0	0	7	10	7
0	1	0	0	0	14	4	2	3	0
0	0	1	1	0	0	1	1	1	6
0	3	0	35	4	24	6	1	4	6
0	0	0	0	0	0	0	0	3	6
0	0	0	0	0	0	1	4	3	6
0	0	1	1	1	1	26	2	4	0
0	0	0	3	6	0	0	9	1	0
0	0	0	0	3	2	2	5	3	20
3	0	0	0	0	2	2	4	0	3
0	1	1	1	0	13	2	1	2	4
0	4	4	3	1	1	1	0	4	3
0	0	3	3	4	1	2	1	0	3
0	0	2	1	0	1	11	3	1	9
0	0	1	0	1	3	1	0	4	1
1	2	0	2	11	10	5	13	1	0
0	1	0	3	1	1	1	7	8	2
0	2	2	1	1	2	4	3	2	6
0	1	0	0	0	1	3	3	3	1
0	1	0	2	1	2	0	1	1	0
0	0	0	1	3	0	10	4	0	1
0	1	3	1	0	0	4	3	5	1
0	0	1	1	1	0	3	1	15	0
1	0	0	2	7	3	4	0	2	8
1	0	1	22	0	5	5	5	2	4
0	0	0	0	0	15	3	1	1	4
0	6	0	1	0	2	5	1	15	0
0	0	2	0	3	0	2	22	2	7
0	0	1	0	1	1	17	6	7	6
1	0	0	0	4	9	0	1	0	10
0	0	0	0	0	0	8	2	0	3
2	0	0	0	1	0	48	1	8	4
0	2	1	0	5	0	0	5	1	1
0	0	3	1	6	0	1	4	1	51
5	0	0	1	3	7	0	0	5	3
0	0	1	0	2	0	1	0	2	6
0	2	0	0	1	0	5	0	3	7
0	0	0	4	1	2	2	1	5	3
2	0	0	1	0	2	3	2	1	1
0	1	1	3	0	0	2	1	5	2
0	0	0	1	2	1	0	1	2	17
0	1	0	9	0	17	4	12	3	5
0	0	0	3	0	1	2	2	1	18
0	0	0	0	1	4	1	7	0	5
2	0	0	0	2	1	0	3	2	4
0	1	0	1	2	0	0	0	0	5
1	0	1	4	1	0	2	7	3	2
0	0	0	0	1	4	1	0	9	3
0	0	3	2	2	2	2	0	16	6
0	1	22	1	1	0	4	0	3	2
0	2	2	4	4	0	0	0	1	18
1	1	1	3	1	0	1	1	11	0
0	1	0	1	5	2	4	0	3	1
0	3	3	0	0	0	0	0	1	15
0	2	1	0	0	4	0	3	1	2
0	0	2	0	5	4	0	0	3	3
2	0	1	2	3	0	0	0	1	3
2	1	1	2	0	4	2	0	1	87
0	0	0	2	1	10	2	2	1	2
18	0	1	0	1	0	0	4	32	1
0	0	0	0	1	9	9	11	0	1
0	0	6	0	2	3	2	63	11	17
0	0	0	8	0	1	1	0	2	4
0	4	1	2	0	0	1	1	3	1
0	4	0	1	0	0	5	0	4	12
0	1	0	0	0	2	0	2	6	8
0	0	3	0	5	0	0	1	0	4
2	1	2	0	8	0	0	0	2	21
0	0	0	1	1	2	30	2	7	1
2	0	0	2	42	0	2	3	1	1
0	3	1	0	0	5	0	5	0	4
0	0	1	5	1	9	4	6	0	2
1	0	1	1	2	1	1	3	6	0
2	1	1	2	1	0	0	3	5	8
0	0	1	2	0	1	0	8	0	3
0	1	0	0	0	0	1	1	1	17
0	1	2	0	0	0	0	4	13	1
0	0	2	0	0	2	1	1	0	4
0	0	2	1	0	0	4	4	6	0
0	0	1	1	3	17	4	14	6	5
0	1	1	1	9	3	0	1	4	1
0	2	0	0	5	1	2	4	2	2
0	0	1	0	0	2	0	1	6	0
1	0	0	0	4	0	3	1	1	7
0	0	5	0	1	6	1	3	5	1
0	1	0	2	0	6	3	3	1	10
