0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
502	3821	938	902	1086	4798	849	2590	1692	5108
486	610	913	1590	1286	1469	614	1759	1521	2179
1204	852	1043	1048	1303	1563	886	1741	1652	2110
933	777	847	1416	1752	1273	1248	619	1222	2896
953	915	724	771	1531	886	2473	2162	1046	3228
723	745	648	1225	1582	2059	2178	1021	1874	2134
501	776	1284	1317	1504	2039	924	823	1894	914
834	1157	1717	1959	2198	1511	2683	2855	1557	614
728	723	771	917	1160	1082	1075	2533	2638	1610
842	1288	1043	1716	891	1411	2447	1877	962	2462
691	338	1671	1869	1238	2171	830	1474	1652	924
790	939	1231	1372	2259	1604	2044	920	1037	1829
1036	494	1420	771	924	1777	3059	1959	2027	1021
643	639	1064	1176	1774	2601	1328	2869	2466	2346
818	999	838	654	931	311	795	2252	1257	1348
839	895	1091	3389	1057	777	1023	1927	3878	1765
104	744	1336	1072	1607	1277	2190	2295	1860	3272
729	137	789	999	1387	1033	967	1093	1868	6004
4404	1033	1329	458	917	884	1582	1173	2368	2729
1257	1428	879	1046	1678	4210	2286	1326	3229	1757
739	1285	540	771	1626	2054	489	1722	777	1967
559	1086	777	645	1442	1647	2539	4424	2389	2196
606	556	989	611	1114	1662	1651	1588	2093	4476
762	1084	1120	1065	564	1074	688	2276	838	1387
653	1442	939	893	899	1545	1464	1918	1782	1701
515	1048	510	1639	1777	1686	1230	1566	931	1122
561	913	889	776	1447	2562	852	2085	2880	1365
2019	915	1182	946	893	1992	2232	2049	614	1884
670	961	1544	1411	1002	1053	830	2181	1450	863
458	1692	620	1189	1448	1308	1655	2039	2922	2897
593	589	747	620	698	1332	3113	1075	2413	1075
968	510	1070	1295	1897	1136	2638	1996	1682	2380
1462	1321	1666	1166	1044	1754	1954	766	3119	2695
747	798	641	1949	849	1237	1401	1759	2210	4643
727	1396	967	1521	2210	1082	2489	924	1814	1240
697	590	1178	3299	1115	1556	1122	1864	1883	2251
1272	1067	875	1191	3723	4443	1466	2042	1379	2155
1026	1198	1663	1361	2212	2315	931	1338	2184	1075
952	949	1421	645	1127	771	2308	3059	658	1392
767	1287	1239	1534	1783	1304	2373	5707	1461	1542
665	1068	639	1448	1735	296	836	3120	1503	1263
487	931	1003	2098	2171	2110	922	2095	1505	1918
545	877	1093	1362	1298	1194	3268	781	1046	3453
723	1074	721	1194	1495	931	1883	1645	2447	766
863	648	802	939	1316	1612	893	1962	620	1392
585	455	1927	5967	1498	1719	1688	2411	905	1322
427	823	1204	638	1570	931	1649	1104	3457	1817
760	1442	1780	1572	1706	1304	2159	756	2849	1402
1024	582	1885	1636	1757	1966	2168	1451	1527	1337
805	1713	1672	1197	1557	1838	1219	2015	1307	2423
771	489	1953	637	891	2947	1908	1533	1329	1881
1018	875	771	1693	893	2535	6028	653	1184	1974
872	931	1431	929	1434	2172	1636	816	620	1746
682	1142	832	564	1993	2048	1474	1621	1901	472
753	504	889	643	973	849	1976	3732	1216	8388
671	645	908	1553	1206	2014	1327	2849	1537	2605
858	582	870	1936	864	899	3167	931	2497	338
898	1277	3435	1864	1613	3092	1507	1222	1033	2237
936	1166	789	1712	893	1919	1417	1272	764	2065
701	1089	1304	1310	946	1074	4432	1713	2554	1634
644	1800	1746	1668	296	1557	2230	2894	2243	1265
939	961	663	924	1331	771	3826	2005	1075	2059
933	1076	879	797	1455	1201	2039	1793	1474	2348
334	1147	648	807	147	1001	5922	2210	2449	3096
506	840	843	1234	2284	784	1945	1695	2099	2233
827	797	611	564	1557	1321	1151	2497	4881	1536
655	1381	917	931	1891	931	2845	2456	1905	1954
1198	879	923	3875	1286	1348	1842	1167	2237	2428
455	973	642	1438	852	1511	1871	1173	2314	1082
455	1441	1080	1742	1657	638	2338	1093	2785	2523
311	930	1199	1534	1858	2044	2068	2894	5320	1521
1078	983	1177	599	895	767	1173	2329	2124	2242
893	934	765	1688	908	1845	1173	989	1520	3311
924	699	4858	1938	4441	1635	1222	931	880	2763
1072	1206	1908	567	1498	1608	824	1529	2353	3479
458	1205	1396	1679	1137	3688	2120	2495	1686	802
531	2011	1345	777	1589	1838	2193	767	2406	899
503	612	1059	1198	1757	1171	2192	3113	1829	1621
535	4981	1080	931	2075	1877	802	1044	2247	2522
940	1094	902	674	1822	1284	1554	723	1392	2500
729	147	771	1481	2054	458	1545	1022	1511	2716
763	461	1697	637	1036	1739	1291	1278	2098	2661
559	1195	1235	1543	1459	869	1743	1173	2135	945
337	622	1737	1901	794	4139	6414	1065	2168	3078
671	1364	1085	1663	1961	878	1704	2170	2621	2770
498	501	1296	1424	1236	1975	2468	745	1180	8199
503	870	1551	973	1685	1254	612	1114	619	1474
316	887	786	1413	612	1033	1042	1338	2707	950
170	532	789	997	1220	771	1291	2162	967	2667
1256	590	908	1420	2427	137	2228	1630	1903	1982
820	843	970	734	931	622	1093	1349	924	899
771	747	1493	1822	1678	963	1577	1443	2562	3039
1233	884	931	1433	893	1665	1092	2122	2588	4590
1098	611	1154	2008	2799	1420	2636	2018	2089	1639
732	937	915	711	3423	1417	794	893	1264	2085
611	892	1526	1366	1479	1338	1216	1310	2213	3623
747	582	974	1070	1994	1763	905	1759	2024	2392
596	762	940	794	1464	2595	2044	1222	5216	922
1381	456	1080	1593	1577	830	835	1746	1322	2545
1438	889	2195	785	771	653	688	2079	893	2788
804	675	1377	1713	1721	924	2051	2968	9461	2016
427	1497	1221	2131	1606	1716	1915	905	999	1843
771	1213	1463	638	1726	667	830	924	716	2767
401	1953	749	904	611	1041	908	1288	1136	1908
558	1506	1374	1980	620	2099	1009	2206	2039	8253
721	590	1521	1174	1751	3163	3651	1406	4526	945
692	1243	777	1146	1573	1086	2628	1811	2920	2096
937	897	898	1044	655	2241	1474	1093	2572	880
622	1344	705	2119	620	1436	2040	1511	2167	3147
1147	1620	467	1189	3821	1666	2181	2063	2061	1074
758	780	544	767	777	1335	947	3049	2540	2479
323	1056	1601	1916	1637	1964	1973	775	1058	893
427	991	931	1390	1498	1429	1511	3045	2394	1081
588	1370	1045	1134	1044	1201	2068	931	1784	2086
624	637	905	1742	455	2397	893	2271	1757	2142
561	1093	1443	1351	1411	1031	1086	3107	2068	1402
957	836	1042	820	531	1294	1222	2092	1788	2774
551	741	1552	1996	1401	893	808	2860	2855	1545
