0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
757	418	847	1453	1448	1291	1771	589	1425	202
840	686	689	854	516	588	1648	682	979	1962
766	181	950	1327	961	1266	973	663	3473	537
659	292	976	702	1327	1072	1059	362	893	1466
181	1019	473	689	414	1149	775	929	1161	1219
1355	430	1041	667	920	769	784	519	1962	816
1349	1252	489	1411	309	995	520	830	1301	1067
519	922	217	1426	1575	851	1331	1174	853	1198
519	1014	1345	659	751	875	623	487	553	424
751	1023	1178	216	831	482	835	751	1047	1099
595	443	638	592	784	451	917	572	1189	1368
202	773	202	751	665	659	298	281	751	281
687	0	1318	216	595	787	917	520	555	1401
482	997	680	1355	1460	1007	751	214	784	741
589	292	293	1007	155	952	1104	1264	418	1191
513	748	746	513	1028	1455	1216	1395	433	1558
1119	714	682	301	1013	519	1174	607	1099	1650
673	444	433	1671	623	690	868	784	1297	526
1150	615	433	1419	845	742	1155	1206	1066	787
216	384	889	2359	480	181	1539	1536	374	1088
663	716	751	655	292	455	1124	281	1648	742
433	795	597	401	1304	433	1991	663	1491	1415
623	429	1096	484	589	673	2992	592	1168	775
1386	1269	997	373	619	1189	407	611	836	920
202	513	380	998	216	202	751	2371	2355	809
628	533	911	965	751	903	665	694	1327	1306
202	1127	1217	858	834	1028	596	1307	1439	623
232	619	574	1264	766	851	1314	995	1734	1357
688	767	694	986	480	216	433	896	1642	1055
703	482	912	1722	1178	678	580	1517	521	1604
542	1556	615	929	707	589	1362	1460	416	748
181	441	418	683	590	1032	1447	962	862	292
999	202	1826	416	502	466	589	1132	623	433
1023	1327	1233	1515	1174	568	1317	1441	1327	808
589	496	1003	216	454	445	549	814	1590	445
1217	723	1150	181	520	544	1781	681	606	611
949	1017	397	373	917	899	841	1326	1059	1162
199	1198	854	770	568	1121	216	362	807	1969
1161	757	1503	346	829	1355	837	2937	1447	611
619	739	742	787	2057	216	1189	1072	1017	480
512	638	435	414	1258	1706	202	1243	1269	1386
680	1150	751	433	1427	1177	820	780	665	1124
288	1444	533	402	745	742	976	1047	1063	1439
414	182	445	665	362	292	767	763	429	445
343	440	433	842	1269	1589	1536	1470	1312	1691
451	589	1068	832	1233	1356	1045	480	682	661
513	673	0	771	745	995	950	796	367	787
0	929	1653	609	607	1744	1402	1073	1298	682
687	665	629	718	655	454	929	1189	480	838
751	614	803	795	879	1400	451	2731	751	953
502	770	216	1073	680	815	903	1687	214	1216
216	1132	681	1001	436	789	930	1558	1318	1737
519	895	662	975	1558	1442	516	1247	700	801
512	972	418	202	216	770	1453	809	1029	1060
686	182	445	537	589	844	809	623	380	1150
586	1205	1338	786	718	780	1705	744	281	982
478	264	480	745	745	1654	751	871	1124	837
751	216	1071	606	939	966	1112	445	752	1291
433	607	444	1101	255	781	917	1184	1019	1150
658	1000	573	430	407	1467	918	1421	1580	380
301	1128	1196	433	519	433	427	4159	482	788
723	202	1072	917	1389	929	662	778	380	1054
743	751	445	492	1007	550	489	1826	436	1779
555	362	929	694	1823	1054	464	480	786	1236
537	380	787	742	1126	854	1779	1356	1648	428
520	1681	842	1161	1172	1590	433	1366	976	1064
962	719	544	216	589	967	508	216	1413	544
688	399	1579	623	1083	433	1199	1062	433	1455
922	820	540	515	298	1474	1150	736	1744	1031
669	703	202	1431	662	2005	1398	537	3268	1055
879	917	634	687	414	445	3628	1426	1364	362
281	1564	1127	336	484	416	786	292	706	1421
1044	719	1245	537	589	634	661	520	2133	1284
264	202	687	1217	875	778	883	1143	1174	786
445	441	661	362	868	1062	719	1156	568	830
540	1329	698	214	232	867	820	1055	1379	1739
1027	1322	634	1292	1006	202	436	1397	445	941
224	1405	430	566	1221	693	929	765	805	801
298	927	611	430	778	367	757	1148	3178	814
619	520	362	1368	767	1231	643	1137	611	1306
856	459	3273	768	784	694	929	929	217	1911
770	478	597	687	751	1150	1124	834	661	1395
181	929	343	1149	1856	492	930	210	623	981
662	875	718	380	418	373	941	1111	789	900
729	409	929	1047	499	917	629	1291	1066	995
902	1003	433	787	445	929	981	1201	433	748
1408	929	1666	202	1245	1167	924	883	1617	1687
693	1109	780	1338	367	427	704	757	1118	987
182	602	929	1088	373	1233	751	1414	2554	902
1252	778	555	631	1234	1765	1196	693	891	1355
301	1314	597	696	520	1413	680	787	858	515
1018	519	1015	744	765	525	1305	1129	1144	905
885	465	1073	1013	155	1167	1513	1188	1225	451
754	821	719	884	1294	930	1313	540	445	418
1159	217	828	596	456	1168	976	632	181	778
399	655	1205	1318	1041	751	217	362	1063	757
698	202	607	1687	706	1177	623	1954	1259	3378
1530	854	1401	589	1948	515	1033	1101	2015	445
929	1073	1648	950	1070	309	407	795	1818	975
655	928	1205	824	1054	995	982	1294	1427	1411
216	672	855	997	950	661	1345	683	920	997
636	628	1251	216	445	665	1313	1356	407	1214
1345	719	438	1206	611	751	482	673	1839	1115
992	595	751	590	751	929	995	1586	1523	1327
