0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
7	4093	2521	2236	2109	2669	7915	8859	2288	3223
328	2056	1686	1683	2108	903	8023	8359	9989	4680
590	2917	576	1456	1240	2604	2336	11935	8798	22737
66	1650	2592	902	4308	4381	7290	7576	7004	10445
1600	317	194	5586	2508	1914	8058	4339	4649	2449
2070	980	2236	1539	4858	2245	2173	6823	4699	7345
300	1590	3755	1175	3782	4958	7490	8941	3714	2010
4280	2317	5101	4012	3226	5942	2631	4492	2802	4854
12	659	2222	1645	7141	4343	4867	4269	4854	8542
898	1470	4228	2897	2886	5841	6287	3445	4336	8151
1642	1124	204	2910	4539	5762	3625	6235	2386	7262
621	2138	3468	5801	7310	3278	4383	0	7086	3543
282	327	2299	1868	1907	4286	2340	8254	1844	3138
698	478	2345	4016	3231	1335	2123	2254	3318	2651
1445	1241	2465	3278	3049	2552	4816	4783	5802	4712
616	1266	1100	2446	3518	7823	4920	6202	4263	6054
349	126	2381	3646	2220	6163	4912	5817	4260	6249
1058	984	3466	1748	4854	3955	4196	5097	4037	12907
1575	1922	1300	545	802	5503	1461	6319	6860	7261
1459	873	2025	1803	3749	3101	3275	5639	7046	5285
494	1163	943	557	5328	3567	11311	7549	21472	5923
160	2	3464	992	3369	4335	10539	6304	9709	6037
2485	1823	2318	2672	1788	4091	6280	3127	3079	29041
13	1338	2798	1824	3314	5751	6405	2480	2309	5823
122	1152	517	2323	2310	6845	2740	3034	3328	4926
784	1609	2395	4236	2919	1963	6137	3857	14978	8660
999	991	7143	3869	2985	4582	2352	7282	5797	6539
242	2651	275	1706	4195	1914	7904	20613	6232	5626
169	2078	600	4575	5711	2577	5167	5427	6484	6020
742	1102	888	5975	3678	3240	4360	1321	6839	20903
509	2776	831	3438	3227	4708	5221	3023	10036	2541
395	1775	995	1175	4594	7803	2484	3696	4219	2603
931	1825	1596	639	3123	2152	6753	3079	2697	7423
458	606	1170	1904	3187	5232	8728	8664	1546	8779
798	2271	2476	586	8743	3186	4844	3852	4058	5902
581	259	1839	3733	1947	5924	5582	2377	6993	6306
459	588	669	3503	2325	4069	5450	2391	6182	9735
1376	1356	3053	1928	3042	2376	3250	5267	3859	2376
125	1220	642	28	2741	6187	3044	8149	8547	4926
649	249	1376	3155	494	2958	3952	3478	5831	6031
880	238	7318	5266	3900	2362	6423	3606	4026	3213
762	744	813	3313	3276	4144	3617	30274	4572	16272
626	1768	1812	5134	3479	3351	3111	6897	5128	4175
1203	485	2677	1544	2676	2600	5625	13068	7554	6426
1620	2013	1518	3817	2068	5938	5645	4967	4825	4661
203	1516	1386	1457	4545	2702	7834	5600	6275	8195
1962	696	3155	3179	13026	4879	4694	6298	6557	10180
77	1478	1878	2527	1965	7969	6389	8026	6758	8078
1493	1598	3163	1686	2810	4738	5054	4394	4810	3870
1554	2282	2794	2478	2520	4822	9145	3595	3288	6460
118	725	1300	2234	2152	3887	19035	2128	7412	6483
27	6733	2365	2009	5241	5458	1826	3280	8648	5222
18	77	5487	2686	1777	5657	733	7418	8077	12469
582	421	8497	4834	2730	15905	7234	16404	5428	8756
1046	2688	1818	4741	4016	3557	4523	4773	6685	12194
26	3139	2989	2749	2784	14323	5175	7239	10592	7126
1514	1012	927	1468	5416	1994	7083	12090	3781	5888
680	2441	2013	887	7406	24467	7222	6820	7516	1600
705	3867	3580	4917	1618	4380	4535	3011	2158	7826
80	63	1315	1524	4338	4095	1632	3738	3624	8511
691	2162	1919	1700	2316	12010	9457	3158	3237	3655
1444	341	2551	2152	3185	4074	8277	6685	6213	9028
217	830	3923	2734	4960	1520	4153	4106	8953	2680
862	610	1609	1177	3267	14430	8555	6290	4253	6012
731	2961	344	2172	4441	2354	6417	2057	4555	5432
377	1078	923	1526	1827	6175	1938	7252	5215	8277
1705	1391	608	4736	1485	4535	2690	2441	2369	4916
95	1677	1732	1137	4080	6195	6344	3594	6388	4849
416	2140	834	3373	2673	2179	13584	3589	6203	8024
340	4783	1932	3546	1443	4679	745	2902	5627	8593
118	1718	528	2437	3187	3026	2613	5441	10542	7128
481	1770	1202	3144	2045	2305	3747	4632	15949	4193
335	3005	2018	1668	3236	3808	3912	4388	2929	2861
391	1636	2512	1329	4070	2587	2852	4310	6461	9490
622	2484	1715	3296	5694	1536	5653	2425	7694	24339
120	2828	22	1175	14438	5223	4747	6985	5358	10393
96	381	2109	915	2289	5767	9008	4000	4674	4584
2125	1698	3213	3022	4297	5272	3146	9677	3000	6009
1052	2645	1426	2811	9503	3384	3940	5763	11256	5678
733	892	1806	1669	1085	11752	2233	1628	4155	3515
907	795	2437	2025	5397	2251	6640	3417	4615	2222
2063	603	1752	4782	1829	2158	1792	9089	8053	10245
1491	767	1322	4992	2226	4236	1484	4413	5172	5430
607	1745	3994	0	2944	3043	2771	6284	2628	6544
579	5691	1405	4269	3932	2409	5504	6927	5965	1173
837	2541	971	2413	2408	1090	7635	3006	2239	3881
518	1794	3110	1236	2767	8083	6231	6080	8595	7793
632	1956	2768	1201	796	2156	2586	10310	5278	4046
368	1182	921	6594	3740	1778	994	5298	7671	8330
668	1304	672	1561	1339	6310	9140	1719	19696	7667
98	526	2417	2334	1741	4535	3309	6218	8963	9263
992	1648	2483	4769	6191	3224	3511	3579	3434	11137
4	802	1209	2086	3276	2001	8427	5603	4420	3286
571	12	1370	1822	3577	4357	6418	3003	7343	6271
980	1130	8024	605	2099	2691	8682	3824	4109	4806
919	4537	2552	1306	4700	2686	3361	4160	6524	5513
373	15	1502	1116	1272	4237	6662	3340	3167	2888
42	885	2996	7715	4734	2925	3992	5896	4415	3706
720	292	1756	934	2459	1641	2127	8094	3369	9743
627	67	43	1248	2923	2571	2047	2157	11079	9671
614	1210	2510	2853	3019	3758	6301	2554	8043	9195
1358	830	5542	2631	15195	2579	3272	4069	6771	8193
733	1063	6435	6879	1556	2314	4275	5162	5258	7725
1123	1586	2205	415	5348	13192	2856	5747	4854	2639
94	1157	1665	3046	2445	5570	1592	1706	21106	6445
766	3689	1948	2804	2991	5124	1438	4600	5063	5461
581	537	795	3747	8820	4891	2140	9494	2065	6265
816	1181	1202	2053	3764	3435	1881	1578	4579	6308
994	984	611	1988	715	3421	3967	6258	6316	4099
610	1115	535	3138	2886	2292	2817	5007	4805	11105
22	143	2218	1452	1697	2543	4341	9721	7206	4396
985	3949	462	1675	2468	4589	1430	2815	2004	10714
232	746	2835	2020	6553	1480	8073	1924	7726	1752
0	919	4609	1552	3598	4701	6906	10772	4589	10787
77	2429	1823	1470	8123	4858	4590	26291	7830	12166
983	970	1511	6	4058	2655	10996	1221	7608	12440
627	1964	2270	753	4184	1069	7193	5282	4596	3444
942	713	1333	2480	4335	2090	13155	3017	18382	5729
101	164	2037	616	3967	3062	9516	3141	10007	2299
809	1143	904	1461	6905	5421	4459	8666	5213	4728
560	3934	951	2609	3813	3983	3782	9111	4807	10735
278	1308	1621	2794	2149	2256	4131	6950	8125	27084
840	990	1508	1209	3311	2149	2650	6487	10958	8866
208	1417	2380	3244	1043	2767	3372	4516	3387	5797
59	2155	3479	3644	3904	824	1455	6332	15429	10480
715	1401	964	1578	4005	3728	5055	2609	9064	8047
380	107	1892	1462	4787	5474	2807	7239	5649	5495
413	610	3143	1142	1303	3207	5308	4374	4770	6187
787	1277	3864	3855	6838	2123	4001	4960	12670	5414
1358	255	1714	772	5312	1752	4442	6564	5817	4616
798	1327	1957	1453	4846	4738	6320	2933	5855	4643
724	2818	3268	2504	4745	2705	2858	4584	10366	12275
518	2277	3320	3227	5021	5465	3694	10270	7152	4403
1659	1788	2273	2492	2649	2825	7468	3510	6791	24848
278	2656	1665	2431	1224	3732	4697	5708	8206	6006
998	1279	1224	6491	1861	1836	4685	4446	11267	4689
1152	668	2306	2511	2456	7910	4435	4912	5731	24843
661	2783	1242	4191	3112	5163	18471	8527	3445	19101
1273	2217	6687	2438	8565	3559	4852	7450	5351	5908
3039	1198	3127	4	1326	2667	7459	4632	2408	5116
812	1273	3508	1353	8068	3389	2501	6587	7282	8677
1462	630	3504	3986	8533	5762	5514	8789	1778	6864
1884	1182	1061	1173	2341	4354	3402	4412	5329	2478
2077	155	1507	2250	5683	3561	4007	5136	4775	12124
1128	1986	1767	1898	2055	3254	2839	7062	7219	6934
794	1917	746	4149	1512	1573	1950	2948	5119	4405
453	2220	1942	7339	2934	3949	4512	4083	1601	7133
697	2798	4081	5889	4513	6102	3760	2104	8398	5626
1162	1794	286	1518	3910	5504	2299	8126	4300	7088
740	1399	1781	2671	5707	2026	6051	6736	8767	9516
910	1853	1675	4214	3631	1882	5568	3666	3828	8581
573	1232	318	2085	1028	6110	5405	4275	5215	9480
853	1854	2847	3495	1703	15933	8363	4431	3434	6138
139	259	1300	1648	1858	1416	3870	1628	11429	5042
0	1247	1253	1030	2989	1552	6318	7699	8374	3595
445	2216	4594	3091	2913	1391	3860	4243	7615	23698
946	503	1765	1993	1223	4898	2083	4758	3382	2546
450	461	1412	5442	2538	5100	13600	817	7850	3704
1415	3337	1286	16262	1873	1958	4194	9552	1989	3001
744	957	2831	1294	3519	2326	3956	2585	4577	6451
1659	1889	27	6570	1244	5481	2930	9249	4699	9363
378	1340	1240	8475	3064	3187	3397	7731	24093	3675
451	17	1069	4673	2033	2434	12800	3857	3902	18141
1208	1246	1021	1038	4454	1717	3834	5301	3004	6744
592	25	2623	1495	1371	4877	4033	3916	2991	10167
264	3115	9705	1228	2670	2623	4165	6392	2900	4268
608	2833	2084	2276	2258	5257	5504	5614	5086	5801
12	628	2036	2497	13715	3833	2337	2591	7396	11560
292	1910	1602	2930	5068	1027	3779	2905	25772	8065
1179	953	4427	1602	2277	1152	18308	3177	3543	8351
84	1261	223	1010	2922	16933	2417	2914	7621	7943
862	17	1570	1592	1463	3371	5995	7045	4757	9226
338	1192	2644	2118	734	6630	5090	3844	2927	4762
692	2381	1719	3195	3973	9942	15311	4536	4307	3145
574	7000	3093	3552	2617	6299	7291	12409	2888	3335
1547	1954	249	657	2863	2702	5769	1105	3695	6184
201	1076	1263	895	680	3602	7668	4635	4272	6073
479	7246	1285	3456	1323	3803	4124	7455	4202	10696
394	1089	1027	4019	4831	2127	4730	9264	5893	8389
434	2450	2341	1704	6309	2515	3998	2134	10148	8245
938	550	9821	1655	4009	5526	3549	2001	5318	10058
632	187	2178	2121	3218	5635	1357	4106	3999	5987
95	3592	1130	1278	1195	4032	7925	3774	3617	5331
363	547	98	5641	3275	655	2707	5970	8926	3500
697	2512	2537	11136	6824	3516	2947	4134	6823	3917
474	1293	2615	2435	1988	2535	5236	8882	11730	4659
569	167	584	614	3593	3168	7242	5910	6038	1884
42	805	4205	3040	3250	569	4507	2098	8062	5845
1004	350	2044	2976	1903	3552	1182	5382	4169	3714
139	572	496	2883	1510	5408	5358	8138	1719	11118
1458	1070	3992	3446	3942	1747	9800	6068	6985	11464
386	1384	299	1650	3185	3757	1097	9236	3376	4729
684	535	1605	318	1362	1931	1496	14941	4726	6452
586	1158	2533	3784	3628	3070	4453	6777	2504	10048
351	720	847	3535	5337	1788	6818	13275	3747	3776
1086	806	5992	2453	9379	3726	2905	5641	22717	5414
685	1075	1065	1652	1539	15600	3328	5127	5026	4488
124	3871	1108	3111	831	3190	4161	4563	7894	21730
693	1098	528	4769	1832	2755	6145	8527	8176	7897
117	2636	988	2968	3120	20759	2159	6741	2452	9068
202	2121	2919	807	2711	17799	4958	2440	5653	6315
45	1858	6656	719	4017	1087	4382	5696	10661	5703
1865	901	2224	3549	3047	3719	4746	1619	2656	5874
1423	756	1644	4685	1303	5506	1468	5054	4063	9967
698	670	812	2089	3858	2637	1801	5535	6179	4428
227	166	1200	3927	765	2770	1573	3168	6283	7223
884	1111	1734	2451	2723	5485	1286	4338	7221	3585
418	426	2272	3377	1835	2559	2670	3705	4349	5699
2286	368	1282	10374	2851	2781	3223	3871	8616	8142
56	1401	3039	2635	2182	14349	5559	5816	4886	7684
587	1271	1652	2547	2534	9896	8246	19040	5387	10728
999	2100	2715	2934	4526	3327	5010	5116	5676	9345
1261	1189	5355	3221	4433	2352	1999	4688	2927	4254
7	4007	4551	2442	1877	6201	1189	9275	4609	11375
1	590	1377	1719	1450	3521	3848	5742	1895	4782
856	647	2633	4893	3277	1498	2622	4213	6005	4517
1140	1275	2710	3052	9040	3851	8653	10408	4983	9656
447	1066	761	5181	3560	4379	4116	3713	5389	8382
4	530	3913	2977	6476	6234	4284	4767	3583	4419
713	1165	2362	2731	21720	2509	3632	3046	1878	6750
1268	1361	2357	1540	3156	3002	3107	7207	3839	3290
614	2295	2580	160	1876	2196	6116	6503	11486	6665
1959	1329	2444	6809	518	3449	2698	4736	9438	5578
565	1104	1312	1721	2826	2162	13827	3564	6339	3582
477	1158	1025	6613	5751	2716	4227	4846	4476	12912
1027	2050	639	3731	1839	957	1556	4631	5796	9273
342	1376	1456	3618	5850	3901	9070	3182	2553	4802
272	3664	813	2569	4801	3459	3591	3944	2218	6540
500	2466	1634	4035	12403	7091	4400	3547	3227	5538
428	4038	3311	985	2689	2533	5200	6618	8801	7397
660	1315	1597	157	4038	3821	14326	1942	1467	3790
428	1064	918	1698	2189	2026	4135	1264	7493	4911
411	740	1499	2991	4187	3949	6888	3347	8987	3010
684	1316	4754	2897	1827	1218	4133	13497	6602	7571
1208	2228	2372	4080	13105	3914	4403	3588	7065	3185
34	1506	2797	2902	3759	5145	2863	11043	1792	4425
480	1282	7	3135	3891	3991	1244	2351	6294	10586
1027	2432	675	4584	3448	3457	4897	9289	3816	7722
174	1434	3735	3218	3615	3198	10363	4944	6071	4751
357	1949	779	4187	1789	2947	5831	6421	3632	4229
601	1166	1922	4834	5230	8446	4284	3099	7566	7650
631	27	74	39	5975	2672	5830	3793	6635	10057
754	1408	1916	4232	2000	3722	3742	7861	2387	3854
271	1456	3662	3579	965	1829	3009	4228	5211	8949
876	1326	2681	2211	2741	1734	3089	7857	4314	3126
1763	2251	593	1388	2879	507	6286	1528	3548	6314
1953	2521	2573	3581	3749	1346	3243	4251	1580	5009
812	1143	4372	2748	1786	1925	2493	3964	1806	9765
10	1294	2102	3991	1592	3892	3961	4722	4349	3664
1686	1252	25	273	3456	2642	865	6618	6677	10149
931	2185	3942	126	878	2963	7892	5246	9445	8316
397	977	700	1470	3284	4376	6745	6731	5761	8183
1166	1279	1521	2528	2111	1416	3287	3807	10771	3603
891	2631	3002	1527	5516	4541	4496	7754	9306	2507
175	1284	247	3703	2161	3339	6538	5558	2648	5649
739	1376	716	2035	4167	2084	5414	3451	7474	8938
534	2445	770	586	1807	5064	3295	5809	4912	11329
913	493	1757	5101	2609	5297	5737	6571	6733	6345
1114	1216	3988	2994	4045	664	2335	5053	6486	4326
829	1872	1690	2974	2892	3987	6830	7933	7218	2751
725	465	23	995	4136	8624	3267	4638	4079	3599
738	1913	2241	3545	2159	4048	2689	3543	3424	2574
12	2920	3182	1248	1224	3475	4695	9160	7626	7300
718	2307	2735	5675	3084	2647	5682	4522	4658	3903
66	1182	3306	1423	3192	4835	5229	5563	2914	6015
259	2383	1146	3080	3683	3522	8088	3868	6553	14213
1034	309	2797	4368	3212	2547	6687	3717	2967	2482
343	1597	3134	686	2548	1793	4507	5992	1758	2214
279	44	1809	1520	4372	3216	5718	5491	17479	7460
867	818	1969	6147	1836	9650	879	3337	11522	17506
349	1381	1200	4471	3711	985	1635	3672	3251	1728
1064	2058	2054	555	1918	6552	3809	2654	5227	5523
523	627	363	2212	1326	4331	2072	4302	5570	6395
1083	1111	3497	2918	2812	4833	5484	1944	7396	5021
182	143	2011	3878	4506	1479	3824	8399	6818	5223
692	759	1386	2033	4395	5527	4015	7236	7225	5239
404	1662	1804	2283	2309	1710	3861	6684	4943	7057
535	1334	2604	1750	2349	3379	4988	3273	8225	7840
702	2123	1009	3776	2342	2191	5684	6310	9164	4079
654	1380	1424	2526	1202	947	6116	6798	5858	2501
975	1307	3360	4843	1583	3446	3995	4069	4634	2869
396	2080	4922	1378	1654	3707	3362	4664	2643	5294
70	2502	1183	2375	2943	5937	3016	6612	4549	6241
1329	3	1687	2977	3897	1759	5201	2988	6130	7779
1295	1179	985	2504	4128	5314	4829	7528	5544	3093
1247	259	1761	3546	2554	5691	3889	4795	5748	2482
669	16	2979	348	1847	2083	2444	15368	2546	6429
2725	1249	3362	1894	5547	4152	20001	4021	4734	13182
857	1831	545	2897	3578	1998	5179	8575	9844	9779
4	854	2276	2295	4880	9450	1712	2120	7947	5940
927	1369	1252	4385	4599	3607	4366	3492	5841	7258
1483	1021	976	2269	1303	3482	6039	2517	8784	2650
1539	1052	2661	6598	4016	9093	1998	7813	9818	15181
289	1391	706	3279	3794	3223	1361	4272	3305	5577
899	1744	1659	890	5071	3824	5180	1601	1659	4284
270	714	846	2403	1620	15936	2877	9447	4334	2870
824	1075	364	2586	1885	2118	3048	2177	4005	24044
651	559	2416	1341	3260	3739	15602	4197	4167	3209
246	1176	0	1487	3416	5000	5843	2909	4963	18101
741	2694	2326	1258	4505	11	3951	7136	9552	8419
666	265	1156	26	1329	2072	6273	3139	9627	5218
798	1396	1931	2168	876	6301	7881	6225	3065	5594
873	627	3131	3484	5970	4762	2867	4932	11428	19301
1833	5217	4116	1142	2975	6540	2341	8344	4830	5125
705	594	9293	3675	4115	4383	4268	4317	3882	5425
2803	1032	2742	2019	1746	4626	2852	6067	7377	3700
862	798	2148	844	3586	3347	6504	18602	8757	8392
394	644	11580	1611	4617	4403	7808	5411	7956	6098
2	1881	2274	1207	5438	3020	5460	9616	4034	5794
549	4347	1922	1508	3084	4244	2836	5655	5188	2450
2943	1490	2237	299	7320	2929	2003	9721	5517	6774
845	3353	382	1720	3879	7292	1952	3110	7334	7611
1605	1309	2461	34	2430	7748	3654	3691	6367	3023
1063	10	1079	5138	7273	4899	7697	3332	5290	7130
1342	2416	1557	7557	3604	4899	3718	5963	7873	8180
621	267	1041	2567	4392	1570	2268	4060	16137	9038
654	671	1778	1859	5131	3063	2685	8069	9351	3533
1272	865	1319	3163	4491	2063	3182	6534	4818	12965
334	6787	1941	5555	2498	3876	8172	3538	3281	5134
945	1927	2510	3318	2933	3204	3942	4243	32430	11341
2218	202	1928	1467	3715	4654	2768	2398	5508	11296
233	4043	2612	625	2415	750	3579	9196	4645	3913
297	4338	1830	2975	5102	10697	1782	4387	2677	9473
236	1473	2887	1599	4012	3177	998	4832	4288	7871
941	7407	2938	2279	1953	5038	5471	6319	9884	5206
1111	25	1306	1744	2995	11256	3719	4852	168	2258
581	788	2765	6051	1907	5147	5222	2621	4370	4118
1200	1199	3563	1235	1842	2742	4049	2492	6079	3380
978	708	1300	4522	5310	3166	3157	14612	9038	13984
21	3106	1784	1666	4387	5039	6533	7110	6019	5887
151	156	2777	4085	2726	7331	8744	6823	1784	5209
295	813	1950	1830	5139	6675	17271	2619	4322	3316
1118	1815	3571	4122	1212	4703	5392	3088	5793	6647
385	2308	1721	2484	3025	2921	4866	6438	10553	6657
275	1176	1260	3290	2742	4396	2013	7512	8415	9774
70	20	2619	4069	3699	2536	4432	2317	4559	8408
793	1737	2147	1460	4608	6387	5788	7772	4156	10313
427	1936	2992	1817	1312	8819	2496	10643	2285	15363
652	1332	2346	2868	2442	1384	5542	7744	5465	1896
625	2377	2823	13937	1574	1457	6975	8467	5521	4192
780	3649	1334	2699	6459	1711	3973	3869	20296	10521
862	2160	3155	35	2859	2289	2685	5146	6642	5216
2181	2026	2295	2504	2677	2062	3903	4698	4771	21651
1525	825	1029	2839	1856	7349	3630	8865	6651	7451
840	495	1054	7831	3676	3333	5973	4639	9241	3255
429	1976	1299	4346	5084	5255	1647	3460	8535	7934
1508	7524	892	2918	5275	4904	2450	2036	3708	6873
1013	726	2565	1892	7739	4081	3306	9014	5235	9763
2138	880	1596	6989	3989	3897	4904	12041	2555	6041
1297	541	3321	3140	5507	1624	3259	4147	3916	5947
282	464	1482	4128	3316	2313	6681	1728	6438	9986
671	1079	1456	3199	2435	2605	3615	5373	6815	2819
144	189	1387	741	5721	2136	5700	8775	5382	9536
96	313	1992	3582	1944	2482	3407	9151	2970	10295
426	2248	483	4988	5935	2863	2690	5254	8166	18214
839	5491	297	4226	4878	3122	7149	5270	8698	6976
95	1013	488	2732	1760	4173	4419	4526	10076	6315
14	1519	1593	2430	4144	8860	3542	5861	6203	4972
1537	560	2036	1602	3222	2662	3632	2360	4361	8113
939	15	3516	2985	1347	3066	10254	12729	4923	8667
748	2395	1812	3683	3715	3300	7453	11404	8379	16670
97	2264	1241	1219	3642	2869	2351	4535	1752	5462
1203	1405	2100	812	4027	2302	5467	6472	7244	3632
2	1521	2102	2527	4274	4218	9487	4547	3112	8739
593	587	947	733	3899	9325	3255	10449	2253	5211
1076	556	874	1749	4213	12873	2156	2781	3176	6317
498	2376	1200	1901	3101	2706	8969	7719	12959	3714
320	935	1735	3673	2134	4269	7129	6571	6228	4731
311	1000	1843	3757	5227	2575	1626	4716	3552	3443
798	807	1634	4342	1992	3110	19672	2419	4882	4101
1661	674	1049	3419	2863	2768	4457	6789	9324	8976
384	2320	468	1645	1458	1410	4326	2813	6180	5533
3	3332	1882	1010	5737	6576	4370	5849	8575	3550
2062	3062	1566	3564	7156	5397	7647	3572	6411	13914
899	932	20	1916	2340	2559	4565	6688	8637	10823
574	153	1069	3711	6314	2464	1395	11759	3083	4464
574	534	2123	11012	3742	1741	6555	3326	3271	7397
955	15	1470	1722	5566	1824	3886	1781	9464	6113
28	1248	268	2209	4105	7270	5499	5731	2370	7093
495	3783	1199	2248	5697	3196	6837	5824	21500	10692
1595	4983	345	1134	7877	2623	3310	3873	4372	5757
235	2125	1927	2458	1781	703	3819	4474	4261	2843
1307	1484	1130	5562	2637	1606	5445	4164	5499	7514
353	2719	1182	3547	2056	8756	6413	10045	3430	5271
363	1956	2051	4996	2148	4603	5792	4649	7097	12873
7	861	1507	1589	5194	4132	1674	1802	4133	12677
946	800	2258	3345	1226	2460	2488	2530	7898	2975
1057	664	1938	4425	3081	3636	4227	6682	4232	5944
156	1886	1725	2897	1855	4081	4011	11451	6613	7608
2071	1257	1669	3144	6060	2545	8374	2556	2011	10104
25	2643	1221	3173	3067	4912	10167	2883	4087	6151
5218	2228	996	6770	2120	2659	4406	5581	4286	9806
695	2163	1921	6204	713	3397	2235	4185	17308	7396
2	1779	3017	2632	2043	3542	16996	2934	4586	2667
639	233	1844	1882	3000	5968	1414	3016	4673	4975
1	514	2991	3258	1650	6610	4678	3976	4344	5007
1802	1391	292	2314	4966	4805	1677	8236	7801	10831
4	1870	2625	2520	1981	1483	3258	8159	9719	9658
1024	2786	1805	2607	4322	3547	2710	3412	3415	4278
2035	100	1554	4141	4192	6196	1369	4536	5047	5428
3	1882	479	2626	880	2595	3687	4642	3162	8535
279	437	1342	3727	3918	5052	5917	3083	8935	3264
696	2628	2602	1546	1211	2403	5952	5923	5259	23137
624	1318	631	7	2734	1845	7530	4443	3822	3843
258	1856	1520	1004	3287	3886	4416	3870	6611	6326
10	3585	3303	1392	2032	1696	2231	3567	4404	10313
515	741	697	7300	3504	6994	4294	5743	6385	3465
1715	2065	1293	826	3438	3498	6170	4467	6290	9675
10	1626	1296	569	2606	3679	4588	6249	3101	7160
1805	1103	3610	1937	4129	3043	3600	1905	4917	11520
1403	654	1119	2509	5009	3668	8300	5210	3410	9714
225	1366	2789	1978	3041	513	3425	1914	4932	4999
632	976	1055	4714	5530	2959	23949	2995	6033	6304
691	1109	6746	3128	3367	1629	3601	4059	10836	11487
1468	620	1189	2084	2727	3896	5332	5998	12400	10210
722	1479	1930	2344	2598	1361	4404	3149	8339	7124
241	1834	1923	2004	3284	4152	5669	5715	11181	13236
215	1600	2134	3682	0	6429	2725	3848	3259	12070
708	2357	740	3032	2520	7604	3793	4752	6668	221
459	2445	2013	1441	2852	5164	2015	2853	5275	2531
924	2258	2692	2673	571	4105	2485	1812	2823	12503
3554	932	4666	1790	2692	2413	1630	6124	27196	5915
578	1104	1694	1830	3970	2913	8664	6423	3071	6472
2849	849	2417	2462	3876	3069	5945	3526	3855	5236
1237	1275	2943	2015	5489	882	3976	6748	4236	2934
1139	1889	3428	3311	1854	359	3893	10232	3498	8054
466	644	2248	1927	4201	752	6729	3338	3546	8006
351	1036	186	4725	1708	1768	4534	5745	4925	3933
99	1161	1342	2727	990	3135	3488	7449	2726	8993
