0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
472	516	1055	586	1709	536	913	241	749	539
467	1246	699	241	1503	1130	739	603	730	855
262	871	325	828	759	620	249	1010	1803	598
369	687	1106	1613	647	1097	1055	1286	1603	1245
325	690	785	385	654	956	875	1497	728	1431
435	487	468	1456	841	763	1215	1382	2593	783
560	516	671	758	1541	1287	994	1704	1742	2985
405	519	659	413	78	732	921	527	1147	1357
253	786	676	77	470	781	2382	1313	1441	1392
652	972	815	810	1544	349	2302	1269	851	977
80	701	163	1613	1640	156	239	1085	1808	357
651	88	320	1029	1100	443	2053	624	574	1191
230	1020	1067	922	395	651	862	1031	2228	1809
769	642	413	1227	408	1083	1140	882	341	0
159	310	354	476	761	470	1760	1127	3455	2856
235	519	88	340	776	805	1034	2808	1752	509
749	292	97	1504	697	461	236	1975	1267	1097
580	533	164	954	757	4063	1519	1145	904	895
265	691	424	830	509	239	832	1396	1301	386
336	259	402	284	332	1207	951	1164	849	1071
407	388	1024	798	756	980	1966	294	1992	1514
209	164	326	306	879	700	2073	1457	750	1443
156	717	558	739	917	75	1020	1673	1398	1229
82	926	1326	937	854	1685	924	761	1412	4426
710	722	620	2160	472	494	1714	825	1819	2638
413	315	1114	693	1106	1064	332	2894	848	2157
321	778	0	769	1565	2680	762	1684	1007	1642
355	463	841	1169	879	459	1461	541	2040	1442
279	431	825	2189	1013	1140	987	2157	922	1101
857	242	699	608	1167	903	2158	1015	159	615
88	613	1237	434	1580	805	2644	470	2379	899
115	1176	501	1334	2349	1556	1018	834	1440	1580
533	0	1281	947	716	574	993	1031	1592	1580
466	166	885	432	497	657	2644	624	2839	1838
461	78	624	1183	229	661	965	335	2116	1566
642	238	456	1051	1033	1022	768	1689	893	1417
308	596	1406	229	650	158	1398	1465	586	466
219	340	540	1042	499	590	1987	1806	737	1245
489	837	248	1699	805	2460	1758	2768	2784	3098
391	236	443	327	1249	5038	1484	446	1750	2629
250	602	387	2275	723	731	1142	1015	661	405
82	263	218	935	798	1678	2875	1216	977	3492
97	308	678	323	1139	1470	476	1468	909	2186
83	579	356	3014	1289	1650	2143	487	2790	1194
164	353	506	1507	864	2186	633	644	727	1107
692	624	842	962	2171	1282	1760	1456	970	160
538	487	84	911	549	466	1409	172	7842	2085
261	328	541	929	704	1186	1603	1145	309	2061
259	78	1058	577	947	1212	1089	1927	1152	761
269	325	682	592	78	695	2120	393	4118	880
762	972	236	476	1055	311	517	810	2262	3047
482	628	374	313	1177	309	937	664	2445	2562
367	273	778	721	667	585	1354	1259	460	1950
311	309	362	159	1063	551	773	1895	1088	793
77	158	640	681	965	1767	1852	588	1035	342
383	166	734	500	1320	947	484	1048	2349	1867
0	472	0	659	613	1062	2183	1638	2533	1568
493	430	132	1541	959	1608	1809	159	1313	2997
203	422	494	467	1309	1089	502	2751	1676	1433
598	592	247	779	566	1167	676	1863	2204	701
166	259	1034	1204	647	544	925	1163	297	1148
181	165	81	1950	1274	548	3990	2355	619	2642
156	391	494	586	700	1572	1158	2613	398	1151
272	393	294	1562	349	1581	1088	1310	632	1615
658	897	1708	577	656	898	874	2443	587	1380
0	255	1029	366	1540	905	1528	868	1292	406
240	888	468	1384	970	911	483	1182	551	1272
793	95	729	825	819	667	631	2141	1353	1288
387	190	1029	1037	1012	1434	1058	1369	1849	1838
161	80	165	312	627	1181	843	1875	2228	1044
349	801	380	753	1174	828	803	333	1918	1820
165	795	393	643	470	1943	385	1859	1027	2604
348	77	839	1615	961	1501	845	1522	1689	1331
88	406	1935	972	989	1561	836	1327	3012	915
750	657	0	250	756	1124	1760	495	968	1524
401	132	362	776	0	229	533	3101	1458	2781
647	740	281	592	980	0	883	638	1532	643
263	480	620	921	539	308	164	1176	2914	2613
95	277	901	308	553	1221	794	172	155	2405
1170	346	481	909	633	1783	1225	1595	629	1396
393	874	822	160	682	1456	1070	804	808	1827
214	238	297	854	625	1002	2639	1720	246	920
437	648	161	681	1058	1518	612	1176	1963	1131
310	232	773	819	948	1701	1136	391	1505	641
311	160	785	320	1111	773	888	1728	1166	1510
300	83	813	358	1144	543	1227	985	798	1985
217	394	771	359	0	1110	1105	1797	1054	545
231	432	2082	1129	384	915	869	2570	523	1273
158	247	651	1133	740	582	699	158	942	855
263	82	949	198	629	767	2338	75	5631	1123
0	332	1097	308	154	387	922	874	938	1447
88	324	701	2567	1423	2890	1368	1599	375	1471
84	982	275	2521	945	761	631	1900	1147	1098
520	604	385	416	2896	946	785	2581	1340	501
449	739	367	990	654	807	1251	1504	1141	647
212	832	155	1035	1070	1247	1176	1432	823	538
330	0	365	570	582	235	1422	1353	1951	2162
174	388	408	508	316	881	862	773	858	1305
693	462	572	1439	580	3968	1751	1415	1678	2583
1223	796	1205	671	263	1230	2333	2122	1765	2524
496	88	1453	1091	574	325	2304	880	1592	1521
460	95	1120	1600	393	760	897	426	2010	1777
321	1177	638	1529	375	1215	3710	1278	1036	2270
196	895	741	668	873	756	1849	1104	622	1352
207	334	309	1383	1438	2227	767	1410	1588	1996
570	635	294	1012	503	318	1004	1453	2380	1812
155	523	565	1154	241	1211	4400	1137	1798	1132
415	638	91	555	1093	903	1481	1001	328	1124
273	82	82	1176	2309	2900	1339	1404	1022	2685
941	0	874	1141	337	322	1155	1297	534	2334
457	864	777	711	1447	1023	1223	2018	2552	1877
513	732	479	429	1563	1177	2181	1325	567	1876
392	554	514	396	331	806	948	807	479	1901
157	702	700	441	784	132	1352	615	2927	2029
156	609	452	1404	1298	153	1113	1513	1467	6412
332	481	365	744	689	615	1324	1366	1288	655
78	1500	257	1203	956	1207	247	1815	2535	1260
319	1220	1092	475	471	1150	895	661	931	749
179	224	366	461	327	245	2254	1136	2000	1160
450	388	1217	660	703	1597	1487	1258	568	1246
88	1266	807	1002	757	732	878	1737	1822	462
0	1058	696	3405	713	575	1390	2052	597	1654
591	247	1038	863	611	690	1338	1359	833	2150
203	580	858	1508	1149	2508	982	908	990	1868
189	780	173	580	695	79	572	697	2226	1359
468	677	708	497	1650	838	747	1770	1768	1177
312	173	238	614	4562	489	898	1132	1389	1198
536	803	551	446	1026	311	285	944	854	2680
373	413	525	341	1172	415	1416	2402	1830	931
168	426	1748	1233	1547	1224	1096	532	401	1040
171	742	0	1964	911	521	1089	2918	575	1991
80	311	469	969	2306	972	877	594	1917	694
644	406	602	1404	608	929	327	1518	1312	616
302	171	0	305	705	768	1503	1989	1817	1056
159	226	524	0	2119	1210	742	2129	1219	1054
300	545	1050	401	408	2767	771	1334	1076	1139
261	248	973	230	779	4267	1356	644	1595	699
99	951	593	1028	291	1139	1365	915	1619	1279
407	616	131	443	1026	330	1252	490	3496	1034
685	668	236	681	1573	382	1135	75	724	1506
261	479	75	1178	695	783	852	321	1749	1119
165	287	376	589	952	524	1052	1373	527	1344
396	243	847	1038	652	654	1918	1132	2325	1371
313	321	495	505	419	806	1098	927	1155	1110
522	321	1175	393	637	1197	647	491	1648	2736
391	159	710	277	403	1011	391	1595	439	1603
470	719	244	242	732	581	918	2010	1529	1726
203	531	310	391	321	717	800	1554	813	972
236	310	832	898	1052	961	1474	0	974	1913
694	852	1071	1549	1289	1802	1861	1352	375	1120
191	1555	858	869	2804	1178	3378	3144	1862	1491
325	703	651	1014	927	635	1525	433	1555	1057
243	157	1623	525	320	923	510	803	1474	1028
409	349	637	385	945	480	1061	483	1012	2456
200	509	155	555	374	430	1550	933	1337	2156
344	384	812	0	376	342	893	1742	1209	1323
289	341	279	610	1373	834	386	1258	2080	1180
286	410	750	525	1120	773	1108	1304	688	1522
479	77	509	1266	319	1215	880	1587	1060	1508
220	1129	562	296	764	869	552	576	986	823
156	546	750	685	565	1242	1687	1840	1583	1953
