1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
57	2	6	12	21	8	23	58	7	19
118	80	5	10	118	85	117	13	16	231
15	4	7	146	8	336	5	44	208	18
1	495	6	10	389	21	145	168	8	66
1	2	1	60	464	293	400	71	38	95
123	44	9	4	819	90	49	13	76	225
1	14	59	8	138	16	187	8	873	86
19	6	1	12	305	54	45	101	257	93
6	40	23	94	341	390	139	117	175	115
54	3	3	72	13	267	24	73	10	80
2	4	7	1	3	14	149	384	16	28
31	49	14	7	80	41	108	85	25	96
1	6	375	13	39	97	51	44	66	13
1	45	4	18	5	11	102	807	29	26
31	525	103	41	8	8	66	17	46	222
1	50	9	14	201	20	352	282	872	13
1	123	14	168	232	3	6	21	59	29
5	3	24	3	33	12	9	19	156	570
1	1	13	5	36	98	18	261	15	65
4	9	4	154	78	10	53	21	100	79
190	51	14	8	41	9	1	270	205	24
1	16	16	49	23	83	19	866	74	11
9	207	2	26	245	14	67	276	47	11
5	2	44	4	66	7	74	45	192	20
1	24	144	6	9	29	14	47	7	24
4	2	3	12	271	27	1222	56	11	142
192	3	324	112	15	343	233	3	59	2
134	6	6	9	3	37	19	846	218	183
1	309	234	117	229	184	18	55	122	98
2	2	5	3	65	6	1	318	52	8
1	3	266	134	352	23	78	38	126	28
2	2	14	52	6	3	181	48	29	30
2	26	4	8	8	5	182	3	129	115
74	545	15	35	10	35	14	167	22	80
6	10	5	49	126	41	17	46	490	224
2	8	3	5	72	12	115	9	2277	35
102	4	8	20	11	7	486	86	108	679
1	38	9	262	441	26	11	90	84	992
14	2	46	10	61	18	145	79	213	98
3	52	1	6	781	32	509	30	531	67
5	3	3	80	48	3	97	511	574	166
1	8	18	42	28	115	108	4	268	54
54	2	643	15	8	385	676	73	756	57
2	24	61	65	19	37	8	32	186	129
2	2	33	11	13	6	6	47	421	132
18	1	74	7	112	460	23	8	10	392
1	6	54	10	80	181	10	31	517	131
1	6	2	7	115	248	121	13	118	99
1	3	33	59	22	10	39	20	67	141
45	6	9	58	809	59	108	23	8	26
109	2	80	11	127	23	256	82	280	70
93	114	13	6	26	24	16	263	208	49
1	10	216	174	7	5	6	10	2831	28
2	115	4	202	111	20	201	384	19	44
4	10	3	7	128	5	22	35	14	98
3	2	375	56	265	93	442	45	85	92
9	2	250	34	61	151	35	266	9192	229
1	11	7	11	5	497	41	1092	14	9
1	31	30	75	237	7	617	219	314	37
3	135	263	13	36	613	132	2248	806	1025
3	20	88	9	92	373	228	73	942	14
1	76	27	5	10	29	414	284	661	55
2	70	3	7	1006	22	16	19	43	111
4	3	273	18	14	218	46	322	68	18
2	5	13	17	134	44	9	50	16	21
6	5	3	2	25	427	93	142	62	178
8	134	58	173	3	45	401	38	435	438
1	7	3	32	7	46	125	16	45	87
1	45	52	24	5	44	6	61	65	94
7	13	51	83	79	38	45	176	57	62
246	82	151	3	98	68	10	52	39	258
11	4	9	4	12	101	672	22	16	19
14	7	19	113	11	164	236	73	170	195
1	5	38	230	17	144	15	33	445	22
20	34	880	16	6	11	336	180	51	391
1	126	119	3	33	73	97	50	54	79
1	902	40	16	88	597	4	302	114	72
1	10	11	9	20	55	22	379	185	56
1	127	291	292	415	28	11	1002	311	17
7	1	7	15	1	44	248	65	91	83
3	141	15	12	255	7	131	275	44	81
1	1	5	136	30	6	243	8	416	234
4	2	2	2	24	7	41	443	38	14
1	68	14	219	36	72	69	270	9	25
4	49	7	6	303	202	36	31	135	7
39	5	21	57	34	28	33	7	20	55
251	31	3	4	21	45	101	81	16	829
14	17	1	62	78	11	7	45	51	114
3	105	8	13	11	11	14	8	57	41
2	128	45	108	3	311	49	54	177	292
2	88	205	8	23	7	42	31	62	309
86	416	24	23	512	26	25	9	1204	111
3	5	8	1	16	35	536	13	35	32
1	12	64	8	186	95	49	95	30	59
2	3	524	139	8	181	15	455	11	82
