1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
3	19	293	38	41	1217	1	26	237	11
3	6	1	209	28	345	6	9	593	16
1	4	24	298	130	14	15	9	430	17
8	16	5	18	2	10	2	9	60	582
7	29	13	65	16	13	18	12	23	5
7	5	64	42	13	80	25	13	113	56
1	348	84	16	436	40	100	11	10	43
52	65	5	2	47	17	13	23	14	100
33	9	42	27	9	97	402	22	11	40
2	332	1	18	84	60	10	12	14	77
1	56	23	15	12	1002	13	9	88	508
2	23	36	26	16	32	141	10	452	69
7	28	2	4	8	5	28	18	47	252
5	4	7	5	38	13	3	14	249	191
2	16	48	21	7	974	62	27	8	14
160	2	157	329	16	8	11	52	262	31
1	3	1	177	119	3	11	8678	64	34
1	3	29	272	56	8	63	289	10	341
4	5	50	225	326	15	59	33	37	426
356	28	22	4	7	267	17	23	375	75
129	186	3	193	456	10	11	6	5	25
6	6	22	44	93	56	9	67	22	119
1	16	1	6	240	17	205	35	234	124
1	4	530	320	2	7	35	60	38	333
24	45	2	272	344	6	111	314	360	427
140	7	5	50	6	6	25	6	20	247
28	1	4	91	41	13	16	220	268	61
1	2	9	9	151	14	375	96	19	56
1	11	9	5	8	56	135	381	47	143
1	1	6	10	139	19	23	54	6	336
212	5	12	16	282	19	54	155	28	9
8	18	6	55	15	25	22	18	11	363
3	8	15	32	9	338	31	71	454	11
89	13	3	173	61	129	294	12	27	7
4	12	607	233	50	46	19	3	19	14
9	3	98	7	249	148	14	411	17	51
3	70	123	10	194	107	177	22	28	8
8	1	7	19	2	38	283	1365	282	49
3	3	21	375	144	12	23	19	28	35
246	24	4	219	12	18	17	16	64	7
1	19	143	835	3	2877	292	416	29	205
1	2	15	49	8	5	59	20	165	41
1	7	9	51	15	181	921	32	12	37
1	2	98	69	8	15	10	50	64	224
1	3	23	175	7	59	45	18	437	95
2	87	3	3	216	3	13	17	19	13
163	3	3	217	3	37	65	13	25	10
1	3	3	7	677	8	228	284	82	25
15	11	24	4	170	135	10	12	56	21
2	7	5	372	642	1958	25	96	156	24
1	32	13	131	337	5	614	44	8	29
1	2	22	29	4	49	4	33	18	5
39	9	16	20	7	272	18	123	700	67
16	2	5	28	6	8	368	15	24	90
5	2	104	22	1	6	23	21	40	18
10	1	5	14	77	31	8	31	6	275
1	2	3	11	16	10	8	11	268	182
1	146	3	5	13	16	12	7	257	83
89	3	14	203	2	443	7	507	17	694
65	2	4	227	56	8	10	274	23	17
3	88	25	8	6	8	51	16	277	23
94	3	6	43	103	62	36	107	39	24
2	412	9	92	2	217	171	14	60	93
1	180	237	3	18	125	660	86	639	5
2	3	769	4	102	150	34	200	54	48
1	38	6	4	13	75	4	89	1	638
8	16	2	24	11	231	65	15	25	476
5	5	176	64	2	90	189	252	3	189
11	2	5	10	9	126	23	315	8	8
2	29	101	336	17	261	32	8	46	695
3	6	3	749	85	10	143	16	4	163
119	5	205	749	10	22	162	341	104	11
8	2	23	81	42	15	97	113	32	23
1	3	1	8	15	71	12	186	109	258
1	24	4	6	14	696	18	13	26	45
1	1	298	5	9	54	899	207	16	26
246	5	50	5	28	258	7	43	701	6
1	1	4	81	67	7	13	1	897	360
9	1	3	199	4	30	366	14	48	42
187	4	251	117	72	82	244	5	406	255
2	2	69	75	7	457	451	18	92	10
6	1	38	41	6	16	22	16	16	26
2	3	154	147	21	24	744	9	876	948
