1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
5	2	1	0	0	32	220	0	46	157
46	0	4	4	888	870	0	23	0	22
1	2	3	314	0	0	28	184	2	106
2	365	12	15	24	113	18	0	1173	37
115	3	70	16	485	9	0	26	0	238
0	4	6	13	2	22	9	30	125	332
534	8	54	4	138	0	15	5	18	23
14	1	35	78	0	169	0	12	0	630
1	1	11	50	246	13	14	128	49	85
2	8	375	9	4	14	42	19	10	46
0	46	5	24	11	1457	21	57	15	0
1	1	4	244	177	106	1941	2	215	4
5	5	24	348	8	420	34	15	69	93
0	70	5	0	0	6	0	23	161	0
2	0	125	0	0	0	4	96	27	9
0	0	0	403	6	0	18	0	1005	273
0	0	5	103	757	11	0	0	41	94
1	5	12	10	5	28	16	122	220	24
2	0	0	2	30	26	152	5	0	224
195	2	4	3	406	0	79	46	8	87
10	24	21	5	0	244	339	9	98	905
27	3	23	51	212	53	5	1267	445	240
183	0	0	42	0	253	137	360	6	0
0	0	3	94	303	13	4	0	30	74
6	3	0	0	47	131	682	9	6	0
0	3	0	17	6	14	105	85	0	0
5	0	0	221	11	46	9	142	47	54
1	15	5	64	0	0	17	0	0	0
1	0	278	600	44	238	203	52	178	0
1	2	9	430	76	0	0	27	8	106
2	2	2	68	12	39	0	10	21	40
3	30	0	677	29	28	734	427	0	341
57	31	0	34	54	80	0	4	15	0
1	0	89	21	16	47	0	19	0	20
4	0	17	92	0	21	5	0	112	51
3	0	35	15	212	458	121	724	11	16
4	84	14	290	109	181	0	17	116	22
3	3	3	3	102	0	5	714	99	0
1	208	7	150	0	28	5	82	0	8
78	0	0	2	7	27	0	67	15	82
2	5	6	3	98	32	0	0	0	0
4	0	84	11	9	14	231	22	0	25
2	0	0	37	91	0	32	31	399	0
17	14	135	83	219	35	104	77	0	126
0	6	0	96	0	0	120	949	216	7
0	132	6	0	0	8	203	0	268	2
1	155	1	0	0	16	54	0	56	30
12	2	5	6	26	277	89	9	0	7
1	0	2	191	0	14	0	30	38	37
0	197	49	1089	0	20	0	0	120	5
176	0	64	4	28	31	38	0	0	15
