1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
54	185	108	248	171	96	298	107	163	105
84	107	115	175	101	195	118	201	119	220
53	71	167	51	105	68	156	162	233	172
74	69	111	116	184	57	227	337	143	89
54	111	50	50	55	58	348	52	303	87
54	124	120	158	117	114	251	51	103	287
53	51	54	55	97	113	335	236	51	168
83	89	52	50	83	255	170	258	355	260
60	50	112	170	62	223	328	301	107	223
51	111	50	50	284	207	75	126	78	325
67	164	51	222	57	313	60	243	241	377
51	102	51	74	50	161	171	50	298	169
53	93	144	157	135	102	119	182	179	52
61	65	64	164	175	69	52	208	235	498
54	57	156	179	138	206	52	168	108	195
81	79	52	211	285	145	216	107	361	137
59	77	133	50	55	56	53	159	303	197
81	105	121	50	214	185	179	346	278	260
50	52	50	87	54	230	53	104	50	221
93	55	126	241	200	51	102	192	136	88
57	53	159	168	120	160	54	207	148	108
50	62	157	50	120	180	158	50	190	101
51	82	111	139	51	131	175	92	330	356
53	127	53	54	87	141	109	198	53	144
68	56	63	139	158	69	204	356	355	86
54	64	50	153	287	53	118	144	376	441
79	115	59	115	256	128	88	107	144	381
98	67	137	133	115	149	191	233	107	220
53	60	83	164	239	140	236	51	100	109
63	79	56	218	67	148	119	53	115	114
51	112	134	168	72	56	339	204	197	280
51	164	51	112	171	113	223	128	112	235
98	118	51	53	131	51	230	242	242	140
62	109	56	159	50	93	257	163	102	100
92	104	150	190	107	50	236	271	294	170
61	108	107	63	239	74	52	50	56	103
52	56	161	212	154	73	211	106	166	284
58	110	154	214	102	285	110	51	103	294
52	54	131	55	50	50	64	226	206	114
87	60	150	150	111	175	228	191	356	87
69	104	112	167	159	51	149	208	140	204
55	54	56	55	114	278	66	221	100	245
51	105	53	200	93	172	219	64	193	132
58	104	62	172	107	50	112	115	52	51
87	119	101	113	169	110	117	123	177	277
66	61	127	121	131	55	112	169	53	162
69	116	169	57	51	101	147	98	191	60
50	51	50	55	62	59	260	55	57	102
71	114	129	165	196	310	161	215	58	265
54	55	80	73	50	129	110	340	50	72
63	65	112	67	68	127	198	69	500	106
82	73	63	54	52	112	361	201	101	55
79	58	118	261	110	115	165	286	106	340
52	51	71	51	50	137	52	102	320	248
53	56	51	113	130	75	253	239	165	284
51	113	69	52	164	176	136	54	106	271
63	53	199	51	64	268	109	244	233	104
79	115	52	101	93	60	139	237	148	202
56	51	54	111	123	319	102	56	181	91
59	54	132	112	53	64	184	369	149	102
59	62	115	107	143	222	181	109	158	53
57	106	174	157	113	55	176	153	51	145
53	94	89	107	273	177	240	277	51	142
85	67	51	58	176	113	78	276	269	197
54	110	56	53	298	177	102	179	62	51
55	51	57	51	182	217	139	145	177	145
72	66	112	60	64	71	111	183	277	244
55	113	73	51	176	249	130	146	141	173
52	91	109	69	51	273	87	275	104	285
62	62	218	113	55	52	121	134	51	50
64	51	89	127	61	148	110	276	111	258
73	111	71	177	224	51	164	187	219	109
62	60	111	122	127	160	67	58	205	248
53	105	50	151	192	52	125	69	114	108
51	64	50	142	63	139	51	54	351	50
86	53	161	66	51	154	272	130	224	258
55	50	129	82	76	155	69	161	105	61
57	52	123	115	111	91	222	120	52	223
69	59	74	73	168	298	159	246	155	220
57	52	50	51	50	52	253	127	245	55
69	104	199	149	193	59	243	237	141	126
75	121	193	218	215	125	318	163	64	105
86	83	57	129	182	50	136	67	253	53
53	94	109	111	51	67	50	228	206	177
67	73	60	174	51	52	51	231	50	160
50	102	52	54	127	113	114	278	173	62
52	51	157	118	142	50	64	206	166	109
