1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
2	12	7	4	7	15	13	14	21	54
1	5	25	8	7	14	14	10	31	45
2	14	7	2	11	30	12	21	17	82
5	11	4	10	6	5	9	24	14	7
2	10	5	17	38	15	11	8	32	46
5	6	4	22	4	11	12	8	12	19
8	42	3	28	8	14	54	10	6	17
4	13	16	4	18	11	9	37	15	32
8	7	17	37	6	7	48	34	50	20
7	5	35	16	5	24	34	11	25	43
24	6	5	16	6	9	20	45	18	33
2	8	13	29	11	23	7	64	42	12
1	33	13	3	46	21	19	167	53	7
2	8	6	11	13	4	49	57	34	20
12	3	12	3	19	59	15	22	20	11
2	7	10	1	43	10	12	43	45	19
1	8	6	41	4	20	7	38	32	55
2	8	9	39	8	3	12	12	12	8
4	2	24	17	27	21	29	3	58	9
3	3	36	12	17	20	32	44	20	48
1	7	8	8	8	17	5	10	12	4
4	10	5	19	20	14	13	38	16	8
42	3	1	10	30	17	23	10	8	35
12	17	1	7	73	44	26	34	10	3
2	19	8	8	21	14	18	73	54	24
3	7	9	3	6	8	17	20	14	19
9	10	5	4	21	6	25	8	2	29
5	11	7	6	26	5	25	7	7	38
3	8	6	7	16	22	10	14	88	26
2	9	6	4	34	10	4	20	41	54
4	5	3	18	9	16	20	23	16	55
2	3	5	12	18	11	29	9	12	22
3	3	26	5	15	21	39	21	47	10
10	6	5	5	10	19	6	15	61	12
2	2	13	9	13	8	30	21	23	38
2	2	4	5	7	12	18	65	55	36
5	11	11	4	24	12	17	62	35	27
8	6	7	8	15	10	30	19	3	9
2	95	9	5	17	22	36	22	16	62
7	4	6	8	12	25	16	9	10	31
11	3	16	18	18	9	31	10	31	78
1	21	17	5	5	2	8	16	24	49
1	4	10	14	6	13	44	8	30	46
1	4	9	3	6	23	52	13	35	15
2	7	6	7	49	11	12	15	9	13
41	4	10	21	26	20	18	11	6	6
4	1	5	8	10	27	7	25	45	15
2	7	5	20	13	10	42	10	37	44
1	11	9	12	16	17	88	18	39	28
2	10	3	8	9	12	30	98	56	19
9	9	28	11	8	21	18	14	160	14
5	6	14	15	19	87	34	20	20	16
1	5	18	30	6	63	19	41	31	40
4	27	5	16	2	14	28	4	61	56
1	12	13	15	18	6	10	25	21	62
23	5	6	65	17	18	28	24	22	30
1	3	17	5	7	3	8	10	1	15
2	6	9	8	55	7	11	24	64	20
5	2	7	9	33	18	16	25	52	4
3	6	18	15	14	50	8	14	29	19
1	3	19	7	57	68	10	10	30	50
1	4	21	13	14	29	11	37	63	193
1	7	16	5	19	10	17	30	17	25
3	3	7	19	6	27	16	10	27	16
2	3	31	11	24	16	17	14	36	39
1	5	10	14	87	61	47	42	21	40
10	27	4	11	14	43	10	33	29	29
3	3	5	14	9	13	18	30	24	38
12	3	6	7	32	9	93	27	91	9
7	10	5	4	7	6	13	19	12	13
1	2	10	3	20	8	22	11	52	59
2	6	8	8	5	7	10	69	18	44
2	7	5	11	16	37	11	16	13	29
11	15	3	10	7	9	7	15	8	19
6	1	7	5	21	19	1	12	26	38
5	3	11	15	11	18	70	16	43	10
1	11	9	12	13	25	88	30	5	22
5	17	18	6	22	4	24	33	29	27
2	5	25	45	43	56	35	9	7	18
1	4	22	24	8	6	15	3	35	15
2	32	8	6	9	12	9	11	6	11
1	6	14	15	41	19	33	16	13	38
1	13	6	26	39	15	68	62	24	9
3	2	35	14	9	29	8	12	15	5
3	6	12	20	2	3	16	8	51	23
3	3	1	17	20	32	12	33	14	21
2	2	2	5	30	5	7	13	26	85
1	9	20	18	11	13	40	15	24	30
1	38	14	21	16	30	24	14	31	24
2	7	3	10	5	11	12	18	17	59
7	5	11	17	5	7	17	20	23	19
113	14	17	20	16	27	14	6	25	32
2	3	8	11	26	8	10	39	37	55
2	5	11	7	14	14	27	48	36	10
2	3	7	38	31	31	31	19	16	41
3	14	28	6	3	13	5	46	18	31
1	4	12	4	16	104	22	7	49	20
1	5	6	2	18	7	26	9	28	8
3	4	16	2	10	24	2	18	40	41
1	5	6	42	9	11	53	22	45	8
31	2	15	5	21	18	40	11	37	20
2	4	28	22	46	9	11	24	12	3
7	6	1	23	10	13	21	63	23	62
2	13	6	6	8	21	34	4	10	33
1	3	4	12	8	22	13	50	8	17
1	12	33	9	10	38	21	10	18	30
2	4	4	6	46	89	33	60	25	17
6	7	16	16	27	8	42	5	53	32
1	6	4	5	13	52	12	11	19	64
16	3	6	18	3	13	41	25	25	45
3	2	6	10	15	20	8	9	19	22
3	4	18	4	12	41	6	75	27	14
2	18	3	3	19	19	44	14	58	30
1	3	8	8	8	44	50	27	62	11
2	7	11	14	7	3	8	4	22	54
3	3	14	11	22	12	8	7	9	18
6	4	6	8	17	22	12	49	12	62
4	12	30	5	5	27	26	24	8	7
1	5	21	7	17	32	27	40	23	36
1	2	5	15	55	12	16	11	21	45
1	12	3	10	18	6	25	10	68	20
1	15	6	6	34	15	13	6	15	46
1	3	3	4	12	37	17	30	8	5
5	3	5	78	20	12	11	3	27	15
7	3	7	4	13	11	24	5	59	14
3	5	14	10	9	9	29	15	5	3
2	13	5	39	17	30	30	8	13	12
10	4	14	20	15	16	27	34	25	17
5	2	26	7	10	45	23	13	20	13
1	2	8	14	29	6	8	14	10	13
29	8	3	10	21	17	58	32	23	4
14	4	14	23	9	28	47	21	13	16
4	6	23	6	5	10	48	21	15	28
1	6	5	5	5	8	11	92	22	42
2	9	8	7	10	18	5	9	14	9
1	9	4	23	16	6	28	14	21	27
10	3	10	8	11	11	14	46	15	67
2	5	5	25	12	23	14	14	35	62
4	6	12	9	15	20	12	21	22	15
4	2	18	6	10	80	11	30	15	20
1	5	33	7	4	21	30	22	59	18
2	1	9	6	8	3	34	52	141	10
2	4	5	8	22	18	10	30	38	27
4	4	6	11	46	5	9	11	26	27
10	2	10	3	15	50	9	25	11	53
3	3	56	9	13	7	39	8	20	28
2	3	10	17	38	22	1	95	9	76
7	7	33	18	34	18	23	13	20	81
1	9	13	5	29	19	41	34	40	75
2	11	8	3	11	3	47	72	19	18
27	11	7	7	7	23	28	9	58	36
2	20	7	13	19	7	16	22	23	23
4	2	11	8	55	15	61	39	14	171
1	4	6	10	7	22	20	31	18	40
1	3	7	15	25	18	82	28	83	16
2	4	5	5	1	18	13	17	5	246
4	5	2	8	51	12	3	14	55	34
1	2	9	16	24	24	27	62	25	23
2	15	3	29	11	19	63	33	37	25
1	8	7	24	34	50	14	21	5	69
3	7	4	26	1	44	26	33	23	16
1	3	11	19	19	36	8	11	20	14
2	1	17	16	8	4	11	64	4	72
1	4	32	6	24	21	89	29	14	25
3	6	7	6	9	4	17	18	19	32
2	10	8	8	10	16	22	31	23	13
1	4	29	18	12	11	9	28	44	30
1	8	9	19	22	8	27	24	35	41
1	2	5	11	10	19	32	10	13	11
2	3	9	7	78	13	33	14	27	17
5	5	27	6	82	10	20	25	23	25
3	13	3	8	31	13	25	17	31	10
1	4	3	5	29	21	6	23	23	37
6	3	5	13	40	12	27	4	27	22
1	4	5	8	27	18	12	3	79	2
1	5	9	8	14	20	8	85	15	13
1	7	2	13	25	16	42	11	17	20
16	9	15	57	27	16	27	11	3	48
3	2	7	7	8	57	27	22	22	10
2	8	7	6	10	5	51	15	50	24
1	22	21	12	10	22	40	34	23	6
11	6	6	8	8	33	24	24	20	67
3	4	1	8	16	8	27	77	39	39
5	2	9	10	7	8	10	40	21	56
1	2	9	3	22	27	16	13	9	22
3	7	6	4	26	27	18	83	13	16
5	12	2	2	20	19	8	117	37	28
13	3	13	52	11	5	21	22	8	23
5	4	13	30	13	11	28	11	22	20
10	4	5	26	7	27	35	28	1	30
3	3	11	7	9	48	12	3	14	50
1	2	4	11	6	47	12	8	103	56
6	1	25	6	3	19	30	7	18	43
22	1	5	16	6	72	11	10	13	10
2	3	6	5	21	30	31	18	40	22
14	14	9	18	6	18	23	15	29	46
2	3	39	30	15	10	36	17	17	20
13	21	15	11	5	16	72	58	29	14
6	3	7	11	17	34	7	52	10	12
5	8	15	5	17	24	9	24	16	35
