1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
217	216	163	200	255	480	362	216	260	526
217	455	180	452	179	252	205	356	332	484
215	286	268	228	235	199	605	492	373	414
163	261	268	217	289	213	261	663	289	509
175	424	216	415	484	444	396	580	663	974
281	216	445	508	194	455	378	781	658	202
158	322	417	173	180	181	455	194	362	290
216	455	262	292	199	492	492	416	548	232
169	194	175	216	458	259	264	418	397	505
219	212	493	292	581	531	397	480	177	448
169	160	221	445	414	277	365	207	466	871
177	397	264	199	338	220	508	995	663	373
153	415	289	650	338	199	499	290	418	252
228	180	289	286	263	484	663	367	574	582
300	416	173	286	445	362	436	287	416	257
186	163	203	222	563	181	418	338	338	484
281	289	235	286	236	501	264	202	235	163
290	228	468	468	164	595	691	1133	665	357
196	264	301	577	202	466	623	345	392	481
153	151	362	190	623	287	455	380	418	462
277	175	289	404	181	496	546	669	796	545
266	194	224	167	235	606	444	383	252	181
164	414	235	200	512	297	252	445	595	530
264	181	268	178	309	280	264	281	532	225
160	161	190	181	652	366	337	292	445	508
181	181	430	286	375	282	373	346	344	413
264	493	209	183	177	484	492	397	575	711
186	225	459	365	150	659	319	589	180	503
199	224	338	180	203	531	431	607	682	959
205	201	216	216	402	441	216	444	531	698
219	163	173	160	461	319	193	202	288	601
266	264	174	582	214	286	367	960	180	521
224	185	216	278	445	657	190	414	255	662
152	334	367	424	285	189	509	669	512	247
202	182	235	180	338	453	607	373	739	461
189	180	483	461	409	439	222	357	171	694
181	181	202	393	694	199	439	281	216	518
220	480	475	384	338	445	399	199	365	338
219	222	397	177	180	338	479	492	215	631
153	275	301	436	384	381	416	528	216	200
293	162	295	178	340	520	287	186	623	276
257	208	574	216	485	303	619	414	444	540
207	192	219	446	264	414	384	680	492	433
219	201	281	433	835	445	436	396	655	396
193	222	298	202	521	351	370	543	565	950
227	264	240	493	496	589	480	416	276	373
217	492	216	638	239	470	169	281	792	370
204	338	292	292	273	445	180	292	392	449
160	475	225	482	338	398	161	235	724	663
151	385	178	198	216	325	277	251	416	480
178	496	649	436	285	417	616	216	409	414
177	426	380	217	663	178	681	887	480	464
216	445	266	496	497	261	482	264	518	650
225	268	563	341	389	679	203	261	682	521
261	252	414	199	373	662	816	470	638	398
158	202	343	216	212	456	563	268	729	638
151	160	365	344	202	373	252	202	178	537
210	515	492	337	445	644	230	480	425	582
175	493	520	589	292	199	555	225	326	182
171	217	523	301	257	261	264	399	520	744
150	375	489	265	455	466	227	680	346	405
216	217	216	338	219	433	161	418	295	610
264	180	552	194	252	300	247	217	496	249
293	151	614	224	746	374	480	414	415	445
295	219	443	512	276	257	300	536	163	235
199	452	456	433	426	380	186	444	766	1049
298	295	512	498	432	508	666	657	384	593
169	289	295	182	499	415	292	910	809	177
202	181	344	663	536	264	454	336	338	418
276	152	519	521	235	235	181	662	739	706
298	181	254	211	459	292	480	217	199	663
295	284	338	414	383	362	228	268	455	362
264	216	224	264	416	492	225	452	216	488
287	228	380	384	190	533	365	338	669	455
224	264	441	216	602	423	222	201	964	169
246	492	225	216	254	414	366	235	870	454
150	216	217	216	199	167	326	224	369	508
206	445	418	287	445	362	340	414	436	517
199	216	160	484	292	297	225	199	433	236
204	230	224	330	224	252	496	395	558	180
181	199	199	175	443	212	160	508	292	538
217	261	208	458	235	235	152	338	222	441
212	277	202	348	449	278	633	152	401	433
286	387	282	292	200	190	293	623	416	454
217	346	202	375	301	702	180	436	293	396
156	433	546	496	498	300	809	458	606	193
178	438	158	512	433	601	250	560	413	216
159	263	216	253	430	235	445	607	519	623
286	281	261	508	215	407	420	680	416	354
199	156	194	553	202	344	543	373	858	732
264	200	338	396	194	203	444	235	286	461
206	455	200	235	496	444	499	373	455	179
160	235	499	176	436	160	216	194	205	706
260	261	264	190	216	336	605	338	264	289
163	203	368	471	545	174	710	208	659	800
160	492	319	301	166	362	178	246	216	416
150	216	454	282	851	178	768	373	494	331
295	416	235	401	726	508	414	208	573	585
224	444	169	153	228	380	164	200	409	369
177	292	362	370	458	199	682	429	623	444
