0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
5	19	6	3	6	3	6	21	326	53
5	12	5	9	64	16	67	95	70	10
12	0	8	0	12	117	15	323	6	40
7	27	6	33	74	10	88	86	42	103
14	2	8	18	77	28	37	17	11	11
4	14	43	21	28	55	151	80	80	85
7	13	3	26	55	63	4	113	143	9
0	2	4	1	14	51	5	149	91	114
13	23	21	0	0	21	42	8	47	94
2	21	2	5	16	2	7	8	14	130
33	8	7	39	16	42	15	548	106	44
9	5	19	4	2	6	59	3	71	6
4	23	21	6	3	54	84	92	74	17
16	5	35	8	1	5	69	28	6	112
1	3	25	34	39	8	29	21	7	21
12	4	15	102	78	25	48	101	98	8
11	1	21	27	19	89	46	10	53	78
2	1	25	29	65	125	101	34	14	66
19	95	7	55	220	75	225	218	38	13
2	32	23	49	54	101	33	20	51	141
4	38	1	4	8	6	17	30	42	72
12	38	6	28	4	64	19	1	39	42
8	2	503	117	40	10	32	3	4	14
2	0	6	17	62	21	76	3	43	98
17	27	3	8	4	2	81	94	23	18
17	11	98	57	82	21	44	59	112	96
10	2	4	14	9	58	14	83	71	8
6	6	28	21	7	22	7	243	2	29
0	1	19	20	10	60	49	44	59	109
0	10	9	17	14	21	17	166	71	16
87	6	9	29	60	34	15	287	38	8
0	8	9	56	101	1	4	17	22	4
0	7	11	5	76	8	47	90	17	88
5	1	17	50	15	193	21	39	58	59
17	72	25	11	11	34	22	11	5	33
2	4	10	32	72	0	2	19	266	85
6	20	23	70	19	6	76	104	28	9
1	16	34	22	17	46	22	15	16	61
4	19	7	28	0	12	20	8	196	12
0	1	184	61	2	11	7	108	2	29
15	14	8	59	115	20	216	14	392	78
2	17	2	2	53	27	87	18	51	75
8	10	50	5	11	34	26	39	29	79
3	26	16	1	12	22	6	53	114	8
1	62	74	5	13	50	36	20	5	121
8	20	26	18	45	10	16	99	138	80
5	6	11	2	39	38	72	30	2	18
2	12	11	2	7	71	31	2	6	29
1	13	3	120	44	59	78	7	61	201
3	23	8	1	20	16	1	12	35	67
10	7	8	29	71	12	62	20	8	5
9	1	14	44	43	34	5	29	10	19
8	2	21	4	8	55	108	3	24	115
8	37	7	1	34	59	129	10	17	84
1	1	2	2	58	62	8	152	17	85
2	3	32	19	11	22	20	81	11	54
0	31	6	54	37	8	7	71	235	337
5	22	2	4	53	9	73	17	4	35
0	35	18	9	331	74	13	237	4	7
