0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
116	234	18	73	862	130	331	973	296	152
284	266	3	1764	497	90	1177	227	216	1392
23	111	314	172	72	37	337	102	679	213
22	841	29	671	492	7	22	769	873	454
0	1119	364	188	437	471	495	764	413	474
3	1	2	268	106	142	514	562	161	300
109	1138	2	39	128	238	75	77	848	195
2	244	26	569	1194	267	881	115	3439	812
100	282	297	175	60	362	398	16	429	417
264	31	9	302	308	96	361	560	766	227
2	15	1123	268	3	341	522	69	829	1260
30	17	2	402	465	588	841	1551	1585	1020
2	139	544	159	332	80	424	401	1149	776
418	45	43	167	34	1271	975	35	1487	5723
7	6	612	158	211	631	327	1081	255	886
0	51	2	393	0	675	458	2258	102	193
128	74	2	503	659	8	0	566	1416	843
0	1	177	767	32	674	640	240	3	1679
149	9	285	294	141	51	581	213	1690	2647
117	633	38	4	499	307	428	461	403	6
436	60	0	21	944	4	570	4	713	3122
0	179	119	361	37	237	359	169	8	510
267	2	168	1068	720	900	430	15	79	589
0	13	3	2	293	714	720	660	594	92
2	535	154	224	689	606	229	570	268	1098
64	76	10	313	118	695	252	760	470	678
213	8	99	139	686	132	0	759	1225	992
0	373	433	502	1073	645	276	1403	379	12
259	8	11	9	273	508	203	593	452	3
213	22	243	32	1167	149	686	322	899	1681
4	335	3	29	541	263	66	665	466	1837
28	382	579	190	1751	1163	99	616	1370	893
136	222	648	13	863	823	3066	1175	3400	701
5	22	433	1	480	720	13	796	716	672
124	145	20	31	465	829	346	202	3	809
147	100	305	232	723	507	351	414	346	826
152	753	302	389	736	4	477	94	104	299
7	7	3	910	712	690	210	6	1040	2119
13	4	73	629	1124	302	1052	658	308	1179
46	301	375	186	3	387	2657	453	774	426
0	534	407	917	3	250	998	6	6	445
5	50	25	320	159	353	475	798	523	927
4	3	424	233	415	155	240	403	643	1210
133	25	24	326	588	1443	405	283	362	347
198	9	517	736	226	1315	154	1129	590	513
113	0	0	385	370	182	515	1238	689	119
105	6	0	0	924	454	495	399	680	973
12	8	549	47	11	2	67	326	701	20
125	40	3	106	74	4	0	207	670	9
