0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
279	780	1240	3402	12808	4188	5939	8196	5853	3741
304	510	767	2982	9075	5173	4166	3517	4075	9340
380	202	1766	1888	3217	2296	4588	4682	8887	5196
1181	494	1873	202	733	11204	4926	2924	7839	11384
164	883	1426	2121	4121	2951	1297	6410	5464	4902
74	868	4803	1866	2456	12064	4692	3866	1969	10303
25	3296	2959	3866	3022	6688	6047	4122	4732	8440
241	1240	1185	1897	968	4579	3241	3410	3136	5245
2461	1036	2132	4515	7053	4621	20671	7558	5605	7316
241	1455	1100	2101	612	1495	2421	5161	3837	5930
603	491	760	284	3820	5108	3668	4548	9156	4736
660	1531	3606	9150	4038	9272	5747	2643	10222	5569
943	502	7636	2001	2634	1177	1693	6704	2428	4646
1150	1527	1037	1898	1841	1920	5098	4233	5678	9502
126	1345	2812	2814	1553	1832	3314	5100	2385	5746
806	1588	1331	2050	3231	7144	6420	3299	6878	5639
691	1270	1901	1071	1930	2580	2831	3398	23263	4206
5439	6485	3017	918	4933	1818	5407	1080	4989	11691
881	1133	777	995	5357	2222	1636	3381	2685	11399
368	693	1610	1376	1902	2933	3601	4542	7267	6759
2607	17	1312	693	3279	5487	5630	7099	2874	2004
1422	1683	3122	3351	2716	1317	3967	6940	2121	5926
925	1464	2345	457	2764	6143	1919	7030	21470	11187
1111	1227	1149	3482	4956	3408	5173	3060	4514	2843
814	4459	1712	2844	1353	3638	4991	9631	8427	3315
744	3903	5064	1056	2978	5573	4010	7123	8530	19757
223	2320	4054	1757	3996	2941	1651	6853	6037	7551
1151	261	3470	1830	2590	2828	3378	3740	2290	7263
25	2489	1343	4641	3043	12067	1171	6303	6941	10443
643	1107	276	2283	4392	13533	4057	4608	4865	7592
866	8277	2151	1874	1591	6291	3904	5218	3598	8252
975	1427	2868	3731	4541	5173	6695	3103	4228	9795
879	732	3143	2194	2789	2532	3522	7923	12330	12487
886	3704	607	2184	2672	3029	7557	7161	4988	5606
954	1149	2187	3951	2230	6137	5087	9314	19948	4576
448	0	4909	752	438	4148	1591	1843	9466	1582
118	1028	1723	2517	3537	4074	16284	2549	6596	5923
34	145	1675	532	4381	1981	6103	2881	2956	4333
2072	1761	2517	1819	1373	2741	2381	12718	6532	6029
409	1698	818	2426	547	4768	3817	3870	3403	8853
444	2250	2384	2763	3186	3797	4373	4791	4459	8308
1182	1383	20	3103	3007	5084	6394	5321	6144	3856
3	2308	3533	1861	2000	6327	2315	3580	9889	7584
1054	474	2335	3823	5429	5104	5003	7774	4745	6188
898	673	1333	2168	4827	2480	1717	4107	8483	3026
472	21	1296	1437	2553	2141	1889	9566	5849	3044
266	159	1816	3105	3809	1188	3336	11261	5013	3452
236	869	2488	3832	878	4855	6415	4412	10334	4077
241	2752	990	866	6938	3345	5548	4448	7939	4918
478	627	1172	3135	2487	1619	2730	2035	5713	7506
1853	1627	9048	2189	3052	1816	2980	4990	16463	10904
1014	1734	2126	7786	2501	4599	3870	3540	5609	1856
63	1634	2665	2659	6364	4324	6881	7582	23083	5106
545	78	1256	310	4984	2577	2298	4719	3339	4219
2302	135	870	4831	2732	1795	10204	10611	18414	6216
755	464	4132	3588	3110	5280	1887	3670	6360	8283
0	1539	2661	1948	6934	2355	4434	5442	4796	4753
4	1000	1616	736	3448	5733	4414	5508	5094	2884
316	1754	3127	4309	4313	3218	2585	6036	3886	20083
1080	965	1519	7356	3972	4980	3249	4465	4663	7023
271	1616	2348	5618	2231	2646	4283	22421	3106	3707
827	1352	6169	10558	1673	4761	2536	4374	6366	5175
1091	682	1508	5658	5667	3682	3398	9346	5362	3061
1655	2867	1167	3990	3428	1413	5832	4572	9224	6777
3304	2291	736	3548	2421	4442	3145	7533	4432	19003
702	1035	6522	838	2163	3530	3128	9291	7414	16927
267	1789	3562	2985	2475	6222	4793	2295	3816	6475
271	913	1795	5536	1803	2317	1482	5819	5252	7454
13	468	4258	2925	12704	2467	3478	2988	2726	9550
834	183	3014	2135	7305	2067	4350	7549	3458	9049
658	1775	2429	37	1431	706	2915	7890	4689	8022
381	1239	239	1722	571	3400	5492	3526	5735	6462
423	1314	1320	2097	4053	2636	8809	6515	13453	9882
64	3094	971	1488	6478	3383	2780	4106	5467	13688
860	4846	2583	2525	1139	4307	2754	8376	2690	9249
951	1297	1140	2002	2861	2427	4036	7918	3772	11137
401	497	1130	3689	574	5490	4095	10576	14953	5256
750	666	1254	2331	1103	3357	8176	3799	9607	2924
480	292	1927	849	5892	4884	3620	5568	8208	8589
1682	1590	2521	3197	5175	3335	6668	6651	4863	5838
594	1235	942	1213	1458	1908	2660	2711	3237	1724
31	1869	1387	1486	3604	4488	4445	18491	10838	1420
302	272	1179	726	3538	2844	10369	2802	7712	5764
631	1358	1204	3445	16277	4563	4883	3774	4834	7942
415	815	2072	2481	3204	6841	5567	7339	5906	3993
1271	3022	594	3642	254	5023	3061	2952	2147	7592
616	918	1032	3402	2083	3734	3565	6101	4252	6734
1197	2458	975	4154	3254	3508	4194	2060	3071	10218
283	160	843	3409	4878	2470	5903	4865	9296	2907
1826	1598	2790	30	2070	3503	3169	3495	4531	5017
204	297	975	982	1184	1438	4885	4068	4022	6103
840	982	3010	1475	1618	2202	2166	4574	4153	6025
1277	8655	1814	220	2631	6297	1693	3918	8827	4470
396	3107	4150	1712	5351	3722	3260	4137	3537	5496
1075	13	1622	2835	1593	12	1203	3747	3602	5549
1332	1685	1448	700	5236	4739	6157	5034	2120	7827
77	479	1743	1961	2335	3772	3996	5219	5390	8014
179	1769	1886	989	239	2187	2174	7190	3979	6883
179	729	2453	1799	3821	4434	2887	12693	3251	7161
1066	1285	362	948	3010	5703	2792	7021	5189	5388
1276	252	826	2599	1848	5333	3835	2396	5199	6693
21	294	1601	1883	3695	3527	5700	3406	5866	4357
