0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
3808	2861	2213	1533	6918	5810	7625	7282	9716	9629
2325	2793	2578	3775	5030	3538	2857	7666	11603	12605
2627	2093	2817	2153	7210	6443	3300	5191	9854	4873
2206	2741	3856	8080	7785	5068	5592	4272	4468	6836
1873	3159	3895	2637	4563	8479	4438	10645	9065	9531
1195	2379	2531	5894	5892	5196	7630	8695	4078	8981
2625	2344	10571	2073	4433	6651	10209	9501	27477	11095
1229	4291	5163	5458	5939	6752	3185	8091	3409	13253
1142	1019	5778	4023	2163	11478	21822	3547	5122	14016
973	3434	3618	4037	1829	9225	4372	6809	7162	5600
1690	946	2768	6044	6055	1886	6175	7405	9702	8305
710	1571	4575	3822	8584	3322	10105	4051	5482	9524
1511	1980	4026	6087	4107	3851	4124	6404	12550	4908
1155	6836	5448	2451	6981	3357	9862	6094	7418	4988
1447	1735	3019	4634	6029	8580	5627	4141	7944	12219
3520	695	3347	4376	5457	6484	4305	11591	6735	15544
1746	2663	3157	3413	5226	8780	6481	2956	5627	4734
1525	2284	3528	2770	2067	7015	8344	11254	12384	7821
1390	1903	2410	1651	13840	5479	8360	6797	11912	16003
1525	3808	1852	3140	4349	6417	7003	4541	5340	9240
898	6808	1771	3351	4374	5218	3289	7259	7960	6092
679	3887	6291	6500	3069	10513	5361	6530	6572	4703
1537	2505	4382	2320	4008	4909	7107	6124	10503	8512
2588	2087	2139	2925	4003	4977	5915	4321	14170	9787
975	3330	2041	3260	7110	9213	6214	10399	6919	7517
1585	3789	5114	4689	3003	6230	3127	3234	8736	9074
936	4425	17421	2070	5458	4728	7208	4748	8949	11988
1346	3862	4631	3136	5331	6346	9430	2403	5835	6262
2420	1712	2674	5780	6411	5212	19439	16930	8379	7402
723	4994	1891	838	6413	7995	5428	12170	4966	10768
1423	1938	3251	2711	5738	8780	3080	7238	9115	15229
996	2619	3582	3693	3464	7870	5960	4338	12018	11309
2065	2753	3816	3956	1806	4982	8425	6917	12978	5037
1923	2025	4102	11038	4379	5637	7699	4341	8426	5530
860	526	2191	4240	3727	4591	4536	5822	6908	5682
999	1301	5321	4100	5351	5720	9801	6641	9396	11007
2202	779	3881	4642	9912	5172	7274	8075	8314	9954
248	1509	3516	7042	4450	5748	9868	6253	24550	10258
2251	2507	3065	2220	2124	5576	18271	6701	5193	4973
1721	2023	3953	5368	15651	3085	4772	12881	7276	26711
1552	1536	4750	3914	2248	9801	5965	4150	8474	13705
1579	2851	4288	4618	4667	5006	2801	16966	7788	9293
212	2741	4342	3285	7628	5792	3246	10761	23129	13235
2171	1866	4173	6056	4589	5321	2353	6861	6229	13329
1944	2742	6514	3805	20522	3048	5406	3362	8382	11436
2708	1726	3983	7129	3093	8777	10316	5573	9542	13228
2451	2534	2554	2914	5457	5879	7602	7863	4029	5186
1288	3223	3787	4497	5608	7175	3768	8227	9380	5905
2379	2354	3413	2752	4016	2446	7757	8121	9530	7733
1002	2551	3767	1547	4057	7518	3032	5169	10565	8808
2173	4004	2300	4400	7867	6436	6692	5262	16312	25142
976	3204	0	3020	7365	4968	5999	10834	22407	14127
