0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
60	678	519	517	358	933	1082	287	358	691
495	201	106	771	568	199	1057	2059	1385	2303
295	166	323	973	683	561	1885	0	1709	2176
661	650	791	1267	758	1483	793	749	1288	1513
390	723	524	257	539	1365	989	717	996	701
239	194	475	501	1050	328	423	1133	1325	733
54	57	254	684	839	507	582	1010	1020	1754
630	778	499	916	589	571	1177	2163	743	332
132	448	1152	774	642	1455	553	835	1142	754
546	298	340	655	853	1005	983	898	1123	412
712	392	57	1646	409	981	1059	543	5235	1274
448	733	252	612	1420	1083	886	3058	1318	1200
597	893	287	841	340	1392	705	1017	1052	612
52	157	742	205	939	302	1471	2146	1371	898
383	460	1403	775	723	341	869	553	1244	4315
253	1411	1206	653	1072	936	874	1162	1061	661
128	408	939	660	1133	634	1232	563	1177	1831
420	166	428	657	349	371	450	672	2249	1489
198	159	224	832	597	1055	501	1123	726	925
168	287	241	452	1040	3501	1001	910	2218	424
210	436	106	625	687	1454	542	917	1049	3480
184	371	440	1019	1327	310	912	1096	808	2659
310	521	381	144	813	349	1765	1416	816	1083
981	457	672	1008	1248	163	823	736	1444	786
637	381	139	832	732	678	1347	1108	1451	578
448	304	487	742	1044	980	655	1147	1415	1961
107	781	816	1036	1152	435	359	943	813	1437
241	658	453	1805	1104	961	904	1360	504	2427
218	105	221	274	0	601	1741	1258	716	1130
204	1758	733	653	339	2589	3832	736	1820	2191
190	747	434	657	992	802	1155	119	757	1162
167	531	627	911	187	410	1216	1315	1187	1277
53	529	1002	0	922	953	1217	313	3200	7994
178	201	828	482	384	880	662	845	495	1807
318	428	662	626	371	925	3371	269	3325	517
272	417	510	403	1279	575	1250	1275	1287	1983
127	132	564	672	349	1240	1196	1254	2266	748
0	58	613	676	644	808	1151	3095	1056	1290
125	326	598	847	1748	924	693	107	1092	1707
108	88	409	470	766	898	805	1617	1275	595
173	863	440	404	412	512	546	1868	276	2540
53	1531	341	1184	688	759	1287	364	1015	416
105	690	449	450	539	1110	586	836	1584	1390
201	353	493	1001	954	525	686	315	1582	1391
197	257	491	781	1218	1709	2213	1044	1308	1853
401	604	1282	423	559	840	830	410	187	632
201	518	365	1352	2135	301	3324	1736	1266	1703
206	472	105	780	1211	748	3078	1871	6692	1149
118	801	434	159	1311	643	984	865	550	2790
454	203	1365	386	1145	1673	731	1706	3071	1523
53	438	259	507	716	1240	937	1118	1338	1527
344	657	767	588	113	1004	1429	1740	1037	1060
267	125	444	2985	903	1016	1979	1339	1016	897
231	521	671	443	194	288	3566	1099	1151	508
406	679	505	334	630	816	962	653	491	5951
483	418	88	466	422	2733	439	1606	1348	1349
611	237	664	546	717	564	943	1244	896	528
265	363	718	162	951	667	666	472	1485	176
231	1895	576	576	1774	1032	931	562	1237	1402
501	216	772	308	262	782	1234	1316	889	1050
109	61	897	686	520	772	801	1140	1921	1762
277	485	576	562	349	752	1527	1313	931	2621
57	384	1088	784	711	1393	791	652	2212	736
116	511	586	318	367	934	783	1887	621	910
63	439	738	1218	1186	1934	632	719	2159	1917
53	261	1234	1590	1090	871	727	660	1313	521
445	323	543	1264	447	1215	934	1528	767	1695
401	554	1000	799	2176	595	2048	1401	911	645
244	591	376	619	339	430	54	1965	160	819
105	545	343	1013	107	559	1068	1303	355	1200
506	693	596	831	943	2051	633	1331	640	2800
165	803	440	552	333	995	854	466	361	464
469	703	706	813	612	1242	315	1109	1208	2265
191	344	264	688	1012	1234	804	804	804	1045
320	730	51	645	1102	765	1076	950	701	0
262	947	961	648	1312	102	1090	1060	1004	1832
559	468	680	950	851	482	887	610	386	1008
982	644	805	354	1182	570	856	1927	747	2070
187	298	341	866	840	1955	1371	519	339	1178
363	929	544	229	114	1171	825	663	1396	1769
292	415	940	1151	745	2192	383	3070	338	1956
409	264	603	747	2767	1876	261	494	1419	839
0	762	383	3044	1202	860	1085	243	2759	655
0	220	321	776	871	206	588	1821	2367	470
806	291	353	1314	564	1075	215	761	1293	642
113	0	549	516	628	580	4302	453	1604	1205
590	431	779	658	301	871	1072	688	1097	947
494	1074	677	615	725	788	1277	1397	1224	483
500	1297	0	113	695	1250	1356	452	945	1483
695	128	707	549	602	1320	927	1010	816	507
87	900	403	737	466	1705	812	1089	587	1986
52	784	1013	620	1028	1076	724	910	1033	934
316	472	58	1899	926	704	558	810	853	1094
259	467	2309	497	774	1986	1498	1244	482	994
472	0	588	683	1727	742	2084	1002	2505	985
571	541	424	514	1268	857	161	979	1430	3343
220	205	2151	567	563	961	840	416	246	1135
323	629	1324	776	398	197	2199	1171	1535	802
291	473	664	1004	1101	1207	608	438	593	971
238	398	412	616	1724	1083	202	561	1927	1376
1864	1267	507	470	882	1506	847	1113	1372	2046
204	389	656	312	739	167	574	885	1085	744
227	419	499	0	595	2275	202	1237	873	62
109	331	257	991	1224	440	1230	1055	3019	983
309	398	1613	1252	648	646	2152	652	1504	1539
502	350	612	275	684	1174	316	1091	681	1417
208	345	575	686	946	446	582	906	550	0
555	704	255	240	1080	762	984	1433	3358	1578
267	553	169	420	379	335	501	1085	534	607
706	216	104	734	337	369	838	806	1458	1055
62	687	690	502	1176	629	1110	160	1307	1656
321	118	172	318	781	881	262	1227	812	2198
261	813	510	406	611	742	1091	1953	564	2843
518	451	370	53	749	1066	664	1210	1752	1799
188	395	374	1550	613	205	1504	651	816	299
1109	488	395	753	727	956	1275	786	1034	4803
233	215	957	149	439	968	672	750	2677	1065
300	306	435	949	879	777	1323	324	3587	726
279	502	618	584	276	2068	1721	453	840	2583
333	478	308	195	671	246	657	1203	207	716
62	601	292	789	1384	750	1060	985	1094	637
177	63	334	1049	1178	262	1489	777	2168	1371
677	316	460	370	743	469	1351	1831	2791	1145
920	198	801	942	621	831	210	1680	808	1143
203	1507	454	658	1266	481	669	577	1112	1223
445	302	211	820	892	525	634	1204	1597	161
450	247	449	2051	734	863	3458	1307	1396	1217
323	383	400	485	107	902	406	372	1283	795
410	446	202	195	378	1140	842	709	2025	1882
279	141	940	326	264	3274	1079	1524	1921	3622
182	345	457	1158	62	950	2555	989	1118	1515
329	266	886	268	860	1302	578	1699	544	875
482	439	852	680	741	388	1412	1194	2357	1094
320	639	564	1100	496	160	2140	900	993	746
200	474	961	398	660	962	790	724	749	1829
305	219	776	545	451	654	1369	1162	2002	1738
284	950	790	1008	407	350	907	913	768	1498
185	248	682	516	1514	1419	1026	3850	983	629
363	259	770	2796	159	833	1840	113	924	500
53	542	210	60	246	1140	795	1151	972	889
320	458	53	663	371	870	158	1308	1867	897
793	230	749	942	851	812	899	918	1031	1866
284	474	467	1060	157	960	1106	2949	1408	1943
291	1200	601	312	1417	1190	1420	1374	864	1473
352	415	581	1181	1022	878	335	865	853	1244
747	621	809	745	658	1503	1785	473	1286	376
317	236	485	685	522	1253	507	372	988	2915
57	52	507	1988	326	1707	856	337	2773	1361
112	415	858	1049	770	3968	906	794	1686	1178
160	915	162	1055	3191	1304	730	1284	3623	569
164	54	947	363	1301	947	358	772	787	1562
377	1388	1007	630	580	1110	976	2188	1631	474
395	539	580	1227	1181	1344	670	956	848	686
106	280	442	665	379	846	1605	1232	767	1444
225	589	509	431	761	1808	547	806	350	286
269	256	596	219	484	1368	971	648	1164	1455
88	427	599	1474	1528	2633	1451	811	2487	846
216	249	1064	641	546	1793	1657	467	2168	62
280	275	631	615	479	607	1397	1334	843	1457
173	330	736	406	909	924	1108	1905	1605	1446
181	295	252	473	854	976	1571	863	507	3519
123	139	389	2169	290	418	1009	918	1029	1835
316	345	265	201	742	1570	837	561	217	1022
164	144	728	399	574	333	1959	448	761	1507
266	429	358	228	412	676	476	1549	440	1194
304	640	613	482	368	913	901	380	1309	1227
310	637	288	889	255	384	995	1529	688	558
208	478	432	705	0	3258	873	493	522	1766
150	296	929	662	487	752	349	573	971	1979
279	0	435	963	742	314	1613	694	974	808
231	466	354	624	843	777	608	778	224	2366
404	211	697	356	493	1067	1372	910	1976	1979
205	1107	489	568	321	1631	823	494	2255	416
172	329	102	3674	344	1270	697	287	733	706
157	199	576	501	373	457	422	1565	235	2080
272	532	361	555	1004	903	839	2942	1010	1589
119	358	614	915	60	1247	782	1152	1646	842
461	757	271	868	734	906	1701	3391	1775	2921
72	134	1437	768	1620	480	2622	4743	1249	831
235	204	935	390	665	0	931	1587	2752	216
801	164	459	1253	649	1510	633	1609	1684	1097
57	527	1035	389	547	740	865	722	812	2791
294	592	797	787	965	1720	1221	319	1273	1619
493	239	511	687	1317	1009	1246	1112	893	381
0	983	105	729	480	943	897	1009	872	1005
567	249	559	288	731	734	1061	1017	4335	1249
220	640	316	1179	206	361	405	945	1039	1279
87	442	1785	435	514	1310	861	813	2013	581
118	371	275	577	583	704	561	980	1696	894
87	113	644	155	1279	682	3194	1931	2225	119
383	297	693	610	767	817	166	1251	1329	1097
290	517	460	412	694	672	1093	609	783	1274
452	224	2712	113	840	339	1204	1201	1486	1244
562	174	755	693	937	807	835	981	1255	1917
524	192	196	789	1458	451	1662	1010	989	382
278	0	160	751	527	854	177	272	2065	1669
272	0	961	503	410	1007	834	1034	1693	2077
468	605	695	380	920	527	586	1064	1540	1325
380	277	560	594	1211	568	326	1851	749	1034
266	356	286	994	1574	1144	836	845	2110	927
639	1054	478	865	1202	5550	834	355	1178	2215
262	650	991	406	796	544	1467	719	119	424
207	447	231	1500	988	1148	304	1392	1808	1786
247	380	1405	359	1332	187	1000	726	831	1367
1518	503	633	404	236	537	931	1009	346	1253
341	677	484	628	1512	161	797	1475	776	322
448	267	324	201	409	1624	480	854	1692	737
407	720	273	308	765	499	1013	948	1879	1969
0	221	569	577	789	1055	1054	803	1450	2074
778	659	1065	2777	510	1205	2467	1414	1957	921
0	840	1765	724	1725	676	109	1266	1058	1177
158	989	208	508	1252	1276	285	1270	583	1317
208	310	308	821	1651	562	1430	539	762	640
54	379	2348	890	597	1926	1256	835	512	1989
428	1067	1502	967	790	1130	1116	2176	2333	638
702	609	168	546	1165	526	543	1712	1575	614
701	166	213	684	803	910	121	1116	1043	1479
55	217	979	458	747	813	753	1266	899	1595
567	477	243	634	283	946	933	995	2678	830
356	426	561	2013	328	1394	633	695	2295	2195
285	881	525	188	1013	1504	2978	1944	1418	1131
77	494	0	669	1034	550	1261	989	1161	1220
102	218	249	272	412	416	640	888	914	1004
323	405	477	662	440	1853	683	1227	1021	1173
586	506	769	688	212	1509	1077	2058	380	763
141	396	508	392	788	566	1010	493	1415	1596
357	636	105	157	1007	958	1062	877	1402	1568
87	267	607	700	438	333	554	1177	1765	1114
673	336	520	742	615	732	456	1915	1733	1224
546	115	742	840	200	882	619	1258	453	535
173	577	376	900	1536	1035	1508	503	269	427
153	496	255	590	546	2444	868	1387	1336	801
298	105	712	582	1278	1439	972	932	819	1043
0	445	141	687	1146	1028	841	811	1402	1715
58	108	491	260	102	755	653	2145	788	1692
465	230	57	711	370	581	1032	1099	3578	1523
291	303	320	200	836	594	934	799	1045	1146
270	579	547	400	449	166	1571	1027	365	649
964	401	766	268	1053	764	1425	3305	1262	1478
517	323	457	1203	418	650	410	2504	1554	657
413	124	114	699	772	1352	667	1393	1223	1347
82	257	865	702	1009	403	902	1332	1093	561
353	296	526	814	266	989	856	634	1067	431
190	211	299	2889	1211	452	1311	378	410	426
229	659	890	608	505	1373	561	1522	1189	1066
559	929	200	484	898	849	467	629	905	1380
104	106	410	1334	546	990	1613	5207	128	744
267	1456	824	308	337	834	1274	1420	527	1008
137	176	439	413	367	444	1352	676	648	4432
57	158	110	820	810	1244	532	216	6820	743
81	533	73	353	1934	490	1679	493	2975	1143
125	672	724	541	657	1409	1445	424	1225	1108
399	450	559	1085	1365	660	2250	2412	1284	2713
340	490	551	634	874	976	2839	1874	1622	818
635	492	502	493	454	3597	2787	1301	1140	1673
211	112	490	396	507	107	663	1205	2283	1781
51	273	632	344	1047	1513	1058	823	1071	1742
290	148	758	700	2279	725	1379	114	535	367
332	822	159	414	325	512	898	295	1757	2037
510	60	580	200	982	1286	308	1143	580	3560
182	686	1165	439	721	1578	223	354	1766	1971
404	695	954	878	1024	2200	1124	1529	1165	683
87	282	907	995	1086	939	1274	704	1770	226
106	345	247	994	768	382	1037	1659	1299	1425
123	337	267	758	447	159	1518	795	262	432
248	220	814	722	1241	2187	1503	3361	1189	767
162	486	2118	183	982	918	1564	979	201	1609
263	77	456	1040	468	1161	2270	808	645	4010
158	363	741	644	2173	932	699	1042	888	1164
0	320	794	1052	287	266	549	1167	1276	744
447	580	219	327	1545	217	816	794	618	1428
389	1296	113	165	696	880	695	307	2525	1213
191	200	230	1223	1956	2326	1827	644	1752	1552
564	730	612	778	760	231	1950	113	1146	719
125	187	740	643	288	936	1815	3039	163	367
53	167	1174	767	1141	471	621	1172	535	1470
398	209	726	1097	503	353	756	1466	2111	1977
245	409	1109	270	697	0	1248	1400	3410	819
575	489	446	816	998	614	1030	2450	3545	1442
821	745	364	703	530	167	687	2995	617	1007
179	279	265	218	677	481	746	263	1673	1056
283	415	345	158	102	1376	1218	2038	2218	641
223	386	108	599	408	3660	564	2628	840	1379
53	442	198	290	2067	956	1198	940	1269	653
172	457	795	565	1505	382	640	748	119	1335
251	294	274	742	206	343	373	844	2531	1211
290	606	322	542	677	1255	566	722	1913	1596
265	423	245	409	216	406	408	359	1222	3073
350	493	551	828	728	138	1176	289	1263	1090
162	727	247	509	576	1029	828	1809	1278	3670
107	1013	462	511	2240	589	555	2233	1079	1857
69	233	1716	514	520	560	327	3102	1351	1218
285	502	440	362	667	364	540	1124	2104	2815
519	351	493	1067	1101	160	698	1356	969	2197
165	873	3828	2160	670	2934	972	1101	2579	1430
270	416	388	632	812	314	901	748	1105	1987
470	114	0	210	791	2389	645	1301	808	587
610	476	573	871	222	967	265	428	989	884
506	494	843	980	388	415	1480	525	825	596
247	2165	463	218	1039	2370	1226	1378	824	1579
453	420	593	1510	927	779	1536	592	1262	338
114	588	1193	1170	1099	4074	641	1075	1384	1920
516	497	3376	734	790	807	1176	397	1745	857
65	519	175	1913	475	2027	1340	1324	1419	1442
323	181	557	752	1416	1993	917	2473	1287	1643
257	1363	960	667	1482	1031	633	372	1141	1199
493	755	127	1217	251	1539	1261	452	923	1631
331	329	746	58	1006	1544	887	987	1321	1128
346	607	267	234	553	1757	1377	566	1185	711
350	54	951	2185	777	797	889	1526	600	1168
236	384	793	220	533	1473	419	650	2767	911
237	605	184	2684	1534	1029	374	875	578	1254
462	101	2201	476	467	803	1300	2065	651	999
