1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
39	2	129	39	7	53	328	61	18	24
3	1	18	463	7	6	51	222	175	52
12	140	8	27	10	17	272	22	170	29
2	68	25	124	228	9	663	17	142	100
340	3	140	6	20	10	555	103	278	162
3	3	21	445	389	8	2	35	8	1381
1	2	100	5	7	169	140	36	45	1
2	72	362	161	42	7	101	422	80	17
2	3	13	35	6	11	7	31	391	352
3	6	166	116	41	287	98	332	16	49
1	82	4	6	98	21	31	19	121	432
1	3	222	17	28	317	145	28	582	23
1	2	315	32	23	21	10	29	75	22
27	4	9	38	23	115	18	350	150	28
269	96	11	128	31	208	33	52	41	20
3	95	8	2	21	238	298	67	27	22
270	3	3	22	247	17	5	13	11	4
4	39	356	15	98	654	6	11	66	106
50	2	48	15	50	15	48	116	38	32
1	121	93	982	424	15	7	15	174	548
154	25	25	2	110	32	72	62	129	14
673	2	7	34	13	12	51	7	18	936
34	15	3	18	142	28	31	124	91	428
49	16	37	132	8	30	16	12	31	48
1	9	10	15	119	62	743	22	121	42
1	12	12	11	155	123	15	445	59	155
2	97	49	20	85	173	8	58	15	93
2	109	276	265	148	61	53	14	15	176
72	5	88	76	9	4	205	12	3	17
1	116	47	16	18	179	43	98	229	59
1	3	142	5	11	6	14	2	39	41
1	1	54	86	50	62	9	245	33	257
1	9	10	109	16	9	70	41	32	334
4	3	4	69	37	25	631	24	3	43
1	43	1	144	35	52	14	9	658	148
42	12	10	135	265	10	42	146	24	53
23	28	49	43	129	66	163	112	85	22
2	126	6	52	20	413	27	52	18	119
3	1	46	3	21	23	3	11	251	51
1	50	93	43	23	92	14	83	16	38
6	11	21	23	10	99	118	5	62	170
1	6	5	6	170	15	11	24	241	237
2	6	40	39	6	6	9	5	49	17
310	5	117	20	67	85	7	351	258	45
2	4	53	13	135	2130	27	18	31	981
1	280	2	11	17	118	79	745	154	127
53	30	10	30	39	20	16	56	155	5
2	10	24	84	1	38	43	75	15	90
14	2	4	4	1	7	251	396	49	12
17	127	29	139	41	430	2	135	22	190
56	1	428	4	115	101	3	59	522	116
2	2	6	20	13	61	28	16	11	1857
39	3	430	15	97	83	125	45	2	513
9	27	3	4	33	164	11	67	16	91
3	58	7	38	68	42	122	9	34	34
194	7	45	71	6	155	19	2	32	666
1	4	6	8	7	12	19	8	5	28
111	39	314	119	9	136	27	45	28	204
159	2	3	50	594	7	15	32	148	30
4	28	10	409	3	100	42	330	75	104
92	2	7	257	48	24	128	8	8	43
27	23	7	190	48	113	6	533	119	27
1	4	189	682	4	12	29	15	36	16
1	1159	213	590	6	58	172	23	11	13
1	1	13	5	12	251	209	18	35	72
1	3	36	27	12	404	18	22	17	44
13	75	402	4	4	222	11	498	59	387
64	1	33	9	9	68	11	145	53	523
4	37	39	630	20	6	20	90	18	222
1	14	22	5	277	20	88	195	634	32
42	2	7	152	11	99	618	18	44	103
6	162	17	15	41	79	7	385	158	24
1	4	10	21	1	905	53	73	229	116
2	3	10	4	12	46	33	747	199	35
2	109	17	8	133	16	471	92	25	30
46	12	72	167	19	233	17	79	544	248
7	148	3	328	180	45	42	95	168	79
2	88	21	144	165	49	96	917	9	168
11	28	13	67	10	137	24	29	13	151
6	3	26	58	118	6	28	66	81	70
2	2	8	2	14	14	39	15	44	7
1	119	4	12	15	89	1127	161	59	21
4	51	393	65	49	17	5	254	21	2
6	92	38	208	697	186	421	19	1131	55
2	12	7	119	23	54	111	233	46	314
169	61	281	11	19	60	18	203	39	188
3	45	104	11	9	7	78	617	161	619
2	19	18	4	21	39	15	120	323	57
1	24	10	5	3	5	284	37	189	248
2	2	30	74	16	9	50	12	37	69
2	3	5	45	6	570	13	50	66	28
78	118	140	669	14	178	33	5	4	5
54	55	2	117	19	31	54	8	709	14
1	50	4	107	10	17	172	607	110	16
1	42	6	57	728	3	67	13	77	92
3	11	48	34	38	313	79	10	13	36
1	12	16	4	38	41	30	60	25	778
3	4	7	10	34	199	3	53	102	8
99	2	79	638	59	10	18	4	40	53
1	41	208	17	3	150	8	29	15	3
50	5	42	110	179	17	159	8	101	240
54	2	5	56	5	70	12	63	28	1
6	5	1	113	5	65	63	31	106	23
3	27	4	117	167	167	37	22	467	72
37	17	2	10	12	38	104	18	282	1
2	6	289	26	293	8	38	8	332	226
5	23	64	84	24	102	453	14	16	21
1	20	61	107	16	12	187	1002	5	85
3	3	22	126	7	11	49	160	3	77
2	15	152	799	124	20	55	15	359	11
1	288	7	14	452	50	15	25	219	20
11	44	43	1097	9	35	211	50	13	46
3	3	13	6	15	8	20	18	57	64
2	22	193	10	6	167	17	124	11	164
3	640	28	118	9	2720	46	72	22	15
1	211	29	55	48	13	79	32	46	173
3	11	64	8	19	313	25	25	21	25
45	13	4	5	67	89	34	73	33	27
4	12	95	12	17	10	15	122	28	259
72	85	23	82	24	25	48	258	24	22
1	29	23	72	15	137	206	105	33	16
118	4	363	392	39	11	14	6	180	26
81	458	3	18	391	21	33	10	465	22
9	52	9	230	8	47	19	24	129	495
3	4	6	10	53	107	85	66	10	182
3	2	129	6	25	37	62	197	10	131
7	28	621	7	23	27	311	21	94	96
1	137	111	38	56	6	7	205	22	120
253	2	2	329	334	79	133	629	49	282
13	10	6	67	23	30	30	37	68	22
1	151	4	162	59	89	87	8	36	60
4	33	90	46	5	49	6	41	18	26
72	4	66	106	15	233	107	136	6	8
1	3	49	42	132	28	2	15	1213	18
28	9	103	85	63	6	115	139	329	1615
1	2	193	16	74	26	143	46	203	374
49	8	4	9	24	88	77	179	8	118
15	3	389	2	51	14	21	52	103	13
88	14	148	22	339	44	161	53	49	159
2	5	7	42	147	94	21	385	54	33
3	53	90	7	31	183	270	17	6	187
1	6	138	95	14	15	281	111	167	84
1	4	6	77	16	11	71	203	573	19
1	3	7	14	69	3	292	577	139	157
4	3	7	248	171	45	432	489	18	7
1	4	228	244	137	9	294	19	1183	434
4	356	118	250	114	55	50	16	12	110
1	55	22	67	185	2	51	17	165	111
543	464	3	9	51	13	19	7	15	17
6	364	251	25	214	21	8	67	45	38
1	52	25	1	23	17	19	91	16	114
29	8	14	3	13	8	76	65	43	92
21	18	3	3	9	283	303	120	17	722
1	107	2	118	900	13	38	16	114	378
13	24	9	20	52	8	737	19	61	357
4	82	12	18	181	10	24	121	402	26
1	106	41	156	225	559	63	9	34	18
33	8	7	15	325	46	48	253	337	8
1	35	80	14	21	103	118	35	3	385
