1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
2	609	496	23	15	273	0	15	228	9
92	85	106	32	210	84	203	28	5	76
166	12	0	0	177	24	5	569	11	367
23	168	72	6	5	32	5	3	0	16
9	9	41	1098	5	78	12	6	0	16
2	3	21	4	504	51	10	7	63	56
1	3	16	77	189	9	2	39	73	13
1	3	6	9	46	0	10	23	0	38
122	18	7	25	59	64	0	13	0	99
47	8	6	36	0	24	375	115	44	0
1	142	18	8	9	87	6	313	120	61
1	44	0	0	17	15	0	61	332	38
1	0	8	29	0	217	233	42	7	7
3	7	447	0	567	0	3	0	126	0
0	1	0	0	5	0	8	9	237	98
9	6	2	0	21	23	6	83	54	68
2	10	0	2	0	242	0	10	355	81
12	7	0	4	0	27	10	733	679	60
93	2	34	59	7	7	0	4	0	20
1	5	4	233	4	40	1	29	0	6
1	27	0	121	178	20	18	5	24	0
18	0	41	0	7	86	0	5	0	10
2	4	0	9	9	185	45	105	229	221
0	2	0	137	0	487	239	14	179	50
26	99	3	875	1	0	26	28	11	23
0	0	209	11	13	0	0	34	11	20
1	373	1	25	0	5	18	26	17	6
6	0	5	3	0	17	27	22	0	293
0	16	0	0	1	16	7	0	38	32
1	6	3	0	0	19	113	0	0	84
1	0	60	0	6	39	142	0	13	6
0	97	10	21	7	671	30	0	17	13
1	744	12	25	352	8	0	89	56	185
0	0	8	7	45	7	58	233	0	8
7	35	0	12	0	294	8	20	238	18
20	0	0	50	2	76	16	71	92	104
1	9	594	36	2	63	0	16	644	28
3	0	0	8	2	0	174	55	20	19
1	0	131	45	46	0	90	28	0	37
1	0	3	0	0	0	0	227	104	90
13	29	23	3	5	7	4	29	284	32
1	60	8	28	0	24	16	139	171	91
0	150	13	207	0	0	0	3	0	12
1	15	6	0	233	0	500	13	14	55
0	5	602	21	3	18	13	83	34	555
30	29	0	0	66	298	3	12	266	0
1	178	2	256	450	96	0	0	53	16
45	107	0	6	0	66	0	25	0	4
0	240	587	6	99	27	40	0	0	0
72	4	127	147	6	0	146	0	128	1289
0	5	112	4	163	21	0	0	14	356
0	585	0	11	79	0	8	8	0	11
276	5	0	0	0	809	105	0	0	12
3	0	0	228	10	5	0	121	28	553
1	3	66	127	2	0	266	0	377	502
1	0	0	0	39	348	0	0	91	352
0	38	0	91	16	15	16	12	161	21
6	16	0	0	7	55	268	50	87	22
1	377	7	725	13	74	14	585	262	123
0	114	47	7	0	492	13	0	0	17
99	3	6	28	0	0	187	0	0	20
2	0	0	0	0	42	0	5	41	27
0	27	67	5	0	102	0	0	221	0
2	6	85	1	35	70	0	469	7	8
4	4	9	93	0	30	0	0	0	162
0	28	10	8	16	377	418	43	51	851
1	15	28	145	0	0	11	4	18	69
21	6	26	0	4	314	211	10	99	343
0	0	3	2	8	276	13	15	9	87
54	3	17	9	56	0	85	16	922	6
10	10	1	46	0	0	11	0	0	123
2	2	2	2	256	239	12	184	0	0
0	4	0	11	8	0	34	6	0	0
29	0	263	9	467	98	26	74	72	16
1	166	10	57	0	7	133	25	34	613
1	2	6	0	8	0	10	0	940	0
1	0	357	41	5	19	10	0	0	1144
0	15	0	14	0	0	84	234	10	29
0	204	1	7	231	0	87	17	12	11
2	4	5	0	210	12	30	0	0	66
2	15	0	59	299	168	673	0	0	0
4	0	32	133	40	128	11	0	290	172
3	2	135	143	142	7	16	0	0	0
73	7	334	99	154	2	12	0	84	441
54	41	2	4	0	0	0	58	23	235
6	13	0	9	11	28	13	30	0	0
1	422	6	117	22	15	208	197	0	34
10	2	1	37	203	5	18	141	89	0
1	6	39	76	0	36	171	31	165	1226
12	0	101	0	18	11	0	0	424	33
0	2	6	0	142	12	2	215	9	0
0	0	32	13	8	6	0	105	16	9
7	0	0	5	0	0	95	0	14	11
24	80	133	25	1406	9	38	9	227	0
0	0	0	0	11	7	11	19	18	1
2	133	5	209	3	204	205	35	0	0
1	18	109	20	134	0	7	21	56	63
2	5	0	8	5	216	25	0	0	0
1	2	4	15	0	29	0	0	0	270
1	2	6	0	115	370	80	0	13	74
23	25	0	11	15	285	101	24	0	99
32	34	201	15	0	14	8	137	1012	0
1	0	191	9	8	9	142	0	34	13
2	2	6	14	0	120	0	35	0	6
2	0	4	11	7	62	359	0	2	1306
24	0	5	0	174	0	21	41	72	19
2	138	0	4	18	127	12	22	0	266
1	18	63	144	429	6	56	16	197	61
1	2	2	55	18	36	10	4	161	33
0	14	0	18	339	0	24	68	15	1592
1	0	1	80	546	10	263	20	648	0
25	25	0	7	6	0	0	149	0	0
1	2	23	65	2	54	11	73	0	103
8	3	1	30	84	533	10	12	252	477
0	13	152	0	4	12	0	79	270	0
6	11	11	7	2	17	111	28	0	14
1	14	9	0	6	124	0	18	26	1643
1	65	3	50	153	97	98	0	9	9
1	20	11	194	65	28	0	187	0	162
2	2	9	88	30	239	17	0	0	102
1	1	2	68	9	67	100	0	50	0
2	6	8	16	0	28	26	113	26	238
169	49	7	0	259	13	10	187	70	127
5	2	0	0	9	0	73	10	198	63
65	107	0	3	367	0	0	233	81	0
7	3	5	7	10	93	85	14	0	409
403	21	0	11	403	0	211	90	17	797
0	4	828	4	355	25	5	13	7	77
2	17	0	7	10	620	360	121	92	390
0	8	486	0	29	28	74	68	0	0
1	0	0	19	0	0	184	17	0	775
5	4	46	0	0	244	0	16	528	161
0	97	10	80	30	5	15	173	57	12
2	0	2	0	0	0	6	0	58	0
19	2	14	0	3	23	23	0	45	0
3	97	378	6	7	44	152	34	312	215
1	2	10	0	177	6	18	8	0	278
9	0	5	11	539	10	151	183	83	24
1	2	202	14	0	14	0	64	15	109
1	3	0	0	85	119	680	43	22	0
0	36	151	0	8	713	0	6	93	340
