1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
105	113	153	237	126	227	265	460	131	100
111	105	232	123	325	480	104	305	114	342
115	112	105	121	217	283	335	143	230	341
116	126	224	515	275	103	487	520	240	311
119	101	147	103	197	320	100	477	552	338
122	105	107	216	256	219	308	116	339	104
138	211	131	101	282	100	307	343	238	209
106	110	265	213	353	520	306	100	303	591
176	128	102	238	100	156	325	241	127	368
108	123	113	105	316	241	215	414	595	342
111	224	200	139	341	344	100	141	125	631
173	208	138	111	107	239	122	100	507	530
107	117	215	346	109	105	315	118	234	103
123	218	262	247	396	315	112	120	242	211
120	259	111	246	300	406	273	101	149	126
105	111	207	234	228	347	339	248	357	205
139	164	255	300	100	114	113	151	421	428
117	202	100	225	162	144	101	434	253	101
112	135	107	103	235	431	268	111	538	266
125	142	101	224	314	218	251	511	403	100
200	106	125	234	100	215	101	349	330	102
103	216	112	260	100	154	526	103	115	196
108	154	259	370	373	140	440	396	210	155
115	223	222	117	359	550	115	337	124	295
106	302	228	214	210	432	290	101	476	363
104	253	234	212	146	222	227	136	111	321
111	185	102	106	138	341	319	181	118	333
124	237	242	251	308	239	336	107	141	189
111	126	102	115	111	281	248	116	623	117
124	212	218	366	416	116	211	250	148	108
116	225	134	110	502	370	109	127	466	216
110	298	124	106	104	125	353	801	100	403
115	148	190	413	110	328	197	109	101	327
103	115	411	399	266	398	102	111	212	570
124	175	277	330	100	175	418	231	419	100
102	103	262	114	401	293	341	303	341	671
112	167	178	113	172	340	329	154	253	319
141	111	212	295	227	422	107	331	488	436
133	262	309	197	512	105	378	101	562	260
115	220	242	255	439	483	369	387	530	322
128	190	214	129	221	102	439	208	147	104
140	134	218	216	202	101	239	386	336	321
120	197	100	169	264	114	240	263	131	331
144	223	189	102	104	111	237	100	221	111
127	126	100	111	170	341	234	109	389	101
117	122	323	221	146	548	248	553	354	478
137	219	122	111	391	462	331	446	109	538
130	116	199	334	208	101	400	111	102	461
106	170	300	109	198	143	261	339	326	101
196	167	274	106	166	242	147	243	105	106
127	122	431	143	318	337	344	174	218	385
127	150	131	213	222	214	383	594	244	400
116	121	136	106	203	315	453	402	349	345
105	229	100	129	389	391	219	302	104	434
144	245	358	209	422	318	336	224	109	228
120	331	302	442	168	367	283	205	113	107
184	308	213	368	110	101	281	482	265	353
117	242	100	196	101	198	318	218	460	103
171	243	208	101	136	105	354	417	101	143
113	101	237	135	183	200	427	350	104	106
102	228	115	232	313	100	316	212	430	283
105	104	265	326	102	320	107	153	346	433
119	112	122	100	104	426	365	214	463	602
127	210	291	376	285	261	103	184	249	223
110	314	109	224	216	163	546	116	631	267
103	109	431	219	107	344	506	233	380	464
119	213	346	117	111	328	414	103	427	284
107	211	119	225	133	217	116	234	238	371
103	239	210	225	101	125	492	103	151	133
115	189	186	105	182	106	219	375	387	261
104	265	103	102	493	100	418	440	308	101
147	105	176	128	206	211	366	128	105	101
111	141	125	103	294	114	281	206	456	217
110	118	328	453	328	561	263	115	257	153
111	100	194	115	223	124	266	209	284	101
100	139	103	102	275	356	208	241	555	219
119	100	211	525	109	215	361	336	175	612
103	186	176	119	216	300	227	131	106	257
101	193	187	150	413	177	324	289	365	403
126	100	111	159	232	196	355	148	432	364
189	133	391	341	427	316	102	329	160	203
132	122	134	247	106	149	295	555	339	202
176	233	272	308	176	327	104	100	105	216
128	138	246	228	217	481	213	100	323	243
124	100	187	107	255	370	111	236	368	597
101	103	111	225	102	130	180	437	141	315
142	206	252	102	255	136	112	508	106	107
117	261	251	319	160	112	511	107	371	274
128	212	321	380	267	238	136	226	224	337
107	122	224	216	338	126	101	275	345	413
112	155	255	101	108	101	134	415	327	417
103	130	105	211	272	126	230	136	358	260
110	134	357	103	143	485	109	248	261	119
149	166	113	100	283	298	229	111	102	103
162	187	113	126	101	321	126	222	212	260
105	102	101	345	482	134	361	100	118	129
112	144	183	120	320	138	278	541	246	327
146	138	121	361	446	227	132	472	208	438
107	278	302	215	429	113	234	126	117	113
107	233	111	125	176	185	280	456	104	476
100	205	261	322	244	104	100	248	109	213
110	218	122	121	148	326	442	306	107	216
120	291	101	102	235	209	111	263	144	214
128	246	324	220	185	129	344	369	100	341
139	116	123	248	332	507	547	182	555	428
106	102	137	262	357	235	225	422	523	102
115	154	100	100	550	313	128	297	354	298
100	108	288	102	325	258	233	167	196	469
194	114	290	142	135	109	324	518	249	485
