1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
154	166	165	616	534	378	191	351	433	273
166	117	376	328	328	269	598	349	152	470
181	334	115	115	422	284	285	246	159	659
157	237	220	152	317	185	317	336	460	303
129	145	174	308	435	406	298	177	433	486
181	351	117	334	290	131	430	236	217	346
153	102	279	192	167	129	221	472	116	506
163	235	335	234	191	254	222	285	322	241
181	124	147	274	176	232	213	299	336	626
181	162	255	420	454	668	254	320	536	476
137	108	155	107	462	136	187	303	375	301
120	338	432	271	355	280	150	349	285	254
166	150	313	177	313	355	315	334	336	135
137	170	122	401	305	234	300	317	263	406
189	134	147	282	312	265	212	358	501	651
157	228	285	193	336	211	280	579	358	457
191	199	302	176	453	256	338	277	396	277
118	191	327	298	185	110	192	482	457	209
106	315	112	325	362	411	294	433	307	205
103	108	313	465	642	381	122	486	403	283
104	193	211	489	504	107	420	362	448	433
155	147	181	178	335	489	164	225	626	464
149	318	248	171	252	532	265	396	280	230
107	191	106	131	647	297	262	110	115	590
128	279	364	165	234	281	125	106	336	454
157	144	263	131	426	487	295	307	603	484
153	129	181	274	334	443	494	114	366	222
129	299	334	454	147	321	174	417	153	452
152	328	149	328	454	150	141	445	325	246
179	294	135	336	504	147	338	323	544	394
153	364	159	307	351	307	153	455	336	314
108	131	184	284	209	464	414	334	312	420
169	100	228	292	457	110	294	470	235	262
108	131	170	143	460	284	229	285	187	412
137	170	260	148	135	193	433	358	334	200
193	261	131	164	280	124	355	137	379	322
148	184	178	336	112	491	317	294	366	478
131	129	220	228	223	299	298	299	458	155
126	135	120	280	310	336	117	317	179	299
150	139	177	304	186	189	335	235	424	248
121	164	317	284	137	311	362	304	106	153
143	220	186	164	263	153	422	292	278	335
118	110	328	296	128	243	177	234	590	796
170	137	242	110	306	311	545	469	403	461
180	364	299	307	112	100	317	403	313	382
114	333	136	214	371	423	254	295	307	157
143	287	153	154	154	103	209	487	294	143
131	156	142	104	321	358	407	347	317	401
137	187	184	122	126	417	409	162	455	321
144	168	254	312	126	505	240	462	191	336
102	312	209	166	346	256	122	246	349	168
107	107	291	486	116	323	347	301	303	459
171	320	322	339	505	317	431	564	613	163
169	170	154	308	355	187	133	306	429	444
149	120	171	464	349	258	334	336	328	321
115	147	174	365	317	141	129	322	474	356
119	142	216	243	243	506	155	102	278	237
182	187	107	270	335	122	230	335	478	327
115	313	317	155	362	313	509	288	239	368
150	198	155	307	164	229	584	287	533	320
173	119	200	123	295	312	291	361	478	457
