0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
48	38	131	97	485	395	347	65	85	1099
124	51	28	337	65	555	629	1242	933	952
16	153	108	409	342	509	194	117	779	651
10	9	160	56	441	319	560	125	2919	765
99	61	230	534	603	268	699	544	181	918
157	103	252	48	75	89	57	151	833	193
54	160	241	58	1824	421	73	200	103	996
159	26	51	68	319	834	1680	764	387	491
57	140	967	17	1070	139	590	197	48	1783
93	60	177	209	173	157	75	181	227	306
12	130	90	35	207	371	771	379	90	80
5	378	279	101	408	215	616	799	666	177
12	103	21	464	360	167	420	103	1205	900
96	209	625	168	383	583	507	491	80	989
4	45	398	116	428	560	186	282	994	768
67	52	99	357	110	30	182	712	895	425
26	96	61	226	130	164	175	148	3614	848
7	49	149	287	748	103	221	79	822	873
16	110	89	311	426	213	47	975	69	220
2	38	107	303	168	359	2273	729	1988	171
59	151	204	444	209	344	696	460	540	1132
488	11	29	70	120	406	642	200	1038	529
86	8	162	388	466	677	646	41	334	1012
16	20	9	1653	38	412	49	668	405	535
122	288	125	27	385	195	420	387	608	242
24	214	2787	106	232	624	611	62	123	92
25	102	269	254	228	103	778	305	561	96
7	174	239	36	38	335	1033	653	688	514
27	300	178	29	4899	73	287	409	543	61
51	83	229	389	677	120	607	440	321	863
61	12	330	418	669	308	338	1206	573	818
10	45	68	77	549	499	761	403	321	301
77	118	135	163	115	457	153	240	1360	816
19	74	43	580	131	250	55	369	66	1070
153	246	227	296	505	447	431	664	311	842
58	169	335	68	208	535	744	499	6293	838
97	77	208	384	122	71	326	601	75	1571
50	107	104	239	196	588	160	395	340	933
457	48	256	1487	332	1479	746	183	1283	231
336	135	327	253	261	401	32	48	41	51
65	422	309	20	129	363	256	548	183	700
27	120	148	302	479	548	72	119	260	988
141	72	59	182	80	206	716	236	729	526
60	10	274	334	775	1976	468	320	723	153
122	267	160	381	483	330	409	106	198	571
104	135	98	298	21	75	760	585	984	668
75	267	55	439	239	161	1128	352	789	77
30	45	20	150	663	337	375	332	254	153
15	92	165	225	520	39	47	343	407	80
250	34	199	310	220	63	193	53	1136	2494
67	278	356	509	376	35	2005	152	195	305
4	51	160	107	225	596	1937	146	816	279
15	43	31	73	300	194	90	897	452	284
35	45	186	1173	47	518	568	515	257	2466
55	25	237	297	425	112	1638	494	531	281
16	111	440	291	152	977	448	127	1017	1190
167	123	146	466	224	141	775	623	411	122
4	217	186	77	91	63	76	75	210	849
35	26	1496	296	245	524	351	675	119	318
228	61	101	206	452	507	340	678	663	526
145	233	405	178	496	161	271	2377	602	987
12	121	198	280	456	84	328	174	468	1368
127	191	323	206	489	403	444	849	431	213
41	418	134	95	515	57	386	374	631	857
13	209	211	274	389	1060	256	491	206	1073
30	110	86	42	288	372	76	717	377	965
85	159	181	986	109	318	110	343	682	1203
10	99	299	409	215	61	91	431	168	984
56	64	166	241	356	202	70	2104	75	554
2	203	240	692	575	601	190	697	523	530
6	33	55	54	153	168	83	383	612	333
42	77	18	216	42	415	644	1866	777	106
10	24	33	147	313	218	131	79	215	878
10	50	212	13	507	74	31	452	1858	258
68	679	235	149	165	345	723	1932	105	2342
129	19	331	25	162	174	665	236	306	271
6	55	52	343	145	362	345	94	3377	177
4	5	24	102	213	565	298	54	581	253
16	10	280	394	122	76	706	85	506	501
107	89	178	422	235	181	284	172	732	305
33	35	230	183	910	229	1104	187	80	896
65	26	64	40	403	321	105	774	603	185
23	107	279	278	267	491	604	431	1458	907
7	71	43	862	472	517	854	300	928	993
54	17	57	184	186	139	299	465	248	718
66	58	74	211	518	733	309	90	172	1571
12	217	524	109	145	40	191	585	61	102
89	109	158	385	111	590	47	149	215	746
