0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
232	0	0	2	359	347	991	7	264	2013
0	0	179	94	168	25	413	616	1440	49
0	1	816	556	445	15	262	718	146	751
142	6	28	285	51	1424	318	132	826	396
5	454	412	155	698	396	3	482	7	1382
0	116	145	269	430	170	741	327	773	1256
66	35	6	0	355	410	9	622	249	901
1	1	809	470	601	20	23	15	1246	416
0	224	0	254	269	266	1025	243	238	85
163	238	28	225	198	1694	3	26	166	790
0	164	125	1644	401	4	190	412	671	440
0	3	284	354	256	953	906	9	477	1037
1	0	167	106	296	173	845	10	1667	684
116	468	1	589	66	229	4	785	101	436
174	19	65	3	211	622	508	28	866	269
2	94	253	151	150	55	291	425	936	83
228	276	541	473	101	549	102	778	123	482
201	219	16	376	745	1203	482	835	80	242
0	7	569	171	6	549	335	657	911	13
3	10	2	3	70	20	979	503	1248	8
82	178	310	2	195	192	17	256	994	2526
0	17	296	584	4	4	247	611	457	989
223	18	753	172	691	1920	164	825	779	97
37	96	12	387	670	1111	262	737	15	1478
7	25	19	284	1119	306	1935	1188	280	579
1	544	6	284	291	1067	85	716	707	787
1	300	9	168	811	748	664	430	149	630
60	4	173	3	304	298	5	96	1326	1132
6	1	176	139	732	811	478	554	229	244
3	649	12	1050	585	444	477	647	539	1615
10	254	1	221	75	81	445	4	9	249
1	1	28	33	610	819	9	328	1290	1004
3	7	21	193	31	518	523	971	430	1470
138	14	170	163	501	164	259	81	877	361
6	129	356	29	452	403	604	79	345	375
134	488	48	463	86	1080	797	524	314	297
0	7	302	1425	239	18	12	1022	1045	668
0	0	62	192	20	450	781	274	465	322
181	265	145	2	44	545	521	744	360	250
22	12	1	1	17	1322	2588	276	349	5
1	1032	308	451	324	706	298	367	1134	1539
14	154	256	617	455	1047	1262	10	1398	1996
0	18	1276	362	409	769	54	308	407	895
103	12	606	680	315	5	1567	418	382	847
269	235	49	17	3	1023	946	634	777	137
18	201	308	3	45	254	497	447	88	898
0	14	77	12	346	305	153	30	352	898
9	392	223	78	220	49	615	257	1542	4
174	348	12	439	64	548	608	827	634	168
159	25	364	325	87	538	332	3	681	675
1	11	293	20	796	831	903	30	100	352
298	15	54	41	75	571	926	570	1274	1365
3	157	1	481	562	181	368	22	1412	426
213	196	33	319	322	3	32	2254	0	1744
1	62	28	403	7	7	1433	1053	36	444
1	45	158	6	356	20	53	15	27	329
36	4	1	571	4	7	3	2021	292	1038
242	958	137	233	0	419	57	13	786	36
98	1	715	3	720	14	4	862	347	17
161	299	166	0	1758	727	586	10	314	949
2	210	146	10	734	705	1072	320	358	1222
22	1	1	4	217	25	576	49	171	1658
13	16	195	551	1415	537	361	5	295	1187
0	97	189	823	36	50	107	5	547	359
0	2	2	185	398	2406	20	7	445	146
44	42	242	554	1309	641	686	265	1397	1110
36	3	4	20	152	346	21	20	773	939
1	7	15	4	1	797	1	647	2085	289
0	9	379	747	683	2	57	641	828	435
13	168	101	140	263	186	131	2880	793	5
260	9	1	346	22	194	226	513	731	1046
5	550	58	88	786	387	931	7	1554	5
353	285	6	236	725	205	370	118	38	828
9	6	250	8	28	441	5	404	476	441
4	676	8	486	974	293	1723	79	161	1116
3	16	746	255	519	211	468	501	397	411
47	403	62	529	39	316	314	394	815	539
151	225	41	260	354	1391	97	981	1067	306
21	353	5	412	166	298	331	311	275	214
14	1	0	170	246	418	526	0	821	720
0	5	74	75	245	5	975	531	22	15
0	1042	3	478	107	10	1519	137	628	457
4	134	1268	326	229	591	1124	391	292	1093
1	97	212	463	119	301	612	849	10	0
151	19	30	5	303	16	5	310	18	1242
50	97	137	28	282	402	12	1056	42	8
119	84	7	103	78	798	1510	802	306	750
347	183	119	90	1	1219	1027	90	1019	8
192	45	474	460	27	946	450	677	4482	514
104	432	255	223	193	399	672	24	134	726
8	298	15	686	1	345	118	276	937	674
118	390	14	384	129	11	32	8	600	69
6	328	253	149	510	377	6	607	623	94
72	369	85	22	165	752	726	63	1091	70
432	6	18	333	2460	1043	882	862	837	247
258	2	670	427	512	732	784	1230	400	827
7	0	23	545	359	29	671	3	641	986
1	18	669	3	295	8	428	5	600	1149
9	186	247	190	81	164	561	175	255	423
50	0	294	2	601	27	2966	4	394	7
169	13	784	13	702	580	691	356	490	94
9	20	129	108	479	100	816	686	359	369
147	20	282	272	402	117	372	21	1871	837
201	22	240	294	5	311	437	443	2754	388
2	202	296	234	627	329	2	655	311	2838
90	55	464	12	126	194	631	304	0	479
46	29	190	216	547	419	1	73	861	56
52	140	0	317	2	38	536	731	81	118
696	648	153	2	830	472	2	583	1185	1494
14	33	49	45	159	711	17	1280	731	225
0	255	4	66	272	342	5	307	571	530
4	0	2	268	423	776	440	1143	820	44
0	57	250	520	641	492	643	383	18	6
3	0	358	433	277	671	881	1371	612	31
2	1	230	137	116	10	443	529	299	1084
3	183	546	321	50	62	492	1073	316	962
7	306	86	501	662	408	328	34	3896	325
220	103	177	184	423	713	558	1164	580	819
0	8	438	657	8	169	1077	252	627	395
205	5	3	37	899	205	5	7	802	682
0	423	14	4	80	7	595	1271	1151	1299
126	36	34	100	179	556	12	1288	1433	214
303	6	733	300	900	959	166	44	400	740
10	2	0	64	333	3	265	1626	1712	1611
5	16	186	15	15	1407	559	10	584	514
129	10	12	40	1827	2932	49	89	543	453
4	7	122	114	26	877	210	1614	810	450
0	39	28	559	611	38	239	319	493	33
11	58	790	25	150	30	266	838	654	368
1	280	379	0	22	568	595	37	337	285
221	284	237	368	1	1042	68	22	1399	586
1	122	25	129	5	201	199	738	1534	126
4	0	9	334	96	422	703	638	304	436
1	297	10	188	246	1165	506	214	704	536
2	0	154	407	615	34	804	6	253	908
35	825	782	248	6	227	101	307	357	1364
1	255	215	371	21	690	259	3	45	888
2	1	1072	613	302	8	223	454	56	723
2	0	120	448	0	908	655	177	497	596
274	443	48	3	11	732	343	56	64	1354
0	2	3	15	250	542	526	443	886	958
70	13	110	549	215	874	620	60	1213	50
0	11	15	89	1057	108	697	399	143	1318
1	9	122	13	1	796	12	528	692	937
7	69	18	419	530	1000	64	131	736	30
108	307	4	19	311	327	852	536	460	484
137	2	357	167	718	308	383	780	512	350
52	9	9	6	131	462	118	445	188	739
144	28	292	1	13	501	439	668	138	79
337	47	3	285	586	87	397	525	469	796
272	2	200	3	84	739	3	264	648	256
4	273	25	583	275	895	594	1611	329	779
0	0	47	194	3197	80	1	343	1058	886
107	1	181	72	2	795	247	297	5	1281
1	3	57	117	112	168	373	238	15	2439
2	123	800	398	141	11	761	433	5	932
1	597	1432	55	229	4	152	819	134	1201
2	8	107	1	380	61	835	112	457	172
152	13	22	218	310	19	432	1793	190	133
0	11	295	401	7	480	62	683	53	184
0	2	550	23	425	145	199	613	954	648
35	270	12	34	610	53	221	254	270	10
1	102	341	3	103	314	562	715	259	400
0	227	17	3	721	18	387	64	949	954
149	74	68	148	510	1746	449	286	518	790
108	3	0	605	1355	207	487	781	2048	351
150	10	240	3	17	25	2	105	505	149
2	8	188	76	955	3	1492	600	2093	509
115	524	1200	8	1	100	293	119	508	137
1	9	228	660	7	766	1033	48	234	479
1	1	2	45	223	523	32	317	669	21
2	2	103	816	265	357	1619	66	251	285
186	0	70	16	273	35	309	281	2013	1698
8	0	443	580	3	45	16	56	1341	569
142	1	26	464	208	482	396	11	365	1102
1	6	124	207	3	3	1350	417	674	107
2	295	1	22	521	541	19	734	494	43
183	40	126	46	77	836	316	841	193	643
192	180	12	6	355	194	949	1776	844	1541
87	440	1	792	140	1	763	24	1332	24
0	21	4	421	46	275	431	833	50	1233
95	210	788	326	3	508	89	59	1	8
17	168	12	35	3	782	5	406	6	9
2	3	10	335	334	86	1320	471	709	6
1	1	3	27	298	50	321	510	788	644
16	145	2	452	417	312	145	816	723	323
29	364	4	146	947	7	1116	21	1225	471
5	6	121	318	121	521	715	616	753	950
170	386	801	611	232	879	236	181	689	23
8	12	5	487	327	739	415	60	7	107
151	2	143	15	359	177	350	671	1278	865
80	0	177	1	47	15	957	162	1267	948
1	3	544	330	38	7	337	319	1457	2152
6	9	1065	332	9	371	396	677	161	808
841	41	192	148	218	453	68	726	285	988
20	87	13	71	461	952	13	278	8	901
0	94	3	107	412	717	4	660	1095	97
16	242	154	160	642	6	378	376	378	608
30	158	9	266	1593	805	216	504	711	659
3	27	37	120	555	745	396	352	601	1541
259	100	142	478	368	450	230	939	2040	820
1	7	105	5	435	327	4	6	659	201
1	168	74	465	236	431	62	2645	321	152
2	5	54	3	629	828	24	25	8	689
1	7	5	376	292	351	413	157	10	425
2	0	352	142	522	653	412	67	1028	748
129	592	5	56	71	2157	480	692	234	1025
1	83	554	8	705	377	52	106	183	553
104	71	92	263	659	55	0	108	0	30
1	217	182	50	467	354	934	780	116	22
7	644	6	5	422	6	568	388	966	319
4	301	107	32	282	24	896	1167	586	396
0	18	19	328	583	464	946	354	2726	1063
1	2	253	203	1159	131	101	981	3348	18
2	368	4	406	702	339	4	65	60	1129
5	13	259	350	39	953	155	427	689	1504
