0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
1631	2035	3440	6411	2997	6644	2314	4623	1510	9248
580	1713	1874	1902	1422	1890	5641	2201	7169	5880
247	1750	3857	1226	10605	2461	6035	7472	6198	2255
177	1485	1184	5305	5169	7832	4726	4907	2844	1347
5	2137	1426	2531	2749	2130	2080	4306	5379	1981
281	971	582	2620	596	2584	5261	7376	6355	5721
948	304	2806	12023	2701	1699	4258	4024	19650	5676
475	774	714	1570	2600	2356	3811	5554	3982	7205
1103	1281	5515	2479	3148	4146	7939	4913	6203	5962
372	2943	1238	4974	1101	4915	3121	8105	12165	25382
667	4406	903	6810	1393	3368	12464	3468	7476	7797
1575	2587	2485	1830	2726	5189	1769	3764	7175	1997
616	911	1655	710	2778	3507	5853	1651	2539	7470
9	176	1175	3270	4613	17365	8472	2035	8289	4623
1583	1933	1347	2752	2226	8463	6914	2855	5836	7644
79	5547	2261	614	3513	2209	4481	6676	3529	10005
86	1113	1602	2113	229	3315	6365	4301	4599	8417
1538	1254	3493	10509	4097	4576	2973	9083	4236	5277
228	854	0	1417	1835	2578	3344	4746	6626	7058
664	1826	1425	1694	3786	2400	3514	21014	10113	7366
1043	274	1276	8832	9138	3283	4338	5414	5003	5095
1319	791	1469	4323	1393	5533	5433	2503	3354	3424
2051	614	918	1489	4016	5338	3137	2774	4355	4184
563	618	965	165	4035	5595	4187	5374	6981	5468
684	1993	1427	2336	1697	3638	23871	5035	3164	10278
547	846	1299	4	1657	735	6865	11335	4749	7983
720	2477	1558	1492	4411	1927	1712	2753	4028	6275
655	1043	1531	2558	4297	2562	6512	3533	11699	5022
43	1343	2038	15401	1629	4155	4915	9474	5211	3256
848	295	3608	2236	1713	3112	5939	14677	7279	2516
594	1224	1870	3706	3067	1589	3350	5547	10939	6232
620	1641	2202	3324	781	2145	3454	8736	17169	6134
109	2595	319	3804	4101	8623	7327	3446	7538	6705
643	1696	528	2512	3509	2983	2569	5466	3998	3705
365	1163	882	2281	3065	7895	7524	5281	7999	4657
253	1369	776	4498	3729	3986	1957	1911	3337	11420
593	2228	2402	1940	4922	3143	6812	2262	10199	2961
449	921	965	2764	2127	3090	3251	3550	6580	3302
783	1069	1772	3698	1704	3897	8922	2497	1494	4218
238	205	2462	1603	2230	4600	4488	8077	3973	4076
1465	3953	1820	1428	13109	1474	6186	8951	8617	8326
966	884	1912	180	2796	2162	6391	6484	5207	5578
1098	224	1646	1593	719	1550	4783	5716	3467	1689
29	3461	1004	3120	3857	13353	5258	4426	3338	22467
514	1311	1208	2417	2375	4058	3740	6729	5163	7982
4	1740	978	3176	3013	4835	3293	3749	8555	1329
938	3027	1872	4600	7509	3302	5349	4520	4344	12643
2081	898	1380	1088	17822	2704	2679	1575	4151	6411
6	1878	2117	2815	3923	1246	8039	6238	4818	7496
518	268	2095	1317	438	3466	2660	6132	2939	2575
1426	2640	1275	898	3404	4489	5828	6109	6873	5902
334	787	3938	1886	5049	2926	2091	3954	4071	6352
276	1666	2168	8018	1819	2212	4314	5561	3773	11791
354	1137	1088	851	5472	5834	2747	6099	6717	16798
563	1282	1751	4392	3591	2694	3825	1525	6258	8962
304	1887	1235	3331	5015	2447	3126	1142	4840	7820
6	1959	371	3917	1749	4554	10202	4609	8654	8964
50	2510	1586	1883	3260	3228	12812	2484	5282	4800
6	720	2354	4869	22509	3389	6567	5102	5982	3635
227	774	4030	3856	4152	1695	2634	5386	6209	8935
354	455	3891	1238	2013	4817	4044	18584	3050	2681
94	1589	1370	2233	2484	4182	6351	4518	5150	6913
943	932	875	1636	2015	5775	3489	4218	3278	3406
110	1144	1947	471	3257	10762	5053	4301	4631	6178
3559	1113	2876	3708	3909	3639	5775	6665	6974	6964
18	184	3362	3452	2657	5613	2773	6573	7292	1607
669	1002	1793	1502	2389	1384	4150	4405	3117	5969
253	1931	1810	2530	3516	14331	4612	8797	9656	11149
51	1035	1316	13043	2016	8437	21877	4543	24	2204
262	1961	1364	2649	2267	1977	2527	5763	9509	3434
493	1004	3378	5080	4360	7196	7213	4461	3784	11782
361	243	765	4432	3854	3303	1470	7102	3117	2725
243	1699	2580	1286	4187	3087	2120	2698	9079	6982
1025	648	1537	2838	5540	3196	4813	4588	7327	2153
728	1009	973	1949	1898	3283	4063	6113	7299	5116
151	1293	1765	3580	1225	3517	3297	2154	14201	4450
769	1338	853	10	2914	737	3406	6535	1604	2099
505	673	2056	2455	3571	7739	1577	4801	2948	4285
8	1399	3204	1965	2274	2994	919	2152	3232	4128
121	862	654	2123	5231	18062	5063	2738	6021	3373
1286	2091	2424	896	1443	3415	6500	3493	7381	11547
745	472	338	2250	2894	7059	4705	7519	11434	6931
419	2190	3997	5499	420	4630	5366	5914	7737	5590
1285	984	3142	3586	3253	1253	4016	3836	2828	3384
174	561	2463	1619	4526	2204	8509	9281	4883	8531
1314	1566	1602	635	1204	1167	2621	3376	5138	18913
231	295	1425	3465	1672	4512	6487	6179	5113	8286
505	1350	1394	2741	3324	3878	3887	4096	3048	6326
18	589	2278	2687	3232	5900	3287	5953	3755	4566
1454	1891	1730	1775	1512	5731	6105	6092	21060	6511
3199	1563	2529	6027	3947	3466	4100	1501	6362	6974
393	949	3673	2195	2667	4679	7264	2678	20611	9389
1258	791	1793	17814	2974	6502	4671	3827	5716	8860
118	1611	477	3734	3321	5955	5366	1556	5183	12807
10	1927	1913	2721	1992	3258	5839	3659	3060	1635
729	40	1589	2897	3538	1254	4863	2487	9957	7117
22	672	1666	3500	2613	961	6242	4133	9493	4838
59	1783	2720	3793	3988	4276	3277	3801	8611	6019
445	1705	1282	4559	3480	3231	5001	5103	6203	2727
871	1268	3010	1678	2559	3294	3502	5306	6302	3797
1123	606	1090	3716	912	3235	24556	5104	7541	4511
501	2103	2584	3064	2005	4297	3717	3510	15187	6055
1219	811	1278	1588	12456	15	17535	6747	7396	3960
623	1889	1576	1171	2441	1509	3274	4562	7991	9707
870	1059	1000	187	5358	3466	4391	6725	2947	11640
1971	702	2263	2437	2955	3264	1970	3806	4474	6068
721	1868	1132	2179	5161	2249	11711	6809	5259	3286
354	702	3135	1613	1729	3664	1812	7191	4651	7927
1353	689	587	2113	5268	3333	1654	2486	5936	5547
689	1319	1548	1429	1763	3962	2573	4239	4124	5227
621	916	1184	2300	2886	2901	2929	4190	8362	7079
1080	1075	1567	2860	873	1938	12403	1641	8717	5945
621	1138	2377	943	2852	2030	5489	10214	7995	5599
2188	974	434	2	2132	972	3078	6712	3445	4285
124	11	785	40	2819	4873	2854	4484	5386	7769
346	1860	749	2723	3996	3410	4821	2662	2986	2792
5	1248	1759	2129	3627	2030	5234	4956	5632	9375
463	392	431	3163	1802	1812	5516	4865	4773	6964
803	1409	2617	2238	5172	5595	3873	3758	2862	8199
1322	1053	2829	3466	1199	2074	6122	4645	4265	5735
1545	876	1389	5083	3337	2129	5304	6249	5609	6200
452	1200	1106	2231	4123	14774	5076	4910	3759	2176
427	584	1119	1524	2675	2317	4627	3954	3927	3248
360	161	2260	1276	3231	804	4012	13290	2444	4633
274	863	3554	5597	4002	7314	2517	4443	4504	7506
102	390	2344	2149	4855	5276	5184	7242	6083	9429
1627	3617	2240	2272	4025	3735	1493	1433	1257	5031
734	678	1604	2250	4037	4319	1308	3967	9998	6706
10	1023	3109	7172	1527	4373	3266	2431	2094	3591
101	1118	2898	3966	2753	2128	4969	4159	7456	12302
575	167	1323	3716	1693	3490	3799	4257	5728	10511
557	3076	3558	1809	1647	6364	5382	0	7104	5702
180	1001	907	2666	3212	4216	1296	7324	6456	6554
1128	1316	3224	12497	1553	6634	3981	6475	7733	4639
349	2779	540	3524	4574	984	5170	2749	5475	8293
724	576	2465	3162	1098	1662	3902	5956	5240	2760
193	829	781	1181	2333	2733	7337	6475	4121	8679
1348	817	2567	5590	2760	6027	2908	2597	4505	7386
1044	14	3063	949	2742	1504	973	7981	6241	5965
217	1330	2526	6968	2643	4391	28502	2859	8642	6152
653	503	2320	1655	1630	2461	4494	6313	7453	4300
1800	503	3726	1143	3008	3223	5944	5167	23452	7881
1872	858	1218	2373	2845	4165	4166	5851	3998	4987
129	12	3129	3327	521	2815	1462	4744	4124	7900
472	2495	2963	1851	3679	4319	4697	1194	5534	5332
236	1125	2031	6398	1372	2056	9532	2332	3510	5995
206	1679	2767	3811	2265	5316	2940	11272	4072	6108
1612	1395	914	4373	1302	1928	3757	3585	3036	8403
693	1740	1836	4356	3566	4491	4844	4508	3754	9099
271	2441	2239	1413	2204	5411	4002	2587	7825	5620
82	1928	2196	2045	4994	4191	6380	7175	3350	4948
907	3338	2613	2831	3948	2950	5666	6654	3745	5658
785	2189	1323	2414	4950	4739	3903	2392	2626	2092
491	1640	2310	3523	1435	2576	2135	6405	3197	5182
1295	0	3230	3306	2181	4187	2807	2802	4592	5296
590	604	2017	1748	2417	3061	4136	5698	5302	5657
686	2634	2436	3624	3724	6031	2761	7030	4200	3889
370	1339	1026	13576	2509	72	4699	2339	2273	7666
937	810	2614	3438	3343	6482	5562	10548	4539	19330
584	1600	2717	32	1557	2663	2567	7535	8719	12749
465	705	832	1673	5139	5008	18990	6017	2883	8153
1424	379	2774	1778	2462	6723	4317	1463	1669	34801
1113	1020	2951	981	3827	2946	2689	10368	4824	5964
73	1485	235	2933	2909	4263	4824	7206	6990	8976
632	1276	2034	1088	2692	2168	3966	3368	4400	3125
588	739	3117	269	2632	1574	3240	6755	5361	5419
642	639	1845	2481	3521	4638	5762	4182	8875	6037
294	1543	1566	3798	2973	3457	4045	3302	4193	3863
860	281	1227	664	5916	1708	5383	5961	4524	13698
503	3380	2396	5456	773	5398	4885	2929	4549	4912
217	1610	2175	4000	3834	7173	4305	7133	4321	8331
15	1120	927	1989	4289	1095	18485	5950	5516	7708
618	627	2230	1660	240	3871	2493	1737	7383	4480
71	1022	1030	3126	1651	3150	7420	5404	8979	12162
229	1696	3497	4331	2400	4625	3316	3620	5789	3765
431	425	2127	2777	1128	3363	5873	4254	4102	6266
320	1708	1636	1739	3352	1149	4403	5743	12045	4672
89	1072	2560	1619	4701	2246	5175	3056	5741	5057
535	2975	1544	2933	4222	4969	6175	3864	4589	6339
256	699	3795	2420	3778	1152	6259	2534	8003	9450
753	252	756	2396	2751	3830	3532	6717	8821	4581
0	1585	1104	1153	4919	3878	3467	1414	6848	8239
108	1007	2132	3908	2395	5480	5712	5627	5022	19152
360	2777	1879	2127	2087	2183	3624	5694	7061	13921
244	4308	2592	1548	2574	3863	2672	6542	6416	14460
335	797	1840	3807	3884	4792	4019	7692	4274	10901
293	2147	1073	2284	629	5407	3479	4607	4625	6028
667	524	5267	1073	3307	4280	5712	4118	5942	3628
493	2208	4304	364	4523	3300	2655	10816	3166	4256
584	1090	2809	2364	3743	3036	5217	1827	9343	4133
895	1836	1432	1755	37	1400	5772	14753	6670	5405
39	1509	2047	2901	776	5534	4565	5227	7708	6365
686	440	1280	3643	985	4938	4768	6650	8022	5253
135	12	23	3921	1906	16103	4917	4747	3852	3179
351	2698	2331	2034	7977	6063	3766	6882	5463	4802
589	615	2841	912	3707	1303	4206	5949	3022	6184
560	1179	935	2413	3500	6146	1757	3242	2513	3122
167	2778	2000	2543	1354	5166	3563	3717	4168	6398
310	377	3463	719	2763	6169	3723	2106	3399	7052
135	12	2115	2307	5556	719	6468	3968	6678	5104
6	1339	1037	2107	1599	4767	687	1705	1731	12137
451	2587	8360	2157	4921	3950	7014	3944	1586	8102
10	1418	406	26	2634	3901	8159	3536	5105	7167
770	3018	712	12358	2470	4881	6431	3253	2304	4603
597	170	1959	2823	3620	3268	5311	6531	6596	2681
575	2191	2456	2265	819	2319	4244	20426	4729	6540
784	1835	1428	1158	2296	1750	5383	6841	5706	5166
619	102	1314	432	5021	3313	4572	6151	2561	7748
263	9	1417	1453	2645	7622	3900	5503	2147	7430
254	897	742	692	13375	3936	3052	4299	3970	9413
1666	980	3412	1676	3367	13616	3571	9756	20955	10788
744	1479	2466	4707	2489	1306	5445	2106	3405	4675
1083	885	72	638	2171	1086	2200	4293	2818	3673
675	583	1056	5940	3736	2219	5644	4614	6147	8885
365	1196	2970	1589	5342	4026	3073	4112	4615	14294
334	879	350	2017	3801	3012	21787	11927	4689	4125
563	1074	7241	1472	2734	2339	2970	4460	4659	1811
5	2374	1471	1430	2631	2118	1892	4198	7125	3613
781	1582	1714	2191	2948	4370	4189	8006	5138	9490
217	1684	3503	2190	3655	11468	4486	6735	4267	5520
19	2117	1503	2882	2664	2612	2390	4909	11275	8652
1727	3180	1001	3796	1224	2852	2237	4580	4149	9817
4	456	3510	1917	2678	7092	4394	1840	4642	4363
1596	1971	3079	1110	6030	4834	5224	1778	4138	1542
801	1484	2115	2325	795	3128	4419	6188	7029	2702
196	1782	1932	2361	1000	3606	1718	3139	15040	2512
372	3857	2353	3366	1909	3014	3474	4137	2635	7800
1082	2756	1919	2178	1746	2547	6220	6804	12385	7854
1908	508	1543	1370	2806	2167	4358	2993	3198	9822
8	1489	2596	2026	2887	1654	2067	9548	4415	9250
1034	12	1649	1608	4424	4006	3263	3767	1681	11746
5	2529	714	2162	1775	5877	2192	4946	3545	3113
15	1460	4370	2924	3000	3140	6019	2832	7097	7915
10	2019	2143	3662	3237	9136	3226	4047	3651	3098
50	286	1595	1620	2867	5000	5323	2723	5825	11064
1360	1359	2016	2171	4215	4307	3912	2167	7425	7430
504	2503	1420	5210	2334	2982	3425	5561	2493	4989
1560	996	3380	2348	1600	4230	2735	5326	4785	5738
871	483	3159	1941	12	3599	4316	1961	21687	9366
586	2539	849	4870	4032	2046	4037	3757	6688	11000
282	409	2284	2214	2305	1630	9374	10292	7336	5198
521	1539	452	1850	3148	3770	2123	4112	2477	7568
