0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
3189	853	1893	6617	2876	7305	5703	6766	8241	28502
664	3133	719	3440	2740	5790	4290	7148	8051	10157
3121	4244	4480	4257	4448	5227	12522	3276	5352	8142
1867	898	2668	3532	12900	12465	7132	5170	5712	10909
1300	2538	1524	3704	12276	7119	9451	6033	6078	6453
1590	5914	6647	1694	6368	3879	6544	10032	5016	5118
2106	2089	2341	6110	3384	19359	3842	5230	10027	7120
941	1455	2156	6577	2247	3357	7091	7378	8746	3912
1610	3656	3412	1013	4322	11108	4370	8892	6165	4304
1672	1360	2471	1829	6571	3701	10244	3959	13124	23111
2506	3635	4835	4996	2359	6643	5845	8093	4823	16093
1275	1418	1995	4137	1527	4535	9941	10933	6844	7525
406	826	2574	3559	3545	2523	5007	5159	9811	6720
628	4281	1762	6010	7795	5031	7510	6040	14411	11433
1872	1910	7460	3665	3631	2461	7975	15333	5992	11576
2458	1140	2655	4050	5658	5272	10442	4224	5629	13779
1097	1025	2832	3613	5143	3844	8388	3924	3555	18135
546	2862	4435	2205	2667	6586	2255	8270	10902	8060
2256	1279	2885	2381	6031	6449	8358	7880	8153	4368
2925	1963	3021	4277	3794	5898	7275	8662	5473	5076
2668	2619	4517	1279	4411	3987	3322	5959	10316	10399
654	2526	1307	2728	4491	3723	6619	3118	3953	6831
570	4800	1874	2468	2611	5601	7431	9414	13377	24052
572	1107	1683	1793	2645	4370	2865	3064	6837	8435
1860	576	4039	9626	2367	1099	7067	8752	5880	12884
1386	2805	772	5174	4148	3396	5468	4411	6611	5613
1600	2797	3482	10686	4801	6188	3110	7373	5833	3944
1486	1754	3392	1819	7122	5038	7930	9366	4222	1130
962	2241	875	4926	3699	7116	7197	9911	6869	7568
859	3434	2454	4130	5139	2329	5588	6335	9017	3535
603	1343	5599	5980	5370	2986	5935	5573	19108	10348
2498	2346	5190	5240	2316	8161	4545	5472	6653	11150
408	1109	2686	1066	7295	7604	5818	3849	6305	6537
0	6169	2532	1270	3783	7051	4663	7642	18142	6957
1044	2456	1391	1500	3000	3206	3026	8106	12305	6176
1168	1378	1753	4823	2045	3824	3200	10285	5898	15793
1245	2358	1170	3154	3417	2018	2152	7526	6551	14663
1236	5928	6468	5729	2762	4050	6850	12717	8533	11001
1106	1807	1792	3957	4302	4175	7185	6679	6014	7751
1441	1512	13674	6159	1566	4775	2557	5298	11257	10443
549	661	4749	4095	3137	5397	7370	6079	5497	5301
1670	2959	1665	4176	5605	7457	5007	5179	12877	4206
610	2385	1395	3144	6445	2038	3258	6541	7353	7854
1022	2997	5528	2817	1818	4960	6373	7049	5448	8177
1922	8411	3389	1587	5813	11616	3515	8785	7650	6512
391	2460	1248	3282	7772	3370	3155	5631	8983	6806
1450	1738	2550	2023	2964	4723	6887	8294	3347	13731
1452	1144	3113	6202	5080	5425	16746	7035	10329	11751
924	1945	3391	4369	6489	6447	5891	6335	13275	17445
3254	2612	2866	3369	4117	6480	4792	3468	10854	6596
1627	737	976	3696	7382	7433	6455	6261	9804	9340
3217	2554	1234	4409	2820	4381	6541	5505	7189	8721
1119	1005	3142	1848	6140	8562	6207	7929	3610	6527
2974	2512	3695	3217	4824	1903	5312	9474	1551	4216
229	2697	1482	3276	6849	7189	7659	3521	10707	3634
882	3023	1667	3750	5945	6194	6053	5801	7928	9848
1500	1810	3968	5156	5835	4841	5273	8791	10233	11059
3422	5539	2338	2143	8597	5982	8812	6694	9739	9473
