1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
210	809	341	0	729	334	241	127	338	220
111	218	104	418	349	208	261	102	1232	105
238	349	212	452	717	0	477	1654	635	488
329	112	274	136	303	631	304	313	378	676
369	129	377	792	204	452	518	429	223	305
208	382	113	178	334	186	323	141	101	213
107	134	392	210	229	0	761	264	596	232
0	403	176	370	239	215	226	210	221	261
219	262	320	102	622	228	237	416	902	227
0	120	115	445	101	322	221	105	432	105
113	235	366	104	334	109	227	239	374	537
0	103	297	332	364	0	497	204	183	201
231	450	236	134	108	547	553	496	110	450
133	0	424	115	526	277	536	569	238	198
428	177	342	0	223	376	247	103	218	196
109	137	332	112	283	208	515	321	110	558
348	146	109	212	235	0	355	225	148	328
299	121	110	173	641	180	273	336	238	345
246	128	282	264	0	455	413	636	146	344
319	373	423	136	0	334	336	799	101	222
0	456	574	105	258	530	520	422	213	139
162	0	106	169	373	289	656	247	723	140
246	0	106	102	101	126	203	362	546	134
231	105	147	331	310	309	0	106	216	101
105	114	258	316	464	0	570	223	483	935
240	226	367	324	488	543	360	211	328	243
106	111	227	101	129	495	247	848	274	468
0	0	963	416	128	363	0	322	458	463
107	342	220	512	934	205	724	221	115	336
103	181	217	224	121	693	282	427	445	139
136	120	155	459	100	557	282	412	105	432
183	202	279	202	621	116	355	409	113	575
113	129	0	145	227	113	1031	108	238	463
110	235	221	474	335	312	112	743	375	105
0	105	369	499	218	899	352	586	131	335
477	245	399	126	203	291	203	248	542	215
343	596	211	102	143	114	530	266	207	656
107	115	277	228	588	106	427	1033	0	588
197	115	343	527	107	504	114	211	644	0
306	324	262	573	200	325	229	277	118	102
141	0	321	351	165	436	335	471	307	332
369	151	536	0	116	209	236	542	585	642
125	0	438	219	186	234	237	122	105	666
148	288	122	280	335	113	248	169	556	335
0	305	566	148	224	266	114	210	968	203
226	610	346	117	438	115	126	211	254	323
0	274	103	111	462	488	115	106	448	505
336	299	0	101	0	0	235	460	142	345
0	317	330	117	116	106	862	288	369	694
102	248	137	0	163	348	123	107	412	211
403	348	351	111	469	111	583	126	530	542
313	113	575	739	269	540	432	646	535	1048
201	287	163	111	312	229	583	0	131	430
514	122	240	396	134	105	278	0	103	816
142	0	540	349	107	211	278	0	136	0
128	568	115	281	320	211	0	364	1176	201
0	241	335	230	553	214	392	737	554	412
0	272	425	282	107	389	119	302	219	215
154	108	116	272	204	453	106	361	114	213
107	120	221	112	224	425	257	244	564	109
432	204	537	215	292	452	386	219	572	447
432	346	0	703	380	206	330	215	116	110
133	119	497	258	495	212	226	330	104	476
584	383	369	592	408	266	536	247	396	589
319	244	237	226	516	603	570	115	107	209
0	323	115	460	109	682	128	922	224	342
217	110	233	0	110	111	120	316	112	265
0	105	140	487	132	123	429	106	328	429
0	115	107	237	956	325	310	228	941	676
107	254	117	284	0	495	133	964	761	577
439	341	638	324	131	464	339	499	451	132
272	0	0	216	795	0	0	246	0	334
503	265	103	111	674	375	491	420	593	324
133	180	368	896	322	313	0	248	386	359
361	474	721	217	107	448	102	318	507	517
246	101	220	334	559	226	480	430	319	209
135	106	107	103	0	473	407	476	549	111
307	109	0	511	543	111	258	361	0	205
104	246	100	128	419	622	105	572	105	599
0	235	384	106	103	215	334	220	102	319
106	225	119	781	453	229	308	236	504	105
113	173	214	1195	242	513	0	364	339	1513
183	0	0	342	688	209	265	210	525	104
128	310	0	104	370	352	624	1085	271	108
286	241	216	214	208	136	386	239	299	345
353	293	326	598	538	230	210	187	355	225
115	712	209	263	247	128	554	342	218	511
109	111	0	325	126	330	609	501	760	211
108	391	115	222	436	117	207	333	0	215
104	0	261	251	407	408	264	720	559	111
134	360	0	106	545	0	113	230	393	483
135	112	247	434	528	345	503	222	476	571
235	100	349	474	337	104	220	478	136	496
111	341	115	215	632	519	861	257	0	234
143	105	0	605	516	470	292	432	1668	570
179	209	227	102	126	211	109	394	109	124
123	235	115	704	307	619	365	222	114	111
116	0	0	357	0	224	448	454	123	371
303	311	378	204	408	245	365	235	0	102
207	109	302	667	258	0	215	285	146	978
451	105	186	111	565	238	392	225	683	282
110	350	304	630	623	519	0	108	169	641
215	0	346	314	225	235	323	247	111	507
245	281	211	381	228	307	104	694	0	0
0	262	109	425	519	440	257	313	315	241
294	104	206	130	234	552	336	240	403	277
109	160	210	155	594	216	372	111	307	527
128	0	208	255	277	268	760	677	487	473
105	221	205	126	289	311	341	215	405	450
284	369	272	256	411	677	110	631	248	532
255	510	107	480	122	348	271	311	441	330
313	0	248	340	122	430	151	433	220	0
287	0	170	223	304	114	215	234	232	160
121	339	248	200	172	220	569	299	299	734
371	223	213	240	328	139	101	213	230	326
115	107	151	226	109	434	318	233	427	529
