0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
159	79	309	1196	1078	1652	746	2012	862	1399
283	508	312	390	2014	823	2242	1593	773	843
855	155	588	952	1042	842	770	1195	1362	1482
0	1130	925	1463	610	1655	1752	841	1414	551
271	343	1576	498	763	969	671	529	1274	553
156	971	632	1300	75	651	1174	1870	1440	1745
157	487	1078	1027	882	387	771	1515	728	1055
131	251	673	823	740	1470	725	869	540	1884
228	244	393	1023	793	671	2313	750	820	881
162	808	332	895	491	75	2058	1418	1318	1232
266	461	281	1367	1314	1641	1268	667	1602	155
697	764	1067	1239	867	1219	375	743	958	3934
279	1075	326	556	946	1554	516	659	537	2036
251	1020	809	828	977	917	157	1592	1057	771
539	510	804	668	1002	1201	248	778	1276	940
654	613	332	636	688	2502	1156	395	4652	1299
476	328	372	1008	323	2513	1001	820	545	569
277	0	784	795	569	477	1467	80	1076	1813
524	254	724	572	79	1645	685	1141	1591	1573
356	842	177	417	294	622	1347	823	1102	2373
234	678	478	363	1015	425	1352	0	1173	1045
616	191	1023	478	584	498	1117	1524	3051	2181
322	159	448	336	160	1706	1311	467	680	4645
171	651	1515	369	901	88	1521	459	1134	1790
85	155	306	864	672	1027	1044	1064	1900	875
569	1856	542	408	249	411	1107	248	944	1353
91	498	686	2174	556	365	2692	767	2551	2802
83	298	462	1829	595	375	882	708	2743	1365
237	236	466	0	329	1003	949	899	1257	647
481	548	439	990	610	0	321	880	2003	1080
162	361	392	719	1307	1179	807	1386	802	2047
303	974	1005	781	1263	317	1402	951	812	4469
270	1350	232	646	237	996	1441	579	1388	1113
825	475	897	781	1210	830	1862	1512	1104	1765
394	272	633	994	827	1079	896	836	505	1405
309	507	1071	270	981	1590	402	1254	1278	1876
197	1425	353	452	1167	1406	1678	2149	1058	467
509	353	803	1944	586	482	990	1013	1083	1311
229	788	159	882	1673	2336	766	1408	1837	893
370	345	760	665	949	211	975	443	1603	1654
397	252	773	330	1697	749	905	2343	1925	1299
0	287	399	717	412	896	843	2154	1422	707
80	165	240	1144	674	1215	781	1580	1238	946
467	911	248	1342	366	1007	545	1897	1959	1586
181	813	391	805	466	727	155	4503	2118	2202
1140	752	625	643	1039	632	319	857	1628	1023
393	763	1009	1505	164	1377	934	622	481	2010
811	1011	540	1001	1302	249	1534	646	1920	1441
447	461	644	1400	2921	576	1641	1262	832	1614
266	413	687	1003	298	1290	1456	2073	804	400
236	1089	739	590	676	758	438	702	788	2327
79	391	727	1544	1195	451	1888	922	901	1360
385	1047	2714	419	1034	547	1386	1496	1806	1374
902	483	743	321	713	985	2684	1772	661	414
562	781	515	1720	728	973	1188	1195	239	2040
275	388	692	651	1547	325	1236	1028	2152	1509
365	1101	781	2094	563	314	3407	632	795	3001
80	774	397	406	680	2296	825	383	1763	1699
263	952	564	369	1175	1115	1512	1414	1229	1032
471	771	997	424	317	909	1652	1775	2171	1688
490	221	235	493	1207	753	1469	1239	967	2378
358	365	414	837	797	797	1819	1918	1716	1765
80	1171	976	833	1481	1527	1433	1101	759	1131
168	442	478	489	895	944	1824	1139	3546	1310
161	159	172	1354	857	639	1126	1444	1788	1561
1457	579	465	505	580	1396	695	567	2650	1289
467	738	739	1775	621	1067	316	1787	393	872
900	395	459	583	791	248	2833	2597	1662	299
172	1639	1055	529	912	319	161	1217	1170	401
330	782	705	600	584	851	570	901	233	1981
0	839	167	157	77	830	1129	2563	614	769
676	240	454	968	918	1164	1100	1900	533	1533
157	700	694	441	381	1607	868	2196	1090	733
252	162	567	154	472	1490	486	158	746	2739
545	2730	241	317	519	232	405	642	80	3091
244	681	350	989	1583	997	296	1981	1232	1313
160	345	1928	834	415	1024	609	2067	868	625
150	670	1367	1161	388	470	1290	1411	2048	1405
523	155	306	536	774	528	1209	1418	1212	976
210	174	420	316	575	0	1517	2983	522	868
470	1388	458	791	1055	1211	1109	1830	1233	1275
171	155	687	1232	810	430	1768	1043	1997	2319
629	77	278	862	999	625	1881	1442	1102	768
173	509	916	550	446	885	1595	1053	609	2905
85	398	881	1149	591	1611	1507	1223	1555	545
251	412	1679	840	1604	1361	2545	1044	711	473
346	657	383	1899	1024	747	1196	2418	2190	1506
357	481	528	834	504	1134	620	751	1853	1448
438	242	651	775	519	650	624	1005	330	2284
184	216	986	495	1103	901	860	1355	966	2225
156	414	299	81	308	734	1053	860	1332	2107
